percentile,delta_below_mean_K,Tm_shift_K,lo,hi,covers_Y3_invariant
1,12.467195630645847,-0.858230059313225,-6.426292729784536,2.5799658347933514,True
2,11.835024230645843,-0.8147119727930713,-6.100436090316107,2.44914406363863,True
5,9.700571220645827,-0.6677782286180224,-5.0002191476611975,2.007439609411934,True
