seed,direction,eigenvalue,width_ratio,classification,dTopt,topt_scale,dCp_scale,tm_scale,kcat_scale,kappa_scale,sigma,f_metab,f_maint,ngam_scale,ngam_steepness,clearance_mult,resp_scale,disc_resp,disc_growth
red1,1,0.0029886844330375985,0.18937849190563108,CONSTRAINED,-0.44845690981370295,-0.19354785421450735,0.05243236261611712,0.0899522177952018,0.15442087750076564,-0.034609817692822516,0.09103355826753427,-0.028363069863185326,0.025465014083814613,0.0368218474078699,-0.01584220729336532,0.03869794619512585,0.08665555094655934,0.05653417666085854,0.837849470418604
red1,2,0.0078124933494046886,0.3061860875233495,CONSTRAINED,0.6212999580826422,-0.11603513235112627,0.16657619151338202,-0.052816098053631966,0.2144722144396481,0.3055782246798885,0.3998050184600447,-0.022495570816578724,-0.13208791603250078,-0.314495751626543,0.0969574721955774,-0.22913617225801006,0.1712823094879011,0.080636704574815,0.2369804144310975
red1,3,0.015046271414892723,0.4249179414648347,CONSTRAINED,0.42521437893904024,0.03252294201455813,0.27998433760365576,0.5145219859796095,0.0700177912818789,-0.5018933500918312,-0.25521949730508814,0.08510174568582898,0.0025326888517158397,0.12105205470854694,-0.2544144527668515,0.12918771898138098,0.1710877012566474,-0.06082878645086728,0.12955625876040724
red1,4,0.018739276617917914,0.4742059883795385,CONSTRAINED,-0.013704202400128842,0.03882692558393996,-0.02807746876859946,0.08031338629665821,0.0813441297941459,0.008787473068979468,0.2381650925749682,0.18979633688467779,-0.23914186935162018,0.7782638078383488,0.2545651006233499,-0.30288125003006516,0.23828909372640072,0.09615939653961374,-0.07857849826384175
red1,5,0.024879099811589995,0.5463965572174481,INTERMEDIATE,-0.11549850558409651,0.4768985056406517,0.15029715080268452,0.3213105185170179,-0.471840120834414,0.0109468992591129,0.1651861536375609,0.041089247646031904,-0.29297535726391927,-0.22877407350129733,0.38362287147144863,-0.004265064362228623,-0.018912799604712694,-0.2843633029725406,0.12285554440768659
red1,6,0.02578303503754636,0.556234141751975,INTERMEDIATE,-0.08165674920004064,0.5304425810140542,-0.29636239042490664,0.1998865498404002,0.15896424746133847,-0.04007973585180706,-0.03775312541448387,-0.33905859654024467,0.1951060386961367,-0.12123274768325318,-0.21017602294425067,-0.49676823907915996,0.1423330411427557,0.27646090899310943,0.02257827498329892
red1,7,0.030547621955573732,0.6054514542611033,INTERMEDIATE,-0.09340300325731857,-0.3997199259752449,-0.01816014070480978,-0.03150911109264796,-0.5172660813565527,-0.0429592580985283,-0.19824336363636322,-0.0719352933136749,-0.08291218131820789,-0.17085032370605913,-0.02657706166955916,-0.22149472881460727,0.6292962710238976,0.16664288885817816,-0.08172064235939373
red1,8,0.033643119771252804,0.6353876275589836,INTERMEDIATE,0.22879301913537411,-0.0924288751808814,-0.29725433071686674,0.26979054097614213,-0.3667671763627881,0.31897136784189034,0.20231282971005826,-0.19517247930452078,0.5407582042761772,0.2784758184638214,-0.053064170616172475,0.19286448417875524,0.021620547461863003,-0.19725602813564158,0.11542006005955549
red1,9,0.03875120636909938,0.6819196993995646,INTERMEDIATE,-0.07213205538465255,0.31655711443505363,0.46708068753457854,-0.26744212610326695,-0.007614795625079692,0.3000258580706437,-0.000443784779872144,-0.3730160201192936,-0.12955344219070647,0.2179241775739572,-0.3612578865065513,0.2800072650299288,0.3079574007715029,-0.0860036734280493,-0.016232327300652737
red1,10,0.05011960459702042,0.7755225690876089,INTERMEDIATE,0.022613435126442035,0.27965820376551853,0.02914434581929799,-0.07976439876201821,-0.12973221848992805,-0.040506455840801155,0.18016459604548463,0.39291030132274807,0.230144493265473,-0.06318686402732766,0.07750769109458697,0.41647027140631027,0.15814255152763768,0.6686417230903781,0.01594817266735722
red1,11,0.059953268029658786,0.848197628124428,PRIOR-DOMINATED,-0.08704742444755217,0.06805479576697619,0.4653402456322935,-0.020054495513751748,-0.05957748949679413,0.2874957958444495,-0.23879554819364593,0.46618562456951707,0.45538419857869733,0.007664826756183453,-0.05971151127373522,-0.4238409203838258,-0.06227664089330112,-0.12292428028217944,0.025749494378896266
red1,12,0.0783590560236291,0.9696951439929712,PRIOR-DOMINATED,-0.009793906420493154,0.175279748671124,-0.3154670139075127,-0.07781801768573901,0.38085183402815187,0.09371869251646213,-0.2220940316311569,0.24177892441731105,0.11292207363830639,-0.12329746642249859,0.2413747802951262,0.2122189663894662,0.5489152905411852,-0.41161035126780043,-0.0029114798207539932
red1,13,0.0919992503637354,1.0507097621916457,PRIOR-DOMINATED,0.15036070757052347,0.03484988138789727,0.24167251504992696,-0.2701095647869671,0.004945280696417027,-0.2593274374441757,-0.23278094637673996,-0.4342623193188623,0.3241667216061739,0.1050063581809827,0.6335973008223839,-0.024851338532614696,-0.019024411900090122,0.08331802751118385,0.09638000845249707
red1,14,0.12630894034868453,1.2311406435433014,PRIOR-DOMINATED,0.01770401842426144,-0.07713516602227159,-0.003382318056139826,0.40818420127144467,0.12181661715197553,0.5453108805969112,-0.5157646546843294,-0.09697822161897121,-0.22893350779693936,0.03306787254931342,0.21346924435798054,0.14314013126417388,-0.1116865538048569,0.3277315373310579,-0.006756843577519439
red1,15,0.4464491281437194,2.3146035379141354,PRIOR-DOMINATED,-0.3383640681051068,-0.22012101315799293,0.3126052321085067,0.4207637176350769,0.29715591314764656,-0.020676378865649978,0.3769056378989054,-0.1679714536419559,0.23268630411051494,-0.16355576302802,0.1435233238723531,0.08296270100850467,0.1487744629162254,0.004496965113546301,-0.41564614731313115
red2,1,0.002136260679049559,0.16010973783188426,CONSTRAINED,-0.5590492315707932,-0.2449287243212492,-0.030500081436127445,-0.0035698613368161073,0.008833633243542714,0.016863655860617426,0.01562514243211346,0.03483757476600025,-0.002911409096954121,0.004112508426819628,-0.010421726978458074,-0.04732781245917706,-0.10250668442448992,0.01658026321085108,0.7820193165224951
red2,2,0.004889844467636273,0.2422356984666696,CONSTRAINED,0.578266977843965,0.13159834791365896,0.1562962994018369,-0.09677963218007536,0.20884648040021025,0.1774749769252523,0.43043612613320464,0.08673747034705884,-0.06482177101437399,0.1391945491957847,-0.07436307500925195,0.10464054669098345,0.268818727360216,-0.04267197153859561,0.48212091709716215
red2,3,0.010044182187242831,0.3471745760376384,CONSTRAINED,-0.19913578081040303,0.5161937217019162,0.06559292905046259,0.12696520769242253,-0.2922938285967581,0.0981597409446904,-0.10425347648370498,0.16678408952041468,0.25908461701081675,-0.15589138706536476,0.13687500260067492,-0.22394968184087827,0.5967272915130815,0.12758815530287296,0.0838585823877774
red2,4,0.012548180537893293,0.38804402643864977,CONSTRAINED,-0.33960250017288346,0.7002274947119719,-0.0973023371284307,-0.14433332940481547,0.34192297660178106,-0.014703895472985463,0.12419079427629429,-0.08351815713889828,-0.2147742540184153,0.20982991476079124,-0.2345633726059453,0.030357239173894296,-0.20183534593988586,-0.18590810364092586,-0.05592977191594264
red2,5,0.0179320691460831,0.46388018900681366,CONSTRAINED,-0.018621391096369618,-0.032237759651541915,-0.29815619929175613,0.15521065536343864,-0.008081778651228633,0.3871549481219742,-0.1500851057370018,0.2902173582838573,-0.46059145799591633,0.469802379889134,0.32446019730379183,0.02148653546604083,0.04745986543065178,0.2923469027397395,-0.05105460194465502
red2,6,0.018103937571599636,0.46609789836384763,CONSTRAINED,0.031255055314238854,-0.011333024248025228,-0.24647457075340032,0.022976112064881246,0.2939059723037245,-0.03587655178223265,0.2629928351803116,0.17663051684285844,0.14078251638536993,-0.23075934423454597,-0.2570394260203644,-0.36872813562963747,-0.14626430540800894,0.67009474101371,-0.06376632802045731
red2,7,0.023499351072652032,0.5310293898380997,INTERMEDIATE,0.08940900332144938,-0.12349087666842555,-0.337833886472449,-0.06978838784042572,0.17393081751406483,0.07452804783565341,-0.10629963807310411,0.010071743570364753,0.5173185890808629,0.45347143676968515,-0.0036661652852593377,-0.45572709645855297,0.04106392572709423,-0.35759878696298597,-0.0052758968356738855
red2,8,0.026327020920434024,0.5620713931923669,INTERMEDIATE,0.0030269836625351934,-0.06434041087198782,0.1603888133815206,-0.22948051776850042,0.5511375613063637,-0.06283758275033907,-0.4992267380544763,0.5176268200213238,-0.0023202914299054506,-0.21678082575587623,0.007113166683612193,0.12727803996699444,0.1460362796071683,-0.08956812696032544,-0.0007643483862284215
red2,9,0.02973807389338465,0.5973749967320492,INTERMEDIATE,-0.1886660706293844,-0.033318525354578,-0.004410344388802634,-0.39639468683657336,-0.14525763177109402,-0.34690187503372505,0.41372919023869487,0.38121220738092576,0.26273846648945814,0.25872199160895676,0.2924998666693523,0.3084264100324696,0.0021496448819176427,0.10513711075994331,-0.14318339364464377
red2,10,0.03280569164046071,0.6274299161544089,INTERMEDIATE,-0.09057056391221693,0.018099821833433883,0.2827041359238912,-0.3979790513317303,0.18940639736434764,0.511323763771119,0.07529833807637983,-0.3018077124764264,0.13347828042135185,-0.16125097262977087,0.5002699666465482,-0.14590390881448612,-0.16660209181577254,0.10091583189052401,-0.07589022381177932
red2,11,0.04468038680129941,0.7322326417304769,INTERMEDIATE,-0.06859147688407678,-0.015165524534446133,-0.36040467775553686,0.367027380335788,0.4485404610091731,-0.1604919899002371,0.09815115761382937,-0.34494061957295674,0.15688707417523423,-0.1250293654809428,0.3621354133691439,0.36834857439480306,0.25886930125633156,0.02765608484092237,0.0073403972125298325
red2,12,0.04978678107576491,0.7729433180442011,INTERMEDIATE,-0.021691276490077887,0.11185217862377016,0.38053488971805677,0.5473717925742067,0.06583795578557274,0.24511440367491483,-0.002500917285321884,0.22519255980202918,0.42948761478517855,0.17340390171501244,-0.05086611239216251,0.253360502356469,-0.3779768305506825,0.055474119649341146,-0.014524250832598107
red2,13,0.07823653571047866,0.9689367515610829,PRIOR-DOMINATED,0.20120033123723383,0.20334110480870807,-0.17781825699430698,0.19269597236958597,-0.07408744440940912,-0.1813016120197716,0.1226385172275845,0.3121953130268235,-0.12850265897015486,-0.3418084615257332,0.46526193892583745,-0.26932422936229544,-0.3946781840982836,-0.31923059263300213,0.1361073027060487
red2,14,0.18150630842839494,1.475830512335593,PRIOR-DOMINATED,-0.052551562498483875,-0.03870628048982478,-0.47402186817391034,-0.13365675567474197,-0.17849819611304563,0.5318444254839731,0.12629442919702122,0.19464436950846448,0.13948207892612705,-0.3564077033498875,-0.24540517206693682,0.34858532998040775,-0.01937353866242515,-0.2270436277595716,-0.06694183978283445
red2,15,0.32435155169163715,1.9728706547312336,PRIOR-DOMINATED,-0.31071388616629386,-0.2972128609978635,0.2457893762714978,0.2582281785337488,0.18346453049303008,0.11969635917356167,0.46743840287618016,0.17761929437562,-0.22596332923891205,-0.05641940907244821,-0.05432360149134624,-0.2551315873201749,0.2827764077866139,-0.3132628093467777,-0.29935199853833666
