,dir1,dir2,dir3,dir4,dir5,dir6,dir7,dir8,dir9,dir10,dir11,dir12,dir13,dir14,dir15
dTopt,-0.44845690981370295,-0.6212999580826422,-0.42521437893904024,-0.013704202400128842,-0.11549850558409651,0.08165674920004064,-0.09340300325731857,-0.22879301913537411,-0.07213205538465255,0.022613435126442035,0.08704742444755217,-0.009793906420493154,-0.15036070757052347,0.01770401842426144,0.3383640681051068
topt_scale,-0.19354785421450735,0.11603513235112627,-0.03252294201455813,0.03882692558393996,0.4768985056406517,-0.5304425810140542,-0.3997199259752449,0.0924288751808814,0.31655711443505363,0.27965820376551853,-0.06805479576697619,0.175279748671124,-0.03484988138789727,-0.07713516602227159,0.22012101315799293
dCp_scale,0.05243236261611712,-0.16657619151338202,-0.27998433760365576,-0.02807746876859946,0.15029715080268452,0.29636239042490664,-0.01816014070480978,0.29725433071686674,0.46708068753457854,0.02914434581929799,-0.4653402456322935,-0.3154670139075127,-0.24167251504992696,-0.003382318056139826,-0.3126052321085067
tm_scale,0.0899522177952018,0.052816098053631966,-0.5145219859796095,0.08031338629665821,0.3213105185170179,-0.1998865498404002,-0.03150911109264796,-0.26979054097614213,-0.26744212610326695,-0.07976439876201821,0.020054495513751748,-0.07781801768573901,0.2701095647869671,0.40818420127144467,-0.4207637176350769
kcat_scale,0.15442087750076564,-0.2144722144396481,-0.0700177912818789,0.0813441297941459,-0.471840120834414,-0.15896424746133847,-0.5172660813565527,0.3667671763627881,-0.007614795625079692,-0.12973221848992805,0.05957748949679413,0.38085183402815187,-0.004945280696417027,0.12181661715197553,-0.29715591314764656
kappa_scale,-0.034609817692822516,-0.3055782246798885,0.5018933500918312,0.008787473068979468,0.0109468992591129,0.04007973585180706,-0.0429592580985283,-0.31897136784189034,0.3000258580706437,-0.040506455840801155,-0.2874957958444495,0.09371869251646213,0.2593274374441757,0.5453108805969112,0.020676378865649978
sigma,0.09103355826753427,-0.3998050184600447,0.25521949730508814,0.2381650925749682,0.1651861536375609,0.03775312541448387,-0.19824336363636322,-0.20231282971005826,-0.000443784779872144,0.18016459604548463,0.23879554819364593,-0.2220940316311569,0.23278094637673996,-0.5157646546843294,-0.3769056378989054
f_metab,-0.028363069863185326,0.022495570816578724,-0.08510174568582898,0.18979633688467779,0.041089247646031904,0.33905859654024467,-0.0719352933136749,0.19517247930452078,-0.3730160201192936,0.39291030132274807,-0.46618562456951707,0.24177892441731105,0.4342623193188623,-0.09697822161897121,0.1679714536419559
f_maint,0.025465014083814613,0.13208791603250078,-0.0025326888517158397,-0.23914186935162018,-0.29297535726391927,-0.1951060386961367,-0.08291218131820789,-0.5407582042761772,-0.12955344219070647,0.230144493265473,-0.45538419857869733,0.11292207363830639,-0.3241667216061739,-0.22893350779693936,-0.23268630411051494
ngam_scale,0.0368218474078699,0.314495751626543,-0.12105205470854694,0.7782638078383488,-0.22877407350129733,0.12123274768325318,-0.17085032370605913,-0.2784758184638214,0.2179241775739572,-0.06318686402732766,-0.007664826756183453,-0.12329746642249859,-0.1050063581809827,0.03306787254931342,0.16355576302802
ngam_steepness,-0.01584220729336532,-0.0969574721955774,0.2544144527668515,0.2545651006233499,0.38362287147144863,0.21017602294425067,-0.02657706166955916,0.053064170616172475,-0.3612578865065513,0.07750769109458697,0.05971151127373522,0.2413747802951262,-0.6335973008223839,0.21346924435798054,-0.1435233238723531
clearance_mult,0.03869794619512585,0.22913617225801006,-0.12918771898138098,-0.30288125003006516,-0.004265064362228623,0.49676823907915996,-0.22149472881460727,-0.19286448417875524,0.2800072650299288,0.41647027140631027,0.4238409203838258,0.2122189663894662,0.024851338532614696,0.14314013126417388,-0.08296270100850467
resp_scale,0.08665555094655934,-0.1712823094879011,-0.1710877012566474,0.23828909372640072,-0.018912799604712694,-0.1423330411427557,0.6292962710238976,-0.021620547461863003,0.3079574007715029,0.15814255152763768,0.06227664089330112,0.5489152905411852,0.019024411900090122,-0.1116865538048569,-0.1487744629162254
disc_resp,0.05653417666085854,-0.080636704574815,0.06082878645086728,0.09615939653961374,-0.2843633029725406,-0.27646090899310943,0.16664288885817816,0.19725602813564158,-0.0860036734280493,0.6686417230903781,0.12292428028217944,-0.41161035126780043,-0.08331802751118385,0.3277315373310579,-0.004496965113546301
disc_growth,0.837849470418604,-0.2369804144310975,-0.12955625876040724,-0.07857849826384175,0.12285554440768659,-0.02257827498329892,-0.08172064235939373,-0.11542006005955549,-0.016232327300652737,0.01594817266735722,-0.025749494378896266,-0.0029114798207539932,-0.09638000845249707,-0.006756843577519439,0.41564614731313115
