,dTopt,topt_scale,dCp_scale,tm_scale,kcat_scale,kappa_scale,sigma,f_metab,f_maint,ngam_scale,ngam_steepness,clearance_mult,resp_scale,disc_resp,disc_growth
dTopt,0.06279484194946823,0.03034022486965312,-0.04685371209470143,-0.06184694350228642,-0.04372031485128422,-0.000754265093373726,-0.05783526953973302,0.017742889718324384,-0.028785700213717215,0.02814983145923079,-0.013408701774979947,-0.00790293164009507,-0.023890736498162403,0.0013047242895690152,0.06563531610833287
topt_scale,0.03034022486965312,0.0513256185394441,-0.027397467656959842,-0.04534400410396575,-0.023455259449775605,7.868064036115633e-05,-0.031397391153515475,0.01976603638582784,-0.016096042202553087,0.01395013289102653,-0.012277725344391846,-0.0038811634453082464,-0.0062912669680960445,-0.0022857641100275834,0.043023178939923266
dCp_scale,-0.04685371209470143,-0.027397467656959842,0.08550854766206784,0.048013966372055794,0.031656987345380194,-0.002354666951701449,0.045056713593371135,-0.02724359660507655,0.03970430518536194,-0.016314100442008286,0.022472184221037972,0.0019561515975043374,0.009994824449648063,0.0070169427693699314,-0.05513818015879458
tm_scale,-0.06184694350228642,-0.045344004103965746,0.048013966372055794,0.12061444202623249,0.05515889646606255,0.025620216233113387,0.052315610433545226,-0.027676758284911045,0.026410412356972224,-0.030405090715432313,0.0241526293523343,0.018249364990643162,0.017374279322578883,0.01340374307621276,-0.07749417647879296
kcat_scale,-0.04372031485128422,-0.023455259449775608,0.031656987345380194,0.055158896466062556,0.07324108061444819,0.0039051146821778853,0.03436242788956,-0.018866924777284643,0.02608455173308269,-0.022245910036500557,0.02561777032317193,0.01669645616041522,0.024960124975681244,-0.005974027018771236,-0.056161673826034667
kappa_scale,-0.0007542650933737263,7.868064036115543e-05,-0.0023546669517014503,0.02562021623311339,0.0039051146821778844,0.06120002899318368,-0.03414124597092894,0.0076072472449641845,-0.013691419200618973,0.004905738665659724,-0.0033686332936194215,0.007645255448485883,-0.003993984797882154,0.011008431834972052,0.002117081015595891
sigma,-0.057835269539733024,-0.031397391153515475,0.045056713593371135,0.052315610433545226,0.03436242788956,-0.03414124597092895,0.11752705161673695,-0.01992586905685284,0.04202748703325272,-0.026318535086187728,-0.001972102319096782,0.011864862606758097,0.022563972688142572,-0.010275123776500162,-0.06985463761668732
f_metab,0.017742889718324384,0.01976603638582784,-0.02724359660507655,-0.02767675828491105,-0.018866924777284643,0.007607247244964184,-0.01992586905685284,0.067109289401761,-0.012524129866536152,0.0034968475291765827,-0.025838502399955453,-0.00796963925087868,-0.003466178482803642,-0.006037153559524694,0.027738688485538083
f_maint,-0.028785700213717215,-0.016096042202553083,0.039704305185361936,0.026410412356972227,0.026084551733082686,-0.013691419200618974,0.04202748703325272,-0.012524129866536152,0.07157155040244202,-0.014118879416993023,0.024842589171235076,0.0006460063007140489,0.019973987409325572,-0.006438055480312363,-0.03746479953262141
ngam_scale,0.028149831459230786,0.013950132891026533,-0.016314100442008286,-0.030405090715432313,-0.022245910036500557,0.004905738665659724,-0.026318535086187728,0.003496847529176583,-0.014118879416993024,0.033859703287667756,-0.007998884875576975,-0.005974270478833645,-0.014789299639731638,0.002058146775514696,0.03044337853427362
ngam_steepness,-0.013408701774979947,-0.012277725344391846,0.02247218422103797,0.024152629352334302,0.02561777032317193,-0.0033686332936194215,-0.001972102319096778,-0.02583850239995546,0.024842589171235076,-0.007998884875576975,0.06920143694766313,0.011327976740671795,0.011426884094137679,0.007192443928578939,-0.020875541082478237
clearance_mult,-0.007902931640095073,-0.0038811634453082455,0.001956151597504338,0.018249364990643162,0.01669645616041522,0.007645255448485881,0.011864862606758097,-0.007969639250878681,0.0006460063007140497,-0.005974270478833644,0.011327976740671795,0.04324618204324279,0.01363251050489124,0.008483746772793253,-0.014913323056195681
resp_scale,-0.023890736498162403,-0.0062912669680960445,0.009994824449648063,0.01737427932257888,0.02496012497568124,-0.003993984797882154,0.022563972688142572,-0.0034661784828036416,0.019973987409325576,-0.014789299639731638,0.011426884094137682,0.013632510504891239,0.054662094087076944,-0.012838856016217875,-0.028914579630502153
disc_resp,0.0013047242895690137,-0.0022857641100275834,0.007016942769369934,0.013403743076212758,-0.005974027018771238,0.011008431834972056,-0.010275123776500163,-0.006037153559524692,-0.006438055480312362,0.002058146775514696,0.00719244392857894,0.008483746772793253,-0.012838856016217875,0.05751925557278864,-0.001742224670877697
disc_growth,0.06563531610833287,0.043023178939923266,-0.05513818015879458,-0.07749417647879296,-0.05616167382603467,0.0021170810155958907,-0.06985463761668732,0.027738688485538083,-0.03746479953262141,0.03044337853427361,-0.02087554108247824,-0.01491332305619568,-0.028914579630502153,-0.0017422246708776957,0.08199893312253936
