rank,eigenvalue,post_over_prior,classification,loadings
1,0.0029886844330375985,0.18937849190563105,CONSTRAINED,"disc_growth +0.838, dTopt -0.448, topt_scale -0.194"
2,0.0078124933494046886,0.30618608752334947,CONSTRAINED,"dTopt -0.621, sigma -0.400, ngam_scale +0.314"
3,0.015046271414892723,0.42491794146483464,CONSTRAINED,"tm_scale -0.515, kappa_scale +0.502, dTopt -0.425"
4,0.018739276617917914,0.4742059883795384,CONSTRAINED,"ngam_scale +0.778, clearance_mult -0.303, ngam_steepness +0.255"
5,0.024879099811589995,0.5463965572174478,INTERMEDIATE,"topt_scale +0.477, kcat_scale -0.472, ngam_steepness +0.384"
6,0.02578303503754636,0.556234141751975,INTERMEDIATE,"topt_scale -0.530, clearance_mult +0.497, f_metab +0.339"
7,0.030547621955573732,0.6054514542611031,INTERMEDIATE,"resp_scale +0.629, kcat_scale -0.517, topt_scale -0.400"
8,0.033643119771252804,0.6353876275589835,INTERMEDIATE,"f_maint -0.541, kcat_scale +0.367, kappa_scale -0.319"
9,0.03875120636909938,0.6819196993995645,INTERMEDIATE,"dCp_scale +0.467, f_metab -0.373, ngam_steepness -0.361"
10,0.05011960459702042,0.7755225690876087,INTERMEDIATE,"disc_resp +0.669, clearance_mult +0.416, f_metab +0.393"
11,0.059953268029658786,0.8481976281244279,PRIOR-DOMINATED,"f_metab -0.466, dCp_scale -0.465, f_maint -0.455"
12,0.0783590560236291,0.9696951439929711,PRIOR-DOMINATED,"resp_scale +0.549, disc_resp -0.412, kcat_scale +0.381"
13,0.0919992503637354,1.0507097621916455,PRIOR-DOMINATED,"ngam_steepness -0.634, f_metab +0.434, f_maint -0.324"
14,0.12630894034868453,1.2311406435433012,PRIOR-DOMINATED,"kappa_scale +0.545, sigma -0.516, tm_scale +0.408"
15,0.4464491281437194,2.314603537914135,PRIOR-DOMINATED,"tm_scale -0.421, disc_growth +0.416, sigma -0.377"
