parameter,median_seed1,median_seed2,difference_sampled,combined_bootstrap_mc,mc_errors,passes
dTopt,12.079088379437408,12.168288840620177,0.08920046118276836,0.05705161435923167,1.5635045946484176,True
topt_scale,1.0950466438129978,1.227620922331726,0.11428112834562368,0.002055646637702074,55.59376122803579,False
dCp_scale,1.5057278392866318,1.2955550857479639,-0.15033711295167934,0.011204528316226835,13.417531618350704,False
tm_scale,1.0688390625076576,0.9562160531828209,-0.1113444651259217,0.0043495935022901545,25.598820916781406,False
kcat_scale,0.9509253028338919,0.7881779054237894,-0.18771168188025997,0.006060190730398974,30.97455018018912,False
kappa_scale,0.9169966973142251,0.8497458708410042,-0.0761665411654326,0.006553000270559504,11.623155504452527,False
sigma,0.5952986918542914,0.2177872933529107,-0.3775113985013807,0.003633157533003312,103.90724736598878,False
f_metab,0.2591468656478472,0.2694109638703735,0.010264098222526274,0.00032383914968191576,31.695050560156083,False
f_maint,0.36625968848610446,0.375029581609972,0.008769893123867556,0.00023568108781989533,37.210847951318875,False
ngam_scale,1.5253916236275573,1.338777725342569,-0.1304941270733117,0.005251092394653739,24.850853358849836,False
ngam_steepness,1.3016855760118191,1.0123016617890037,-0.25143341033974026,0.004492246985507565,55.97052235794011,False
clearance_mult,1.0394923973842334,0.995928177418089,-0.042812649589041574,0.002930806867467537,14.607803081216094,False
resp_scale,2.908026629683059,0.6822740797753871,-1.4497985423242428,0.007409319361123964,195.67229750295365,False
disc_resp,0.37481066742068153,0.5867701129230566,0.44821210187779936,0.008347406621284201,53.69477278547196,False
disc_growth,0.844972493622697,1.0020958301460876,0.17054484774668865,0.004243586602843497,40.188845829707304,False
