parameter,combined_strand_mc,mc_errors,passes
dTopt,0.16557825621262584,0.5387208636152224,True
topt_scale,0.005225486947448838,21.869948101471664,False
dCp_scale,0.03224276288536352,4.662662237916475,False
tm_scale,0.0109491687869515,10.169216247594495,False
kcat_scale,0.017057400228895667,11.004706424269253,False
kappa_scale,0.014229175825011488,5.352842785985541,False
sigma,0.01124625775917783,33.567734848803525,False
f_metab,0.0006552419764836299,15.664591999445422,False
f_maint,0.0007340915778563226,11.946592752742372,False
ngam_scale,0.01228895632652482,10.618812827225174,False
ngam_steepness,0.010184790845319635,24.687145191134203,False
clearance_mult,0.006600626940495215,6.486148963575502,False
resp_scale,0.0167201792708635,86.70950943992894,False
disc_resp,0.017238194340226765,26.001105047984,False
disc_growth,0.012097365906859487,14.097684492620477,False
