seed,percentile,median_shift_K,lo5_shift_K,hi95_shift_K
red1,1,-0.8582300593132252,-6.426292729784537,2.5799658347933514
red1,2,-0.8147119727930715,-6.100436090316108,2.4491440636386304
red1,5,-0.6677782286180225,-5.000219147661198,2.0074396094119344
red2,1,0.5458630304515657,-2.8439642815849684,2.707191923421689
red2,2,0.5181840714946239,-2.6997559981262413,2.5699189264301805
red2,5,0.4247292944210153,-2.212853546203531,2.1064326604898898
