seed,parameter,lo5,median,hi95,prior_lo5,prior_hi95,interval_width_ratio,cube_sd_ratio,median_sampled,bootstrap_mc_sampled
red1,dTopt,-2.644499428405911,12.079088379437408,14.789839630455798,-11.384626593131077,11.384626593131072,0.7656965696784792,0.8680657252729305,12.079088379437408,0.04967544371132534
red1,topt_scale,0.8539988135510987,1.0950466438129978,1.320978246790064,0.6831531515998096,1.2846121798340442,0.77641104600246,0.7847976952523046,0.09079695828732187,0.0018339127241745763
red1,dCp_scale,0.6103139071979292,1.5057278392866318,3.244688084475591,0.4446227071044909,2.249097907104842,1.459911545072578,1.0129672116829913,0.40927635356426645,0.009339113868271272
red1,tm_scale,0.7930596494009055,1.0688390625076576,1.515456155511665,0.7813531546543034,1.2798308779285914,1.449205194899472,1.2030682874694976,0.0665730707126591,0.00430225889321988
red1,kcat_scale,0.44956185521624675,0.9509253028338919,2.2998627101477465,0.3801255467927941,2.685538418094539,0.8025897998421135,0.9374929159057034,-0.05031976561010643,0.0055373621916221544
red1,kappa_scale,0.4110788555022086,0.9169966973142251,2.392834661645307,0.3801255467927941,2.685538418094539,0.8596099340002842,0.8569716144180064,-0.0866514089389644,0.0031962857132744452
red1,sigma,0.1152572231551814,0.5952986918542914,0.8981852114671103,0.15700465967746446,0.7757305628893645,1.2653874425616107,1.1875708902633322,0.5952986918542914,0.003347666661575208
red1,f_metab,0.2193566237284334,0.2591468656478472,0.3115620400979713,0.23065642021864716,0.3293457135995129,0.9343000969081313,0.8973914824763671,0.2591468656478472,0.0002164820211114497
red1,f_maint,0.317104594286239,0.36625968848610446,0.40417447693649333,0.31065438225304354,0.4093451865487109,0.882249195065855,0.926746246191105,0.36625968848610446,0.00017238820910754084
red1,ngam_scale,0.9158244618751968,1.5253916236275573,2.939262889007939,0.43935022239268695,2.274243965059466,1.1027550969746827,0.6374295564625263,0.4222511794572787,0.003802308892907368
red1,ngam_steepness,0.5761490355099083,1.3016855760118191,2.5417483614403324,0.43935022239268695,2.274243965059466,1.07123332551872,0.9112723211927144,0.26366002141721967,0.00270356119344467
red1,clearance_mult,0.6901058450192459,1.0394923973842334,1.4013374330285968,0.5679511465672888,1.665810591955456,0.6478348307673235,0.7203847475612691,0.0387325145523528,0.002288216925702123
red1,resp_scale,0.40920460984210305,2.908026629683059,6.719881341364905,0.1931178968187921,5.1781839822868845,1.26591636366045,0.8099043950028443,1.067474716908627,0.006052703190332962
red1,disc_resp,0.03671266534616144,0.37481066742068153,0.7939101169440155,0.03230531527422375,0.9803235093251026,0.7987161600373424,0.8308014605629095,-0.9813342682954524,0.00426494512577297
red1,disc_growth,0.18606332275978096,0.844972493622697,1.2298149194719543,0.03144857650008849,0.9800161242308731,1.100345040486672,0.9919612882922763,-0.168451210807405,0.003935076742758937
red2,dTopt,-3.065258659924992,12.168288840620177,14.721697417935198,-11.384626593131077,11.384626593131072,0.7811831126983105,0.7006040985197499,12.168288840620177,0.02805774390569273
red2,topt_scale,0.8847144707493355,1.227620922331726,1.3400865974297704,0.6831531515998096,1.2846121798340442,0.757112463699012,0.7130125532157393,0.20507808663294555,0.0009286803643915515
red2,dCp_scale,0.5550235028956081,1.2955550857479639,3.2925431797425895,0.4446227071044909,2.249097907104842,1.5170724855883022,1.0089085284313184,0.2589392406125871,0.006190509425289016
red2,tm_scale,0.7828547811693041,0.9562160531828209,1.2281157981185573,0.7813531546543034,1.2798308779285914,0.8932415555594404,0.8555131089289203,-0.0447713944132626,0.0006399469125444625
red2,kcat_scale,0.3964821818594964,0.7881779054237894,1.660424732071779,0.3801255467927941,2.685538418094539,0.548249975501612,0.7010053111999212,-0.2380314474903664,0.00246242393742571
red2,kappa_scale,0.4221235289905123,0.8497458708410042,2.4465004070132306,0.3801255467927941,2.685538418094539,0.8780973261763996,0.9678240949400995,-0.162817950104397,0.0057206267300944046
red2,sigma,0.07341968616339467,0.2177872933529107,0.816923750699681,0.15700465967746446,0.7757305628893645,1.2016695287471302,1.0411999918946937,0.2177872933529107,0.0014117229128255363
red2,f_metab,0.23373574334623173,0.2694109638703735,0.3053483629674322,0.23065642021864716,0.3293457135995129,0.7256371706384611,0.7701186083630345,0.2694109638703735,0.00024084710793822726
red2,f_maint,0.3410933066257466,0.375029581609972,0.4140305561280792,0.31065438225304354,0.4093451865487109,0.7390480807494507,0.7432150426135236,0.375029581609972,0.0001607105488655427
red2,ngam_scale,0.7384465118912942,1.338777725342569,2.635515750346058,0.43935022239268695,2.274243965059466,1.033885066117028,0.7757656861813935,0.291757052383967,0.0036216596223427574
red2,ngam_steepness,0.5980412461919503,1.0123016617890037,1.933271042761218,0.43935022239268695,2.274243965059466,0.7276878031251475,0.7711666663905389,0.012226611077479393,0.003587623148005074
red2,clearance_mult,0.6124690509276377,0.995928177418089,1.6322652926115215,0.5679511465672888,1.665810591955456,0.9288950839452107,0.9163747816073247,-0.004080135036688776,0.001831308874910292
red2,resp_scale,0.3257265128438182,0.6822740797753871,3.448496364176239,0.1931178968187921,5.1781839822868845,0.6264249656460062,0.8101936048578837,-0.38232382541561594,0.0042734994424779805
red2,disc_resp,0.10763179446654925,0.5867701129230566,1.1473279538181511,0.03230531527422375,0.9803235093251026,1.0967048584890373,0.8728850447467492,-0.5331221664176531,0.007175614285565014
red2,disc_growth,0.23900323394055628,1.0020958301460876,1.3283789139763227,0.03144857650008849,0.9800161242308731,1.1484429154695737,0.6463483911246961,0.0020936369392836516,0.0015884578321222525
