param,median_sampled,lo5,hi95,width,natural_median,prior_sd,width_over_prior,p4_median_natural
dTopt,12.079088379437408,-2.644499428405911,14.789839630455798,17.43433905886171,12.079088379437408,8.0,0.6623989004126789,3.221430919101821
topt_scale,0.09079695828732187,-0.15782547484605175,0.27837255816876083,0.4361980330148126,1.0950466425390122,0.25,0.5303319550332067,0.9267086548609387
dCp_scale,0.40927635356426645,-0.4937818581741414,1.177019223518035,1.6708010816921763,1.5057277762314443,0.5,1.0156845481411407,1.4965982563179412
tm_scale,0.0665730707126591,-0.23185684276200857,0.4157164863025836,0.6475733290645922,1.0688390620537833,0.15,1.312205327385192,1.0090171608313998
kcat_scale,-0.05031976561010643,-0.7994818257850759,0.8328494297539414,1.6323312555390173,0.9509253026698801,0.6,0.8269155296550239,1.4499057927906134
kappa_scale,-0.0866514089389644,-0.8889702203903573,0.8724787140376862,1.7614489344280435,0.9169966967763605,0.6,0.8923246881601031,1.0033331504810628
sigma,0.5952986918542914,0.1152572231551814,0.8981852114671103,0.7829279883119289,0.5952986918542914,0.2,1.1898601646077946,0.7231439763331603
f_metab,0.2591468656478472,0.2193566237284334,0.3115620400979713,0.09220541636953788,0.2591468656478472,0.03,0.9341987474117314,0.29178996596939444
f_maint,0.36625968848610446,0.317104594286239,0.40417447693649333,0.08706988265025434,0.36625968848610446,0.03,0.8821669974696489,0.35229140967576056
ngam_scale,0.4222511794572787,-0.08793056845601951,1.0781588312997528,1.1660893997557722,1.5253916236081306,0.5,0.708868936021746,1.287606015392091
ngam_steepness,0.26366002141721967,-0.551388910894264,0.9328521709293461,1.48424108182361,1.3016855758471182,0.5,0.902274213874535,0.8760949797855098
clearance_mult,0.0387325145523528,-0.3709102951461372,0.3374270875107367,0.708337382656874,1.0394923973705628,0.35,0.615143189454515,0.9610025680360154
resp_scale,1.067474716908627,-0.8935400146088451,1.9050704958217528,2.798610510430598,2.908026629368151,1.0,0.8506414925320966,3.936801749000154
disc_resp,-0.9813342682954524,-3.3046334790252203,-0.2307851398517221,3.073848339173498,0.37481066708063565,0.5,1.8686008140872328,0.3526708157481826
disc_growth,-0.168451210807405,-1.681668218343642,0.20686368517226977,1.8885319035159118,0.8449724879387243,0.5,1.1480437103440193,0.23874603385372228
