temp_C,growth,mu_pred,mu_measured
22.0,0.0101148289466144,0.11837257659399295,0.2607
24.0,0.01783238674866488,0.20869018916692403,0.3367
26.0,0.027959012521377825,0.32720082253956206,0.434
28.0,0.039133722429653156,0.4579770533106943,0.5233
30.0,0.05008269541247151,0.5861115131097439,0.6482
32.0,0.05915696493568449,0.6923065530694258,0.7478
34.0,0.06532263033864667,0.7644625632221596,0.7761
36.0,0.06825673306300173,0.7988000000000316,0.7988
38.0,0.06813063897239471,0.797324336647027,0.7486
40.0,0.06537954957757303,0.7651286819479475,0.6639
42.0,0.06050601285909538,0.7080942919907424,0.6082
44.0,0.05397038797390005,0.6316086923433711,0.2721
