temp_C,growth,mu_pred,mu_measured
22.0,0.050836074233438104,0.09748720274013545,0.2607
24.0,0.08942804307821799,0.17149415838419255,0.3367
26.0,0.14372867012332585,0.2756252565755034,0.434
28.0,0.20972405277865777,0.40218312607757656,0.5233
30.0,0.2779085968488752,0.5329391014700421,0.6482
32.0,0.33819195128541907,0.6485431421916842,0.7478
34.0,0.38313990702258965,0.7347388317640698,0.7761
36.0,0.4083366854888484,0.7830581303680273,0.7988
38.0,0.4165455050127527,0.7987999999999995,0.7486
40.0,0.4109072814635122,0.7879877047839091,0.6639
42.0,0.39411358346799275,0.7557828056855256,0.6082
44.0,0.36732176320968457,0.7044047311059395,0.2721
