line,interval_sd,step,d_growth_term,d_resp_term,pct_growth,T_max_o2_change,o2_before,o2_after,o2_ratio,growth_before,growth_after,max_rel_growth_change
axis:dCp_scale,0.0001953125000000444,0.3791407337202628,-0.008968182936431646,-0.3701725507838276,2.3653968404905354,25.0,0.27848121721279895,0.2279894483401787,0.8186887813190021,0.10412018122357145,0.10407736071646323,0.0004112603974081587
PC1,0.0001953124999999334,0.05249332335053758,0.0016808300748580862,0.050812493275678605,3.2019883055106693,15.0,1.1530465633563678,1.452290500245131,1.259524590245257,0.0035294239688354228,0.0035293126879845575,8.349074964225116e-05
PC2,0.0001953125000000444,0.40068258564445003,0.0009809473417958792,0.3997016383026555,0.24481906050849186,20.0,1.461641122241275,2.7180407734367273,1.859581488285506,0.07633550927974794,0.07634402677129473,0.00011157967801819138
random1,0.0001953125000000444,0.5885838030015869,-0.005190935688239584,-0.5833928673133464,0.8819365503718417,20.0,1.174008657545622,0.6651477088268247,0.5665611616675639,0.022817135730698365,0.022802048899299134,0.0006612061907022678
