temp_C,growth,mu_pred,mu_measured
22.0,0.019558071892081225,0.22906245407417095,0.289
24.0,0.03162191191307665,0.3703531097183124,0.3675
26.0,0.044988552444009164,0.5269020527653188,0.4785
28.0,0.05710964332231884,0.6688632255210966,0.5453
30.0,0.06664578197450015,0.7805496603656594,0.578
32.0,0.07510359601896918,0.8796068502471159,0.8002
34.0,0.08205860618014989,0.9610633304370616,0.6742
36.0,0.0855478963898755,1.0019295969497815,0.6231
38.0,0.08566794711659859,1.0033356207249426,0.4819
40.0,0.08288957818391071,0.970795602999443,0.0
42.0,0.07717723105782301,0.9038930852847509,0.0
44.0,0.06677289292518662,0.7820383728760032,0.0
