temp_C,growth,mu_pred,mu_measured
22.0,0.05083607423339147,0.09748720274004438,0.2607
24.0,0.08942804307820604,0.17149415838416673,0.3367
26.0,0.14372867012328763,0.2756252565754255,0.434
28.0,0.2097240527786798,0.40218312607761203,0.5233
30.0,0.2779085968488036,0.5329391014698959,0.6482
32.0,0.3381919512853761,0.6485431421915909,0.7478
34.0,0.383139907022596,0.7347388317640696,0.7761
36.0,0.4083366854888637,0.7830581303680435,0.7988
38.0,0.4165455050127538,0.7987999999999881,0.7486
40.0,0.4109072814635137,0.7879877047838988,0.6639
42.0,0.3941135834679947,0.7557828056855166,0.6082
44.0,0.3673217632096815,0.7044047311059218,0.2721
