temp_C,growth,mu_pred,mu_measured
22.0,0.006964861494928497,0.05277333765336532,0.2984
24.0,0.012510972027416961,0.0947966806885457,0.4086
26.0,0.021033940649055553,0.15937592626382166,0.4879
28.0,0.03277601685183944,0.24834661902666766,0.5949
30.0,0.046957154739547924,0.35579828602706864,0.6167
32.0,0.061649261041006695,0.4671216034039607,0.6033
34.0,0.07462763039901944,0.5654597927303701,0.5387
36.0,0.08447573221720849,0.6400796832873389,0.4686
38.0,0.0897414327755801,0.6799783365126479,0.153
40.0,0.09052224587538575,0.6858946226283473,0.0
42.0,0.08755636542511665,0.6634218985755378,0.0
44.0,0.08179429067578999,0.619762176619607,0.0
