rxn_id,mw_kDa,kcat_s,source,group
R02760__cyto,71.952,13.7,default_13.7,
R05590__cyto,61.255,2.2821,dlkcat,Aminobenzoate degradation
R04445__mito,64.57,2.211,dlkcat,Arginine and proline metabolism
R09844__cyto,41.225,0.1828,dlkcat,Biosynthesis of antibiotics
R07385__cyto,205.92,13.7,default_13.7,Ether lipid metabolism
R01388__cyto,45.3625,44.5606,dlkcat,Biosynthesis of antibiotics
R03459__cyto,32.08,213.0032,dlkcat,Riboflavin metabolism
R01664__cyto,31.315,42.9755,dlkcat,Pyrimidine metabolism
R04494__cyto,67.02037,29.1141,dlkcat,
R04725__mito,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R03457__cyto,74.243333,63.3764,dlkcat,Histidine metabolism
R00519__cyto,41.4,3.3369,dlkcat,Microbial metabolism in diverse environments
R00190__cyto,20.06,2.4854,dlkcat,Purine metabolism
R00530__cyto,87.6,3.1005,dlkcat,Microbial metabolism in diverse environments
R00959__cyto,65.49,55.2936,dlkcat,Biosynthesis of antibiotics
R00516__cyto,58.325,46.3595,dlkcat,Pyrimidine metabolism
R03899__cyto,52.32,8.8827,dlkcat,
R00691__cyto,74.243333,67.3635,dlkcat,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R01224__cyto,69.47,3.0139,dlkcat,One carbon pool by folate
R00626__cyto,71.910909,13.7,default_13.7,
R02529__cyto,77.315,34.1247,dlkcat,"Glycine, serine and threonine metabolism"
R00200__cyto,55.58,19.6507,dlkcat,Biosynthesis of antibiotics
R02484__cyto,42.08,1.3789,dlkcat,Pyrimidine metabolism
R07495__cyto,39.01,0.0689,dlkcat,Biosynthesis of antibiotics
R07168__mito,70.755,5.7633,dlkcat,Carbon fixation pathways in prokaryotes
R04773__cyto,144.23,1.1986,dlkcat,Selenocompound metabolism
R01226__cyto,34.39,4.8389,dlkcat,Pantothenate and CoA biosynthesis
R07002__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R09736__mito,33.23,0.5761,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R00627__cyto,29.98,11.5525,dlkcat,
R11337__cyto,46.46,3.9824,dlkcat,
R02095__cyto,76.04,2.2798,dlkcat,Pyrimidine metabolism
R02102__cyto,31.315,30.4007,dlkcat,Pyrimidine metabolism
R04496__cyto,26.62,13.7,default_13.7,Biosynthesis of antibiotics
R00192__cyto,48.81,2.626,dlkcat,Cysteine and methionine metabolism
R02918__cyto,54.855,6.577,dlkcat,Aminoacyl-tRNA biosynthesis
R00310__mito,43.66,0.1583,dlkcat,Porphyrin and chlorophyll metabolism
R03516__cyto,131.822,13.7,default_13.7,
R00847__cyto,98.78,0.2988,dlkcat,Glycerolipid metabolism
R02457__pero,38.965,18.8919,dlkcat,D-Arginine and D-ornithine metabolism
R01497__cyto,52.13,5.4879,dlkcat,Sphingolipid metabolism
R03012__cyto,92.31,3.8607,dlkcat,Histidine metabolism
R03858__cyto,43.63,0.4195,dlkcat,Fatty acid elongation
R07094__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R04961__cyto,41.33,13.7,default_13.7,Fatty acid biosynthesis
R11893__mito,72.695,105.4466,dlkcat,Drug metabolism - other enzymes
R03038__cyto,105.59,4.9448,dlkcat,Aminoacyl-tRNA biosynthesis
R02732__mito,111.04,2.0085,dlkcat,Fructose and mannose metabolism
R01214__mito,41.27,1.3939,dlkcat,Glucosinolate biosynthesis
R04556__cyto,41.33,26.7047,dlkcat,
R04023__cyto,131.822,13.7,default_13.7,
R04966__cyto,41.33,13.7,default_13.7,Fatty acid biosynthesis
R02737__cyto,100.755,7.1877,dlkcat,Biosynthesis of secondary metabolites
R08558__cyto,46.52125,529.8585,dlkcat,"Glycine, serine and threonine metabolism"
R03971__cyto,63.94,10.533,dlkcat,Cyanoamino acid metabolism
R10920__cyto,51.314286,16.0293,dlkcat,
R07888__pero,79.816667,8.0096,dlkcat,alpha-Linolenic acid metabolism
R11323__cyto,83.995,13.8385,dlkcat,Pyrimidine metabolism
R03443__cyto,95.28,13.292,dlkcat,2-Oxocarboxylic acid metabolism
R00178__cyto,48.1,13.7,default_13.7,Arginine and proline metabolism
R03417__pero,232.64,13.7,default_13.7,Glycerophospholipid metabolism
R02678__cyto,55.203333,19.4662,dlkcat,Tryptophan metabolism
R02868__cyto,147.8575,20.0347,dlkcat,
R04441__cyto,63.0,1.0432,dlkcat,2-Oxocarboxylic acid metabolism
R08769__mito,50.115385,16.9789,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R10088__cyto,28.78,130.0602,dlkcat,
R01286__cyto,43.97,15.1343,dlkcat,Cysteine and methionine metabolism
R07035__cyto,18.32,432.0968,dlkcat,Arachidonic acid metabolism
R00160__cyto,83.995,13.7,default_13.7,Riboflavin metabolism
R03004__cyto,47.68,0.5348,dlkcat,Nicotinate and nicotinamide metabolism
