c_max,point,optimised,growth_R2,resp_R2,rmax,Topt_C,logL,logpost,kcat_scale,dTopt,dTm,disc_growth,nfev
120.0,Parsa D_LB MAP (his cap 256.7),False,0.6414493498650473,0.3969234161737377,1.7960617585493561,42.5,-38.53987645139691,-48.259361536232205,1.7899881526347674,6.401489538317418,-1.4295195158852843,0.3753363571812535,
120.0,P4 D_LB MAP (cap 120),False,0.19619958388023395,0.9231073519999595,1.6982194903969092,44.0,-8.971401099314791,-19.629354547144978,2.1670438486793664,4.2136188392271965,1.731858451328426,0.9086504811273161,
120.0,"P5 chain MAP (cap 257, dead mode)",False,-2.1891938090672682,-21.163860977965687,0.00021453554758444428,54.5,-25.638182315654145,-33.19495788278377,0.7755708507611035,14.497626066395714,-2.0933328471466695,1.4577118195576777,
120.0,Powell from Parsa's MAP,True,0.5788192680865125,0.7569101930009123,1.7864984874428202,44.0,-10.522707014391546,-19.494558248408588,1.7837838391656204,7.15823742917639,-1.2246036378989085,0.6586024079678039,600.0
120.0,Powell from P4's MAP,True,0.2579085381666204,0.9433874188006173,1.7549359608117316,44.0,-5.66722485156942,-15.640307223756103,2.58116620156602,4.2581410130200235,1.2259493651492022,0.847097205610507,600.0
257.0,Parsa D_LB MAP (his cap 256.7),False,0.8950390617344078,0.7952090008045977,2.437169781021121,44.0,-1.0069500844612191,-10.726435282009906,1.7899881526347674,6.401489538317418,-1.4295195158852843,0.3753363571812535,
257.0,P4 D_LB MAP (cap 120),False,0.3202816764303227,0.8086517461868306,1.9500643570597749,44.0,-26.246219140813658,-36.9041725815341,2.1670438486793664,4.2136188392271965,1.731858451328426,0.9086504811273161,
257.0,"P5 chain MAP (cap 257, dead mode)",False,-2.1891938090672682,-21.163860977965687,0.00021453554758436491,54.5,-25.638182315654145,-33.19495788278377,0.7755708507611035,14.497626066395714,-2.0933328471466695,1.4577118195576777,
257.0,Powell from Parsa's MAP,True,0.8932552913483189,0.8359516104581612,2.4293867688627446,44.0,0.3386195920105979,-9.089319444057475,1.8577513382241926,6.486947774924836,-1.321438207761775,0.33159683910380355,600.0
257.0,Powell from P4's MAP,True,0.46311892768079965,0.8943389811724465,1.7692187516093427,44.0,-5.73339662951903,-14.57845256544021,2.1023403255741617,3.5786025560454098,1.839617065629121,0.7414770500525958,600.0
