temp_C,growth,mu_pred,mu_measured
22.0,0.01695780340955889,0.12849069372645558,0.289
24.0,0.02799606381000557,0.21212851533176869,0.3675
26.0,0.041332264861744974,0.3131780253082531,0.4785
28.0,0.05504561858820174,0.41708525262258006,0.5453
30.0,0.06664645641817264,0.5049857704302602,0.578
32.0,0.0771393520483828,0.5844913175912217,0.8002
34.0,0.08599298673227003,0.651576047556426,0.6742
36.0,0.09119949605165609,0.6910262038168806,0.6231
38.0,0.09261055092733059,0.7017178845424228,0.4819
40.0,0.09073611027011896,0.6875150910215101,0.0
42.0,0.08605452239624066,0.6520423084253335,0.0
44.0,0.0792782977833271,0.60069828819281,0.0
