temp_C,growth
5.0,0.0
6.0,0.003420812366792682
7.0,0.008471444051786844
8.0,0.014513288063819454
9.0,0.021717763959535886
10.0,0.03020450077023617
11.0,0.040112970675089364
12.0,0.05157883515142779
13.0,0.0647270601363092
14.0,0.07967128592970162
15.0,0.09650737050880816
16.0,0.1153083245930854
17.0,0.13612548215555703
18.0,0.15902345647726088
19.0,0.18403557585796604
20.0,0.21102637057607393
21.0,0.23989014644199097
22.0,0.2704752533036299
23.0,0.30263082913884565
24.0,0.33615962931931753
25.0,0.37070847845898636
26.0,0.4047711709845929
27.0,0.43928700425031314
28.0,0.4738541475694301
29.0,0.5080500445959526
30.0,0.5414633930242171
31.0,0.5462473681187057
32.0,0.5462473681187057
33.0,0.5462473681187057
34.0,0.5462473681187057
35.0,0.5462473681187057
36.0,0.5462473681187057
37.0,0.5462473681187057
38.0,0.5462473681187057
39.0,0.5462473681187057
40.0,0.5462473681187057
41.0,0.5462473681187057
42.0,0.5462473681187057
43.0,0.5462473681187057
44.0,0.5462473681187057
45.0,0.49118096777795944
46.0,0.13364774514122474
47.0,0.012802875606322617
48.0,0.001281460013447018
49.0,0.00010106683676417287
50.0,1.7272694293160463e-05
51.0,1.716617050593304e-05
52.0,1.6390333504095282e-05
53.0,1.4597878942270389e-05
54.0,1.0276541895416678e-05
55.0,7.017223310559172e-06
56.0,4.4533124524137985e-06
57.0,4.093094699026514e-06
58.0,3.547903080648233e-06
59.0,3.2912868736832577e-06
60.0,2.7691574247463477e-06
