temp_C,growth
5.0,0.001283862660013673
6.0,0.005839442311107754
7.0,0.011216509704836978
8.0,0.017654479029375423
9.0,0.025332361518224805
10.0,0.03437932413288931
11.0,0.04494471404917219
12.0,0.05717378164657954
13.0,0.07120023350577702
14.0,0.08714574652792607
15.0,0.1051129669171563
16.0,0.1251800993121568
17.0,0.14740224562952403
18.0,0.17184916952016796
19.0,0.19855688531520008
20.0,0.22737964974861893
21.0,0.2582045616862106
22.0,0.29086958342818087
23.0,0.32521377721245515
24.0,0.3610264885791404
25.0,0.39792979683219776
26.0,0.42846812065045
27.0,0.45846156112537945
28.0,0.4874893250240053
29.0,0.5151307671400541
30.0,0.5409989222218188
31.0,0.5429018962625913
32.0,0.5398779953378527
33.0,0.5368540944131144
34.0,0.5338301934883757
35.0,0.530806292563637
36.0,0.5277823916388984
37.0,0.52475849071416
38.0,0.52475849071416
39.0,0.52475849071416
40.0,0.52475849071416
41.0,0.52475849071416
42.0,0.52475849071416
43.0,0.52475849071416
44.0,0.52475849071416
45.0,0.4915814924434461
46.0,0.13375562504712651
47.0,0.01281307533237284
48.0,0.0012824642332197468
49.0,0.00010114443650429788
50.0,1.728562468997003e-05
51.0,1.717861728007942e-05
52.0,1.6401729468112408e-05
53.0,1.4607440726610349e-05
54.0,1.0282650665563954e-05
55.0,7.020657970592535e-06
56.0,4.4545501697615475e-06
57.0,4.092229389850461e-06
58.0,3.5425607687145656e-06
59.0,3.285645443563166e-06
60.0,2.7605642291536937e-06
