rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
36,DHPS2No1,P0AC13,default,2.0275272643492197e-06,0.0,-0.0,3.866107707750643e-06,-1.4122036873231986e-11,-0.00034819761865456655,-6.322498080635339e-11
37,APG3PAT160No1,P60782,default,2.3665539959777513e-06,0.0,-0.0,2.768675788189512e-06,-1.5099033134902124e-13,-0.00024457177810432995,-1.5099033134902124e-13
38,FACOAE120No1,P0AGG2,default,2.5481254976314413e-06,0.0,-0.0,-1.4253457791824076e-07,1.4344081478157018e-11,-1.0876386983937891e-05,6.344258451917992e-11
39,PPANo1,P0A840,default,2.6949722496888606e-06,0.0,-0.0,8.090872150035011e-07,1.598721155460225e-13,-8.011869118185189e-05,1.5099033134902124e-13
40,UAGCVTNo1,P0A749,default,1.1762675232378097e-05,0.0,-0.0,2.218140810583691e-06,4.618527782440649e-13,-0.00020371976145661108,4.618527782440649e-13
41,NNDPRNo1,P30011,default,1.3234519583456693e-05,0.0,-0.0,7.93572993984526e-07,-1.3322676295501873e-13,7.935729957608828e-07,-1.287858708565181e-13
42,ACOAD7f_REVNo1,Q47146,default,1.4330288558269215e-05,0.0,-0.0,1.366210984343752e-06,-7.105427357600999e-14,-0.00021331521938350306,-7.105427357600999e-14
43,GLUDyNo1,P00370,default,0.00029565198197209697,0.0,-0.0,1.1082624240543737e-07,-3.2862601528904623e-13,-0.05466818749082947,-3.241851231905456e-13
44,AACPS3No1,P0A6A8,default,0.00012933180992352001,0.0,-0.0,0.00045930610111710735,-8.881784197001249e-15,-0.45575084362768337,-8.881784197001249e-15
45,UAGDPNo1,P0ACC7,default,0.0001320956302640899,0.0,-0.0,0.00011310511209572383,-1.3322676295501873e-13,9.055713629457784e-05,-1.287858708565181e-13
46,AACPS4No1,P0A6A8,default,0.00015243618565812572,0.0,-0.0,0.0005412935364894622,1.4042100815458975e-11,-0.5162533438876071,6.314060385648188e-11
47,CYTBD2ppNo1,P26458,default,0.00018348389699731284,0.0,-0.0,5.017671213636277e-06,1.6875389974302374e-13,-0.010047786598995856,1.6875389974302374e-13
48,GK1No1,P60546,default,0.00019928498683018445,0.0,-0.0,0.00013110635416069272,9.769962616701374e-14,5.0308100297158376e-05,1.0214051826551436e-13
49,ACACT6rNo2,P21151,default,0.000245692949062924,0.0,-0.0,7.966396062997205e-05,-1.77635683940025e-13,-0.006434164290485711,-1.6875389974302374e-13
50,ACACT7rNo2,P21151,default,0.000245692949062924,0.0,-0.0,7.966396065484105e-05,-3.5527136788004997e-14,-0.006434164290459066,-3.5527136788004997e-14
51,ACACT5rNo1,P21151,default,0.00031445898204862833,0.0,-0.0,0.00010195865343121113,-1.7763568394002498e-14,-0.00823509485946694,-0.0
52,GTPCINo1,P0A6T5,default,0.00012446413142471315,0.0,-0.0,6.147341535012174e-05,-2.0428103653102873e-13,-0.005495564756316185,-2.0428103653102873e-13
53,ACACT2rNo2,P21151,default,0.00031445898204862833,0.0,-0.0,0.00010195865338857857,5.3290705182007495e-14,-0.008235094859509573,5.3290705182007495e-14
54,ACACT4rNo2,P21151,default,0.00031445898204862833,0.0,-0.0,0.00010195865343476385,-2.6645352591003748e-14,-0.008235094859461611,-1.7763568394002498e-14
55,ACACT3rNo2,P21151,default,0.00031445898204862833,0.0,-0.0,0.00010195865346318556,-2.575717417130362e-13,-0.008235094859431413,-2.353672812205331e-13
56,PPCDCNo1,P0ABQ0,default,0.00042496220447202376,0.0,-0.0,0.0005260180902944,-1.3322676295501873e-13,0.0004969620307075928,-1.3766765505351936e-13
57,UAMAGSNo1,P14900,default,0.0005383810306401507,0.0,-0.0,0.005511549283063744,8.881784197001249e-15,0.004975004570784591,8.881784197001249e-15
58,SUCOAS_REVNo1,P0A836,default,0.0005632779333465455,0.0,-0.0,2.1427576172072804e-05,-3.4638958368304874e-13,-0.013821439098670396,-3.5527136788005e-13
59,NADS1No1,P18843,default,0.0009581541947945842,0.0,-0.0,0.001351723719647424,1.5099033134902124e-13,0.0013338252159016406,1.4654943925052061e-13
60,PPNCL2No1,P0ABQ0,default,0.00012895205206663117,0.0,-0.0,0.00015961208121950676,1.1546319456101623e-13,0.00015079520762739662,1.0658141036401499e-13
61,CTPS2No1,P0A7E5,default,0.0001150956469865986,0.0,-0.0,0.0001457746161968032,5.151434834260724e-13,-0.0006689080771504763,5.284661597215743e-13
62,PGAMT_REVNo1,P31120,default,1.5264947090193402e-05,0.0,-0.0,6.329210446409661e-06,3.5527136788004997e-14,-0.0005846060026879485,3.5527136788004997e-14
63,ACOAD4f_REVNo1,Q47146,default,3.9958810700761974e-05,0.0,-0.0,3.8095446122099474e-06,-7.105427357600999e-14,-0.0005948119614913594,-6.217248937900874e-14
64,ALARNo1,P29012,default,2.464756801074647e-05,0.0,-0.0,1.3481799214787316e-06,-1.4672707493446062e-11,-2.7547888786116914e-05,-6.376232875027196e-11
65,CTECOAI7_REVNo1,P21177,default,2.6491968366568615e-05,0.0,-0.0,7.59149151008387e-06,1.4086509736443981e-11,-0.00015340459414936447,6.319389456166388e-11
66,UAAGDSNo1,P22188,default,2.6987695577174924e-05,0.0,-0.0,1.4527350160165042e-05,1.77635683940025e-13,-0.0012973115039738303,1.7319479184152437e-13
67,ACOAD6f_REVNo1,Q47146,default,3.1220599831996935e-05,0.0,-0.0,2.9764771731777273e-06,-1.2434497875801748e-13,-0.0004647381268210182,-1.2434497875801748e-13
68,ACOAD5f_REVNo1,Q47146,default,3.9958810700761974e-05,0.0,-0.0,3.809544615762661e-06,8.881784197001249e-15,-0.0005948119614735958,4.4408920985006246e-15
69,ACOAD3f_REVNo1,Q47146,default,3.9958810700761974e-05,0.0,-0.0,3.8095447543184946e-06,2.0428103653102873e-13,-0.0005948119613332636,1.9539925233402748e-13
70,ACOAD2f_REVNo1,Q47146,default,3.9958810700761974e-05,0.0,-0.0,3.80954460510452e-06,-1.7763568394002498e-14,-0.0005948119614807013,-2.6645352591003748e-14
71,METSNo2,P25665,default,4.5686020659784406e-05,0.0,-0.0,5.975160478755015e-05,7.105427357600999e-14,5.9751624426951366e-05,6.217248937900874e-14
72,ADK3No1,P69441,default,0.00011179222407637101,0.0,-0.0,0.0007793089030698752,-1.4308554341369013e-11,0.008984735221039486,-6.339817559819491e-11
73,GLUTRRNo1,P0A6X1,default,4.9975589233651775e-05,0.0,-0.0,6.821759473751854e-06,9.769962616701374e-14,-0.0007850170956871239,1.0214051826551436e-13
74,UAMASNo1,P17952,default,5.185390513270443e-05,0.0,-0.0,2.393684287582687e-05,-2.1316282072802998e-13,-0.0017060781476878617,-2.0428103653102873e-13
75,R15BPKNo1,P16690,default,6.248782680034997e-05,0.0,-0.0,2.7737613635281377e-05,-5.3290705182007495e-14,-0.01190600633901262,-4.884981308350687e-14
76,GLNSNo1,P0A9C5,default,6.85661468552429e-05,0.0,-0.0,0.0001863423667955999,-6.217248937900874e-14,-0.01703256587469859,-6.661338147750937e-14
77,KDOPSNo1,P0A715,default,7.6691406757755e-05,0.0,-0.0,0.00011019845671356165,-2.6645352591003748e-14,9.75209301063984e-05,-3.996802888650562e-14
78,AACPS7No1,P0A6A8,default,7.886293584078746e-05,0.0,-0.0,0.00028014559577371756,-1.3322676295501873e-13,-0.27496712691981884,-1.287858708565181e-13
79,3OAR140No1,P0AEK2,default,0.00010207950235446251,0.0,-0.0,6.952500266521611e-05,1.2434497875801748e-13,-0.005916491420606462,1.287858708565181e-13
80,ADCSNo1,P00903,default,1.1335774356523789e-06,0.0,-0.0,2.2391481024897075e-07,-3.5527136788004997e-14,-1.9322868395121873e-05,-2.6645352591003748e-14
