temp_C,growth,mu_pred,mu_measured
22.0,0.1408597635496392,0.29216068494571185,0.289
24.0,0.201672535994888,0.4182939454547745,0.3675
26.0,0.26286082203631106,0.5452060679092218,0.4785
28.0,0.31636211390758173,0.6561744075165966,0.5453
30.0,0.35565652736038245,0.7376759126988383,0.578
32.0,0.3764491192888256,0.7808023367856561,0.8002
34.0,0.3790066372719442,0.7861069474628252,0.6742
36.0,0.3772543635368058,0.782472513599176,0.6231
38.0,0.3578693432708478,0.7422655683660686,0.4819
40.0,0.32119778811569627,0.6662041978074145,0.0
42.0,0.27251735617209916,0.5652349218290232,0.0
44.0,0.2167732379711908,0.44961468120911896,0.0
