temp_C,growth
5.0,0.008812262900999662
6.0,0.01288512063266569
7.0,0.017008713096300657
8.0,0.022150793025016286
9.0,0.028189146414118706
10.0,0.03525118818866908
11.0,0.04362195632167882
12.0,0.053344392269805044
13.0,0.06444255323289491
14.0,0.0769579477142581
15.0,0.09092893882590199
16.0,0.10637417299669012
17.0,0.12328738501643641
18.0,0.14163528708125636
19.0,0.16135834036436306
20.0,0.1823641856662011
21.0,0.2045598230451879
22.0,0.22780658465859105
23.0,0.2520741584694857
24.0,0.2773045091869647
25.0,0.3030481944458738
26.0,0.3284688802694797
27.0,0.35390303837859344
28.0,0.37905952401000825
29.0,0.4036506862496673
30.0,0.4273874517697886
31.0,0.44998753631545735
32.0,0.4711739367656535
33.0,0.49070615997664657
34.0,0.5083519601683557
35.0,0.5238900647789516
36.0,0.5364456159326172
37.0,0.5463066160466057
38.0,0.5536068125373573
39.0,0.5582691689026198
40.0,0.5603394113347988
41.0,0.5596486462845541
42.0,0.5556658104979734
43.0,0.546479911383222
44.0,0.516484428262778
45.0,0.365194919773304
46.0,0.10032701801106643
47.0,0.009514365012145871
48.0,0.0009482590304369548
49.0,7.425553823649354e-05
50.0,1.3059181672102764e-05
51.0,1.2983637524568055e-05
52.0,1.2432430546982705e-05
53.0,1.1059077954582021e-05
54.0,7.697196345538658e-06
55.0,5.489698672644361e-06
56.0,3.3755253460228296e-06
57.0,3.3683511308751623e-06
58.0,2.989568424622259e-06
59.0,6.525654977218669e-06
60.0,5.492296620309652e-06
