scheme,input,n,reference,max_dev,spread,n_gt_1e9,n_gt_1e6,n_gt_1e3,n_gt_1,n_unresolved_or_timeout,s_per_eval,fresh_vs_fresh,first_value,statuses_vary,space
B,prior17401:draw5:infeasible,50,-inf,0.0,0.0,0,0,0,0,0,0.1932367992401123,0.0,-inf,False,D_NLDM_validation
B,run2:608,50,-15.78265383727421,1.2907156209244501,1.2907156246119236,26,4,2,2,0,3.20377724647522,0.0,-15.782653822882343,False,D_NLDM_validation
B,run2:570,50,-15.680272702407292,1.41843814964807,1.418438210639895,50,2,2,2,0,3.081742024421692,0.0,-15.680272669305815,False,D_NLDM_validation
B,prior17401:draw1:feasible,50,-39.666294218092474,2.7263524771115044e-11,3.7118752516107634e-11,0,0,0,0,0,2.926907811164856,0.0,-39.66629421808987,False,D_NLDM_validation
B,ELB:parsa_MAP,50,-23.124978206227333,9.081850866412253,9.081859338610755,49,49,46,46,0,3.210343418121338,0.0,-19.232133496140975,False,E_LB
B,ELB:prior17402:draw1,50,-230.42375262631492,23.27727270748062,21.676227279365094,50,50,50,50,0,3.2033807134628294,0.0,-220.7315873961432,False,E_LB
B,ELB:prior17402:draw2,50,-1859.2727796278668,20.040974753170758,20.040974753361752,45,45,45,45,0,3.0610157823562623,0.0,-1843.6538420726406,False,E_LB
C,run2:462,50,-15.483895845683447,0.04037468994029858,6.49329596313919e-07,50,50,50,0,0,1.3000377702713013,0.0,-15.443521748469763,False,D_NLDM_validation
C,run2:319,50,-15.934501164617735,0.05999488153611665,0.020463196101905723,50,50,50,0,0,1.2592748641967773,0.0,-15.874506704159607,False,D_NLDM_validation
C,prior17401:draw3:feasible,50,-60.22209337253369,0.0006596326154166832,5.207567710385774e-11,50,50,0,0,0,1.2489856147766114,0.0,-60.22275300514844,False,D_NLDM_validation
C,run3:791,50,-19.767136323766394,0.13144797609365355,4.050372943709135e-06,50,50,50,0,0,1.3425672912597657,0.0,-19.635692398045588,False,D_NLDM_validation
C,run1:427,50,-13.492975429018045,0.009320383156756762,1.2733178316182148e-06,50,50,50,0,0,1.2682896041870118,0.0,-13.483655912433253,False,D_NLDM_validation
C,run2:149,50,-15.647546085384223,0.22315961349522873,0.2402950364935652,50,50,50,0,0,1.26224796295166,0.0,-15.424390401850864,False,D_NLDM_validation
C,run1:419,50,-12.62274139376662,0.026700127791066564,0.0001338345461636692,50,50,50,0,0,1.3111944437026977,0.0,-12.596174540300389,False,D_NLDM_validation
C,prior17401:draw12:infeasible,50,-inf,0.0,0.0,0,0,0,0,0,0.0939586877822876,0.0,-inf,False,D_NLDM_validation
C,run3:297,50,-19.767194346776236,0.13191817612510448,4.071368888247662e-06,50,50,50,0,0,1.3485681438446044,0.0,-19.635276191705387,False,D_NLDM_validation
C,run3:105,50,-19.76450434884545,0.12876318256665797,4.075132597591846e-06,50,50,50,0,0,1.3388388872146606,0.0,-19.635745227198868,False,D_NLDM_validation
C,run1:286,50,-13.178341443614784,0.030648341548374702,0.016842169629702752,50,50,50,0,0,1.3145772218704224,0.0,-13.208985747049194,False,D_NLDM_validation
C,run1:701,50,-12.607964741788031,0.17120935452356711,0.09325411235807657,50,50,50,0,0,1.2565385913848877,0.0,-12.530009499537897,False,D_NLDM_validation
C,prior17401:draw2:feasible,50,-248.37832173437,0.0038585458083275626,1.3463164805216365e-07,50,50,50,0,0,1.1986190605163574,0.0,-248.37446332318888,False,D_NLDM_validation
C,run1:27,50,-13.484938802198752,0.0019055282703721588,1.8349211270418664e-06,50,50,50,0,0,1.2933008766174316,0.0,-13.483035062159198,False,D_NLDM_validation
C,run3:654:crash,50,-19.760854155863385,0.1340625732259788,3.998602839061505e-06,50,50,50,0,0,1.3495674896240235,0.0,-19.626791589396422,False,D_NLDM_validation
C,prior17401:draw5:infeasible,50,-inf,0.0,0.0,0,0,0,0,0,0.1775917625427246,0.0,-inf,False,D_NLDM_validation
C,run2:608,50,-15.78265383727421,0.03595970563864448,0.02425153527670254,50,50,50,0,0,1.3128384923934937,0.0,-15.818613506245493,False,D_NLDM_validation
C,run2:570,50,-15.680272702407292,0.006698391649184288,3.0751762025715834e-08,50,50,50,0,0,1.2275941467285156,0.0,-15.686971070020693,False,D_NLDM_validation
C,prior17401:draw1:feasible,50,-39.666294218092474,0.002599061072096731,2.1316282072803006e-14,50,50,50,0,0,1.1192778778076171,0.0,-39.66369515702039,False,D_NLDM_validation
C,ELB:parsa_MAP,50,-23.124978206227333,inf,0.0,50,50,50,49,49,5.142985057830811,0.0,,True,E_LB
C,ELB:prior17402:draw1,50,-230.42375262631492,inf,1.2568445065701894,50,50,50,15,15,1.620588412284851,0.0,,True,E_LB
C,ELB:prior17402:draw2,50,-1859.2727796278668,inf,0.2655885708211372,50,50,50,50,47,3.6304971265792845,0.0,,True,E_LB
D,run3:654:crash,5,-19.760854155863385,0.0,0.0,0,0,0,0,0,1.9842321395874023,0.0,-19.760854155863385,False,D_NLDM_validation
D,run3:791,5,-19.767136323766394,0.0,0.0,0,0,0,0,0,1.9644611835479737,0.0,-19.767136323766394,False,D_NLDM_validation
D,run3:297,5,-19.767194346776236,0.0,0.0,0,0,0,0,0,2.000050401687622,0.0,-19.767194346776236,False,D_NLDM_validation
D,run3:105,5,-19.76450434884545,0.0,0.0,0,0,0,0,0,2.0522905826568603,0.0,-19.76450434884545,False,D_NLDM_validation
D,run1:27,5,-13.484938802198752,0.0,0.0,0,0,0,0,0,1.9413575649261474,0.0,-13.484938802198752,False,D_NLDM_validation
D,run1:427,5,-13.492975429018045,0.0,0.0,0,0,0,0,0,1.9622786521911622,0.0,-13.492975429018045,False,D_NLDM_validation
D,run1:701,5,-12.607964741788031,0.0,0.0,0,0,0,0,0,1.8548967838287354,0.0,-12.607964741788031,False,D_NLDM_validation
D,run1:286,5,-13.178341443614784,0.0,0.0,0,0,0,0,0,1.9006217956542968,0.0,-13.178341443614784,False,D_NLDM_validation
D,run1:419,5,-12.62274139376662,0.0,0.0,0,0,0,0,0,1.9026322841644288,0.0,-12.62274139376662,False,D_NLDM_validation
D,run2:462,5,-15.483895845683447,0.0,0.0,0,0,0,0,0,1.9068880081176758,0.0,-15.483895845683447,False,D_NLDM_validation
D,run2:319,5,-15.934501164617735,0.0,0.0,0,0,0,0,0,1.9326521396636962,0.0,-15.934501164617735,False,D_NLDM_validation
D,run2:608,5,-15.78265383727421,0.0,0.0,0,0,0,0,0,1.9560240745544433,0.0,-15.78265383727421,False,D_NLDM_validation
D,run2:570,5,-15.680272702407292,0.0,0.0,0,0,0,0,0,1.8607720851898193,0.0,-15.680272702407292,False,D_NLDM_validation
D,run2:149,5,-15.647546085384223,0.0,0.0,0,0,0,0,0,1.9525605678558349,0.0,-15.647546085384223,False,D_NLDM_validation
D,prior17401:draw1:feasible,5,-39.666294218092474,0.0,0.0,0,0,0,0,0,1.8615336894989014,0.0,-39.666294218092474,False,D_NLDM_validation
D,prior17401:draw2:feasible,5,-248.37832173437,0.0,0.0,0,0,0,0,0,1.908603811264038,0.0,-248.37832173437,False,D_NLDM_validation
D,prior17401:draw3:feasible,5,-60.22209337253369,0.0,0.0,0,0,0,0,0,2.0248494148254395,0.0,-60.22209337253369,False,D_NLDM_validation
D,prior17401:draw5:infeasible,5,-inf,0.0,0.0,0,0,0,0,0,0.20416383743286132,0.0,-inf,False,D_NLDM_validation
D,prior17401:draw12:infeasible,5,-inf,0.0,0.0,0,0,0,0,0,0.07528214454650879,0.0,-inf,False,D_NLDM_validation
D,ELB:parsa_MAP,5,-23.124978206227333,0.0,0.0,0,0,0,0,0,1.8764977931976319,0.0,-23.124978206227333,False,E_LB
D,ELB:prior17402:draw1,5,-230.42375262631492,0.0,0.0,0,0,0,0,0,1.7153406143188477,0.0,-230.42375262631492,False,E_LB
D,ELB:prior17402:draw2,5,-1859.2727796278668,0.0,0.0,0,0,0,0,0,1.7661399841308594,0.0,-1859.2727796278668,False,E_LB
