kind,index,setting,mu_max,T_opt,T_opt_at_edge,plateau99_lo,plateau99_hi,plateau99_width,CT_max_rel_1pct,CT_max_rel_10pct,T_first_zero
prior_median,-1,glucose_cap=10.0,0.36001509673069326,30.121435692778924,False,29.5,31.0,1.5,46.246736678526666,44.55729769337434,50.0
prior_median,-1,glucose_cap=4.0,0.3140356393601785,30.425339767983917,False,29.5,31.0,1.5,46.187245308286016,44.584116041958296,48.0
prior_median,-1,glucose_cap=2.0,0.19716187772163984,23.12324068989803,False,22.5,28.5,6.0,45.79154470064037,44.80356973021798,46.0
prior_median,-1,glucose_cap=1.0,0.09682641425428185,20.0,True,20.0,27.5,7.5,45.78367118766783,45.04933816831503,46.0
prior_file,-1,glucose_cap=10.0,0.336230204568208,31.041141452159223,False,30.5,32.0,1.5,46.70586557790296,45.47167144285023,50.0
prior_file,-1,glucose_cap=4.0,0.2864783158452863,31.096029871833935,False,30.5,32.0,1.5,46.56921577211111,45.35994176306932,48.0
prior_file,-1,glucose_cap=2.0,0.19691723464409217,26.083605929695665,False,25.5,29.0,3.5,45.91107824726965,45.296437358320446,46.0
prior_file,-1,glucose_cap=1.0,0.09681578280125397,21.001689891159867,False,20.5,27.5,7.0,45.89812914948359,45.37721085296283,46.0
posterior_median,-1,glucose_cap=10.0,0.3592497413326667,28.45771626867959,False,27.5,29.5,2.0,43.013531279545596,41.31741315712243,47.5
posterior_median,-1,glucose_cap=4.0,0.3170726060346287,28.075216886730352,False,27.0,29.0,2.0,42.96846916246954,40.59571227832453,46.5
posterior_median,-1,glucose_cap=2.0,0.19721695810818549,20.95728476980678,False,20.0,28.5,8.5,39.430706582308886,38.57412316128879,40.0
posterior_median,-1,glucose_cap=1.0,0.09682641425428215,20.0,True,20.0,27.5,7.5,38.74775705538176,38.41070277299373,39.0
posterior_draw,5,glucose_cap=10.0,0.9633325349354919,49.5,False,41.5,49.5,8.0,49.995,49.95,50.0
posterior_draw,5,glucose_cap=4.0,0.3606275102270073,49.12499999979791,False,41.0,49.5,8.5,49.99499999999596,49.94999999995958,50.0
posterior_draw,5,glucose_cap=2.0,0.1969867573815359,25.622658916510954,False,25.5,29.0,3.5,39.351014208000024,38.41747280903199,40.0
posterior_draw,5,glucose_cap=1.0,0.0968137471900944,21.433362424313433,False,21.0,27.5,6.5,38.480617691845616,38.30617691845619,38.5
posterior_draw,4,glucose_cap=10.0,0.9633325347830438,49.0,False,49.0,49.0,0.0,49.495,49.45,49.5
posterior_draw,4,glucose_cap=4.0,0.3606275098680214,49.0,False,49.0,49.0,0.0,49.495,49.45,49.5
posterior_draw,4,glucose_cap=2.0,0.1961772314253235,27.937497455561637,False,27.5,29.0,1.5,38.459880040936135,38.098800409361374,38.5
