kind,index,T_opt_range,CT_max_range,plateau_lo,plateau_hi,mu_max_ratio,asymmetry
prior_median,-1,10.425339767983917,0.4630654908588383,1.5,7.5,3.7181496340991758,22.51374799847047
prior_file,-1,10.094339980674068,0.8077364284193749,1.5,7.0,3.472886288162648,12.497071600976637
posterior_median,-1,8.45771626867959,4.265774224163835,2.0,8.5,3.710245226981323,1.9826919626383763
posterior_draw,5,28.066637575686567,11.514382308154381,3.5,8.5,9.95036926981023,2.4375287205645435
posterior_draw,4,26.37554464981161,11.060177433316447,0.0,5.0,9.952834327112829,2.384730697932644
posterior_draw,0,21.87520331642434,5.5560241310034115,0.0,5.5,9.951889516552917,3.9372045190296365
posterior_draw,2,9.124741856929166,4.745722266739584,1.5,7.5,3.0740120061977385,1.922729848916773
posterior_draw,1,8.985677735870155,4.0937569405967125,1.5,7.5,3.0922867249905583,2.1949709927234684
posterior_draw,6,6.266342300529242,4.702918784538944,1.5,4.5,3.102506311020668,1.3324368520098886
posterior_draw,3,8.395898838286694,4.003538902919715,1.5,7.0,3.192530095054798,2.0971193341380308
posterior_draw,7,8.933141472453265,5.3711191087382915,1.5,7.5,3.175663070682434,1.6631806689819832
posterior_draw,8,3.9067245085498747,5.466887344104933,1.0,1.5,2.6779756355399615,0.7146158796856465
posterior_draw,9,8.894577651109348,3.915322442453018,1.5,7.5,3.3016193542833085,2.271735669754121
posterior_draw,12,8.884869427685636,4.42979396128208,1.5,8.5,3.045496247773264,2.005707151470801
posterior_draw,15,26.37500000002951,8.23298362710402,2.5,7.5,9.949067538191374,3.2035773657073343
posterior_draw,16,9.54015497106342,5.362356141677502,1.5,7.5,3.044151696166771,1.7790976054192067
posterior_draw,13,8.966763973509533,4.798078550212082,1.5,7.5,3.1358214228062398,1.8688239218412104
posterior_draw,11,9.00799946034017,20.938300197251156,0.0,3.5,5.076393852500803e+30,0.43021636787511375
posterior_draw,14,5.815182710423592,6.613530584999786,0.5,3.5,2.9235999123684175,0.8792856758858975
posterior_draw,10,3.4810157616239543,5.231314973997456,0.5,2.0,3.044917348844101,0.6654188820452482
posterior_draw,17,5.966331306335768,4.160188672472394,1.0,4.5,3.018844644364778,1.4341492119851347
posterior_draw,19,26.376899895286044,8.53016260804474,1.5,7.0,9.949833691456906,3.09219192028182
posterior_draw,18,7.674143192121537,4.45365356666624,1.5,6.0,2.903949601639492,1.7231118400315941
posterior_draw,20,8.620964376707743,4.483994987457002,1.5,7.5,3.3228912178894086,1.9226079424314724
posterior_draw,21,8.566118628176117,4.084179996691589,1.5,7.5,3.19595550824119,2.0973900844515048
posterior_draw,22,24.250642780216918,9.024583293141525,0.0,5.0,9.952932488607647,2.6871759052461566
posterior_draw,23,25.750413512966183,9.523356307852012,1.0,6.0,9.950576654993387,2.703922092228656
posterior_draw,24,9.551317732272064,4.264916088238387,1.0,7.5,3.185988706890029,2.23950894570055
posterior_draw,25,26.5,8.514376390525662,0.0,7.5,9.949067537017044,3.1123829608340743
posterior_draw,26,27.0,9.010058829043423,0.0,7.5,3.724555349813165,2.996650800210871
posterior_draw,27,21.66652044998145,6.5214999510684635,2.5,8.0,9.949348654662389,3.322321645717665
posterior_draw,28,8.957733113736332,5.207044256613713,1.5,7.5,3.125730841173668,1.7203105393926106
posterior_draw,29,26.68653270106839,9.52142476366123,0.5,7.5,9.949348654659499,2.802787751148153
