parameter_set,n,T_opt_range,CT_max_range,asymmetry,T_opt_loose,T_opt_tight,CT_max_loose,CT_max_tight,plateau_loose,plateau_tight,mu_max_ratio,T_opt_censored,T_opt_range_p05,T_opt_range_p95,CT_max_range_p05,CT_max_range_p95,degenerate
prior_file,1,10.094339980674068,0.8077364284193749,12.497071600976636,31.041141452159223,21.001689891159867,46.70586557790296,45.89812914948359,1.5,7.0,3.472886288162648,False,,,,,
prior_median,1,10.425339767983916,0.4630654908588383,22.51374799847047,30.121435692778924,20.0,46.246736678526666,45.78367118766783,1.5,7.5,3.718149634099176,True,,,,,
posterior_median,1,8.45771626867959,4.265774224163835,1.9826919626383763,28.45771626867959,20.0,43.0135312795456,38.74775705538176,2.0,7.5,3.710245226981323,True,,,,,
prior_draw,34,3.224168257354327,3.673492099367735,,,,,,0.5,0.5,,0,0.021687603753404193,20.139556149515784,2.424672373990689e-08,11.929398602994516,6.0
posterior_draw,98,8.889723539397492,4.5884187972387345,,,,,,1.5,7.25,,44,4.3986464726220005,27.018749999999997,2.714558017072866,11.0345604488817,2.0
