kind,index,T_opt_range,CT_max_range,plateau_lo,plateau_hi,mu_max_ratio,asymmetry,T_opt_censored,min_mu_max,no_CT_max_crossing,degenerate,plateau_loose,CT_max_loose,T_opt_loose,plateau_tight,CT_max_tight,T_opt_tight
posterior_draw,5,28.066637575686567,11.51438230815438,3.5,8.5,9.95036926981023,2.4375287205645435,False,0.0968137471900944,False,False,8.0,49.995,49.5,6.5,38.480617691845616,21.433362424313433
posterior_draw,4,26.37554464981161,11.060177433316449,0.0,5.0,9.952834327112829,2.384730697932644,False,0.096789768936352,False,False,0.0,49.495,49.0,5.0,38.43482256668355,22.62445535018839
posterior_draw,0,21.87520331642434,5.5560241310034115,0.0,5.5,9.951889516552916,3.937204519029637,False,0.0967989579447524,False,False,0.0,44.49502207969861,43.99999067572367,5.5,38.93902218127946,22.124787359299333
posterior_draw,2,9.124741856929166,4.745722266739584,1.5,7.5,3.0740120061977385,1.922729848916773,True,0.0968264142527521,False,False,1.5,43.225362935625974,29.12474185692917,7.5,38.47964066888639,20.0
posterior_draw,1,8.985677735870155,4.0937569405967125,1.5,7.5,3.0922867249905583,2.1949709927234684,True,0.0967814115724681,False,False,2.0,42.99389423889184,28.985677735870155,7.5,38.90013729829513,20.0
posterior_draw,6,6.266342300529242,4.702918784538944,1.5,4.5,3.102506311020668,1.3324368520098886,False,0.0967497913322549,False,False,1.5,43.11525054860799,29.55873765655316,4.5,38.41233176406904,23.62468667762405
posterior_draw,3,8.395898838286694,4.003538902919715,1.5,7.0,3.192530095054798,2.0971193341380308,False,0.0968195001202616,False,False,1.5,42.485200333549855,29.382578065218123,7.0,38.48166143063014,20.98667922693143
posterior_draw,7,8.933141472453265,5.3711191087382915,1.5,7.5,3.175663070682434,1.6631806689819832,True,0.0968241648748918,False,False,1.5,43.84996224912365,28.933141472453265,7.5,38.47884314038536,20.0
posterior_draw,8,3.9067245085498743,5.466887344104933,1.0,1.5,2.6779756355399615,0.7146158796856465,False,0.0962873683277685,False,False,1.5,43.94635118187117,30.385898652907414,1.5,38.47946383776624,27.11468513907278
posterior_draw,9,8.894577651109348,3.915322442453018,1.5,7.5,3.3016193542833085,2.271735669754121,True,0.0968264142542821,False,False,2.0,42.39725036736623,28.894577651109348,7.5,38.481927924913215,20.0
posterior_draw,12,8.884869427685636,4.42979396128208,1.5,8.5,3.045496247773264,2.005707151470801,True,0.096185944079029,False,False,1.5,42.88225862338748,28.884869427685636,8.5,38.4524646621054,20.0
posterior_draw,15,26.37500000002951,8.23298362710402,2.5,7.5,9.949067538191374,3.2035773657073343,True,0.0968264142542822,False,False,2.5,46.995,46.37500000002951,7.5,38.76201637289598,20.0
posterior_draw,16,9.54015497106342,5.362356141677502,1.5,7.5,3.044151696166771,1.7790976054192067,True,0.0968264142542825,False,False,1.5,43.348316089047984,29.54015497106342,7.5,37.98595994737048,20.0
posterior_draw,13,8.966763973509533,4.798078550212082,1.5,7.5,3.13582142280624,1.8688239218412104,True,0.0968264142542821,False,False,1.5,43.27966516964021,28.966763973509533,7.5,38.48158661942813,20.0
posterior_draw,11,9.00799946034017,20.938300197251156,0.0,3.5,5.076393852500803e+30,0.4302163678751137,True,0.1969894283829575,False,False,0.0,20.495000000004826,20.0,0.0,20.495,20.0
posterior_draw,14,5.815182710423592,6.613530584999786,0.5,3.5,2.9235999123684175,0.8792856758858975,False,0.0966990216409377,False,False,1.0,45.098474548926085,29.989661532387743,3.5,38.4849439639263,24.619273639784296
posterior_draw,10,3.4810157616239543,5.231314973997456,0.5,2.0,3.044917348844101,0.6654188820452482,False,0.0964246444569788,False,False,1.5,43.70296676837455,29.41012614157421,2.0,38.471651794377095,26.58724364823968
posterior_draw,17,5.966331306335768,4.160188672472394,1.0,4.5,3.018844644364778,1.434149211985135,False,0.096755300955479,False,False,1.0,43.038262704130304,29.489610909417873,4.5,38.87807403165791,23.624288270242992
posterior_draw,19,26.376899895286044,8.53016260804474,1.5,7.0,9.949833691456906,3.09219192028182,False,0.0968189584525599,False,False,1.5,47.995,47.375,7.0,39.46483739195526,20.998100104713956
posterior_draw,18,7.674143192121537,4.45365356666624,1.5,6.0,2.903949601639492,1.723111840031594,False,0.0968056558971669,False,False,1.5,42.43312548315609,29.57243962789111,6.0,37.97947191648985,21.898296435769577
posterior_draw,20,8.620964376707743,4.483994987457002,1.5,7.5,3.322891217889409,1.9226079424314724,True,0.0968264142542824,False,False,1.5,42.45685527761296,28.620964376707743,7.5,37.97286029015596,20.0
posterior_draw,21,8.566118628176117,4.084179996691589,1.5,7.5,3.19595550824119,2.0973900844515048,False,0.0968236784356635,False,False,2.0,42.072454734314775,28.97032266330594,7.5,37.988274737623186,20.462739581212876
posterior_draw,22,24.25064278021692,9.024583293141523,0.0,5.0,9.952932488607647,2.687175905246157,False,0.0967888143404664,False,False,0.0,46.995,46.49999992077947,5.0,38.47041670685847,22.62435721978308
posterior_draw,23,25.750413512966183,9.523356307852012,1.0,6.0,9.950576654993387,2.703922092228656,False,0.096811729428729,False,False,1.0,47.495,46.125,6.0,38.471643692147985,21.624586487033817
posterior_draw,24,9.551317732272064,4.264916088238387,1.0,7.5,3.185988706890029,2.23950894570055,True,0.0968264142542821,False,False,2.0,42.68750000893672,29.52303285676854,7.5,38.42258392069834,20.0
posterior_draw,25,26.5,8.514376390525662,0.0,7.5,9.949067537017044,3.1123829608340743,True,0.0968264142542819,False,False,0.0,46.995,46.5,7.5,38.480623609474335,20.0
posterior_draw,26,27.0,9.010058829043423,0.0,7.5,3.724555349813165,2.996650800210871,True,0.0968243929261298,False,False,2.0,42.64768345080979,29.520267586673395,7.5,38.484941170956574,20.0
posterior_draw,27,21.66652044998145,6.5214999510684635,2.5,8.0,9.949348654662389,3.322321645717665,False,0.0968236784356638,False,False,2.5,44.995,42.12499999999992,7.5,38.47354725379338,20.45847955001847
posterior_draw,28,8.957733113736332,5.207044256613713,1.5,7.5,3.125730841173668,1.7203105393926106,True,0.0968264142542828,False,False,1.5,43.67104235103877,28.922953215082988,7.5,38.46399809442505,20.0
posterior_draw,29,26.68653270106839,9.52142476366123,0.5,7.5,9.9493486546595,2.802787751148153,False,0.0968236784356629,False,False,0.5,47.995,47.125,7.5,38.47357523633877,20.43846729893161
posterior_draw,30,9.592855925080263,4.729023922705913,1.5,7.5,3.1353207132331775,2.028506533667798,True,0.0968264142542821,False,False,1.5,42.70814418545884,29.592855925080265,7.5,37.97912026275293,20.0
posterior_draw,34,26.875,9.016935093967431,4.0,7.5,9.94906753701718,2.9805027672850923,True,0.0968264142542815,False,False,4.0,47.49500101853539,43.99166666666667,7.5,38.47806592456796,20.0
