temp_C,growth
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.003100963142137839
9.0,0.007611125797588768
10.0,0.012640731857145171
11.0,0.01868324721181515
12.0,0.025661742133876893
13.0,0.03365068154302144
14.0,0.04271567065026916
15.0,0.05291200750597608
16.0,0.06428107724906501
17.0,0.07683227743520946
18.0,0.09065680326794111
19.0,0.10577275867821824
20.0,0.12207446043374748
21.0,0.13949716077678287
22.0,0.15794853165380776
23.0,0.1773329000461057
24.0,0.19752971367842093
25.0,0.21832899671640768
26.0,0.23953641214206645
27.0,0.26090744515934144
28.0,0.2822068566787189
29.0,0.30318714724409057
30.0,0.3236079847594728
31.0,0.3261363841301562
32.0,0.3286647786676608
33.0,0.33119317320516517
34.0,0.33372156774266953
35.0,0.33624996228017384
36.0,0.33877835681767837
37.0,0.3413067513551826
38.0,0.32935113288994217
39.0,0.3173955144247015
40.0,0.305439895959461
41.0,0.2934842774942204
42.0,0.2815286590289799
43.0,0.2695730405637394
44.0,0.26957304056373943
45.0,0.26957304056373943
46.0,0.0754384806364168
47.0,0.007216278544762398
48.0,0.0007224094289042422
49.0,5.699441366178123e-05
50.0,9.744141938200266e-06
51.0,9.688051216167959e-06
52.0,9.255385524662543e-06
53.0,8.251428748477112e-06
54.0,5.825237072658959e-06
55.0,3.998027449544523e-06
56.0,2.562275736571755e-06
57.0,2.3957233595210548e-06
58.0,2.140226535638944e-06
59.0,1.9264931380779173e-06
60.0,1.6809870255141915e-06
