medium,quantity,T_C,value
NLDM,growth_C_per_C_h,15.0,0.0936701453894738
NLDM,growth_C_per_C_h,20.0,0.2559843718759313
NLDM,growth_C_per_C_h,25.0,0.5854109831137138
NLDM,growth_C_per_C_h,27.0,0.7256015042847492
NLDM,growth_C_per_C_h,30.0,1.0547952292033644
NLDM,growth_C_per_C_h,35.0,1.563216021759888
NLDM,growth_C_per_C_h,37.0,1.8531738839033693
NLDM,growth_C_per_C_h,40.0,2.076066941043892
NLDM,growth_C_per_C_h,43.0,1.594020791720448
NLDM,growth_C_per_C_h,45.0,0.9149168471635901
NLDM,growth_C_per_C_h,47.0,0.45703721797751323
NLDM,growth_C_per_C_h,50.0,0.09432067438045605
NLDM,R_O2_mg_cell_min,15.0,2.068027832444964e-12
NLDM,R_O2_mg_cell_min,20.0,3.687783038619309e-12
NLDM,R_O2_mg_cell_min,25.0,6.290748964292866e-12
NLDM,R_O2_mg_cell_min,27.0,7.761786011690096e-12
NLDM,R_O2_mg_cell_min,30.0,1.1774686139255335e-11
NLDM,R_O2_mg_cell_min,35.0,1.87365834111843e-11
NLDM,R_O2_mg_cell_min,37.0,2.083376177433536e-11
NLDM,R_O2_mg_cell_min,40.0,1.6808627360992622e-11
NLDM,R_O2_mg_cell_min,43.0,2.5140293981123656e-11
NLDM,R_O2_mg_cell_min,45.0,3.392723037900915e-11
NLDM,R_O2_mg_cell_min,47.0,1.7552999132147447e-11
NLDM,R_O2_mg_cell_min,50.0,2.469563996837463e-12
LB,growth_C_per_C_h,15.0,0.12598926611773
LB,growth_C_per_C_h,20.0,0.32423734855479724
LB,growth_C_per_C_h,25.0,0.7495633412932566
LB,growth_C_per_C_h,27.0,0.9460131745903766
LB,growth_C_per_C_h,30.0,1.3764282695733139
LB,growth_C_per_C_h,35.0,2.156356253485467
LB,growth_C_per_C_h,37.0,2.3982825310109592
LB,growth_C_per_C_h,40.0,2.9444263687022385
LB,growth_C_per_C_h,43.0,2.945052660494766
LB,growth_C_per_C_h,45.0,2.9145906842863942
LB,growth_C_per_C_h,47.0,1.7959246222520786
LB,growth_C_per_C_h,50.0,0.13359909515543875
LB,R_O2_mg_cell_min,15.0,2.9102284066911998e-12
LB,R_O2_mg_cell_min,20.0,5.2822898786480115e-12
LB,R_O2_mg_cell_min,25.0,8.408411833713785e-12
LB,R_O2_mg_cell_min,27.0,1.10431214661639e-11
LB,R_O2_mg_cell_min,30.0,1.4402565248748386e-11
LB,R_O2_mg_cell_min,35.0,2.084782910496483e-11
LB,R_O2_mg_cell_min,37.0,2.5495713730772023e-11
LB,R_O2_mg_cell_min,40.0,2.9056131805692632e-11
LB,R_O2_mg_cell_min,43.0,4.380734298331729e-11
LB,R_O2_mg_cell_min,45.0,4.21291099838236e-11
LB,R_O2_mg_cell_min,47.0,4.110959895751494e-11
LB,R_O2_mg_cell_min,50.0,2.5187652612206e-11
