temp_C,growth,mu_pred,mu_measured
22.0,0.028080623566564288,0.053849583863075014,0.2984
24.0,0.05018430489137014,0.09623731924798584,0.4086
26.0,0.08402938301831861,0.1611412687143911,0.4879
28.0,0.1305873922779987,0.2504245219222086,0.5949
30.0,0.1867514695862335,0.3581291170118703,0.6167
32.0,0.24500606535458277,0.46984265260345454,0.6033
34.0,0.2961453054472032,0.5679112297322219,0.5387
36.0,0.33484931688147623,0.6421330469446059,0.4686
38.0,0.355650434061141,0.6820228841968582,0.153
40.0,0.35904805199334533,0.6885384201265081,0.0
42.0,0.347967108998479,0.667288743541886,0.0
44.0,0.3262351290664051,0.625613811605677,0.0
