,Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
dTopt,0.9289422248407814,-0.04339884714216265,0.7073546774081532,0.6342141799346456,-0.11035488575595527,-0.02460587540801444,0.17488020001388985,0.17488020001388985,-0.5251892492534203
topt_scale,0.3638757458931357,0.054080144454476,0.23201611223001595,0.28779742020421367,-0.06283075213556497,0.0001041739009653448,0.06476838669352038,0.06476838669352038,-0.3143621084797555
dCp_scale,0.08594186852997857,-0.054594069032571704,0.7122925203139105,-0.575462532562027,-0.9867421348704769,-0.95112160566706,0.9732342523786373,0.9732342523786373,-0.065560108340857
budget_scale,0.00824052378160954,0.9972289742343217,-0.0807903326619904,0.11783754614666951,0.1411556358080422,0.28441558441558434,0.02407111604972567,0.02407111604972567,0.030696576151121598
