param,sd_start,sd_end,sd_p4_40w_final,median_start,median_end,end_over_start
dTopt,3.317917351197089,3.2743708830312084,3.6779309210611957,3.193785191276368,2.7871607283397095,0.9868753607891501
topt_scale,0.15623153243085816,0.17471106401751962,0.16426292335026768,0.9081419437911569,0.9627846062867075,1.1182829823092195
dCp_scale,0.7164445818959332,0.801126884423997,0.7633362625020241,1.552756948573812,1.4965981585683303,1.1181979802317277
dTm,1.7103868517995398,1.7977401341413624,2.0779548653964652,-3.6757473370995437,-3.961683670641181,1.0510722368158503
tm_scale,0.13093071044279359,0.14429157818523808,0.13259041916472086,1.0111284473105884,1.0042494527115704,1.1020453314372118
kcat_scale,0.9981381001373142,1.205151058054589,1.086993450144128,1.2619959799077902,1.6155879714852426,1.2073991142997107
kappa_scale,0.5097821519518355,0.6946153588976317,0.5751182614157072,0.8914997498147381,1.0419301264597762,1.3625729269612785
sigma,0.15542984959903225,0.16428035746689393,0.16761701678536725,0.8386154344398563,0.735631759789591,1.0569421375025045
f_metab,0.03314491048449249,0.028305072659485436,0.03162659373586447,0.2796807868679827,0.2805598330203032,0.8539794570490251
f_maint,0.026758281254549647,0.0288196071082173,0.029258270277230578,0.3512524834050803,0.35404884324991914,1.0770350619331042
ngam_scale,0.5010493109676452,0.4607233187576844,0.5105082818966038,1.159799336078236,1.244858428999105,0.9195169191389931
ngam_steepness,0.45680161435521693,0.5204007255804084,0.4897633486877232,0.9853106258016306,0.9457040190420796,1.1392269843769327
clearance_mult,0.2472253972791118,0.28900938665672826,0.24549302832077494,0.8884621102892569,0.9292169681410427,1.1690117190121987
resp_scale,0.9986689877891444,0.9065474007410702,1.0598029638070605,3.970254116853337,4.0566377050394955,0.9077556345751627
disc_resp,0.11087627481561228,0.0954997808447199,0.11320842933874416,0.3546230087086405,0.31447112229908203,0.8613184471027407
disc_growth,0.1504294936807109,0.1575571889891808,0.1620314243251899,0.1948005785788354,0.17737195098046132,1.0473822994019946
