config,medium,run,point,his_growth_R2,his_resp_R2,p3_growth_R2,p3_resp_R2,growth_R2_none,resp_R2_none,growth_R2_pfba,resp_R2_pfba,d_growth_R2,d_resp_R2
D,NLDM,calibration_configD_NLDM_full,posterior median,0.71,,0.7066214438066898,0.7246490382487127,0.7066214438066898,0.7246490382487127,0.7066214438066916,0.7245834186340319,1.7763568394002505e-15,-6.561961468087851e-05
D,LB,calibration_configD_LB_full,MAP,0.9,,0.8964280333579261,0.7930797789129911,0.8964280333579261,0.7930797789129911,0.8964280413902278,0.793073767399536,8.032301712646017e-09,-6.0115134551397276e-06
E,NLDM,calibration_configE_NLDM,MAP,0.85,0.72,0.8492239097241446,0.7214171799681109,0.8492239097241446,0.7214171799681109,0.8492239097241461,0.7215168816078288,1.4432899320127035e-15,9.970163971784185e-05
E,LB,calibration_configE_LB_freecmax,MAP,0.83,0.81,0.8283962317063271,0.801401013801263,0.8283962317063271,0.801401013801263,0.8283831794878896,0.7748635795825923,-1.3052218437503704e-05,-0.02653743421867072
F,NLDM,calibration_configF_NLDM,MAP,0.91,0.96,0.9050642600527596,0.9635839583240716,0.9050642600527596,0.9635839583240716,0.9050642600527318,0.9635153922871416,-2.786659791809143e-14,-6.856603693006225e-05
F,LB,calibration_configF_LB,MAP,0.88,0.85,0.8808607795221587,0.8523787109484079,0.8808607795221587,0.8523787109484079,0.8808607840727567,0.8518314802627739,4.550598009522844e-09,-0.0005472306856340037
