line,step_sd,logL,T_C,growth,o2
axis:topt_scale,-1.0,-8.558328448337777,15.0,0.025941113942553926,2.428717040818568
axis:topt_scale,-1.0,-8.558328448337777,20.0,0.2479652220245822,9.572471538103274
axis:topt_scale,-1.0,-8.558328448337777,25.0,0.8564204664859919,18.081444885501817
axis:topt_scale,-1.0,-8.558328448337777,27.0,1.0968798418581698,21.58092656255158
axis:topt_scale,-1.0,-8.558328448337777,30.0,1.3758788313209227,25.18128046492518
axis:topt_scale,-1.0,-8.558328448337777,35.0,1.6001081226051517,34.46882739010635
axis:topt_scale,-1.0,-8.558328448337777,37.0,1.649664510958672,38.0154240144921
axis:topt_scale,-1.0,-8.558328448337777,40.0,1.6800736567698964,39.856401562857044
axis:topt_scale,-1.0,-8.558328448337777,43.0,1.61450386712704,37.285947092853725
axis:topt_scale,-1.0,-8.558328448337777,45.0,1.386131756211414,44.47152756509881
axis:topt_scale,-1.0,-8.558328448337777,47.0,0.34532331279626594,19.821875166164556
axis:topt_scale,-1.0,-8.558328448337777,50.0,0.0010267307043383903,6.800832021364747
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,15.0,0.024074126339386978,2.377472096657607
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,20.0,0.24087463846170268,9.359511837402101
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,25.0,0.8420399563985511,17.884065502213875
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,27.0,1.086598523611045,21.43510386332471
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,30.0,1.3699124019085511,24.99330425768564
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,35.0,1.597298362021859,34.3246350279122
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,37.0,1.6476896307893465,37.91570433022335
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,40.0,1.6793994864543689,39.83570127464749
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,43.0,1.6149320701904248,37.30923354750275
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,45.0,1.3875400861912754,44.51323641654202
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,47.0,0.34702300736665187,19.859693606665484
axis:topt_scale,-0.9500000000000001,-7.8337761231681515,50.0,0.0010274137537500977,6.800864013926428
axis:topt_scale,-0.9,-7.349242181374899,15.0,0.02222707902978726,2.235578436840124
axis:topt_scale,-0.9,-7.349242181374899,20.0,0.23382245021774625,9.14770530774162
axis:topt_scale,-0.9,-7.349242181374899,25.0,0.8276663466824055,17.686780829824382
axis:topt_scale,-0.9,-7.349242181374899,27.0,1.0761448609025834,21.287652303833223
axis:topt_scale,-0.9,-7.349242181374899,30.0,1.3638315087257467,24.80172179552469
axis:topt_scale,-0.9,-7.349242181374899,35.0,1.5944408619727786,34.14522094956552
axis:topt_scale,-0.9,-7.349242181374899,37.0,1.6456730154774961,37.813877269872116
axis:topt_scale,-0.9,-7.349242181374899,40.0,1.6786940260756862,39.8100955629255
axis:topt_scale,-0.9,-7.349242181374899,43.0,1.6153426614791189,37.331562242088275
axis:topt_scale,-0.9,-7.349242181374899,45.0,1.3889205960491426,44.56856730117806
axis:topt_scale,-0.9,-7.349242181374899,47.0,0.3487461778511256,19.901102973568566
axis:topt_scale,-0.9,-7.349242181374899,50.0,0.0010281723522853631,6.800899392289154
axis:topt_scale,-0.8500000000000001,-6.975316633664808,15.0,0.020412157272017027,2.08511589283588
axis:topt_scale,-0.8500000000000001,-6.975316633664808,20.0,0.2268082318194052,8.937039170389614
axis:topt_scale,-0.8500000000000001,-6.975316633664808,25.0,0.8132484274980735,17.488887988778057
axis:topt_scale,-0.8500000000000001,-6.975316633664808,27.0,1.0653079372423615,21.137680523222226
axis:topt_scale,-0.8500000000000001,-6.975316633664808,30.0,1.3576112576494253,24.60574877303666
axis:topt_scale,-0.8500000000000001,-6.975316633664808,35.0,1.5915063974535992,33.999953342898735
axis:topt_scale,-0.8500000000000001,-6.975316633664808,37.0,1.643586860243344,37.708538857690485
axis:topt_scale,-0.8500000000000001,-6.975316633664808,40.0,1.6779322238364984,39.78244484133249
axis:topt_scale,-0.8500000000000001,-6.975316633664808,43.0,1.6157072061063722,37.35138683620299
axis:topt_scale,-0.8500000000000001,-6.975316633664808,45.0,1.3902795851178145,44.62303563181086
axis:topt_scale,-0.8500000000000001,-6.975316633664808,47.0,0.3504734060716767,19.94756400848054
axis:topt_scale,-0.8500000000000001,-6.975316633664808,50.0,0.0010288887283490557,6.800932945692934
axis:topt_scale,-0.8,-6.353528832363744,15.0,0.018592453429501683,2.0437797243396805
axis:topt_scale,-0.8,-6.353528832363744,20.0,0.2198311000218807,8.727369867749259
axis:topt_scale,-0.8,-6.353528832363744,25.0,0.7987471804908233,17.28971894280035
axis:topt_scale,-0.8,-6.353528832363744,27.0,1.0542999453677235,20.98583995350135
axis:topt_scale,-0.8,-6.353528832363744,30.0,1.3512591028479901,24.40562003860529
axis:topt_scale,-0.8,-6.353528832363744,35.0,1.5884261426370176,33.84941097405443
axis:topt_scale,-0.8,-6.353528832363744,37.0,1.6414382797780371,37.60004834320008
axis:topt_scale,-0.8,-6.353528832363744,40.0,1.677121496330908,39.753018305951656
axis:topt_scale,-0.8,-6.353528832363744,43.0,1.616033493875953,37.36913095341934
axis:topt_scale,-0.8,-6.353528832363744,45.0,1.3916159029848199,44.67659529986772
axis:topt_scale,-0.8,-6.353528832363744,47.0,0.3522109886022387,19.994303565913874
axis:topt_scale,-0.8,-6.353528832363744,50.0,0.0010296019224447916,6.80096635006066
axis:topt_scale,-0.75,-5.268589184772766,15.0,0.016808681524128267,2.0032597813046746
axis:topt_scale,-0.75,-5.268589184772766,20.0,0.21290683106029062,6.623843932226841
axis:topt_scale,-0.75,-5.268589184772766,25.0,0.7840636963792161,17.048384352771784
axis:topt_scale,-0.75,-5.268589184772766,27.0,1.0431154339130604,20.815374448603308
axis:topt_scale,-0.75,-5.268589184772766,30.0,1.3447593489057497,24.200841098035212
axis:topt_scale,-0.75,-5.268589184772766,35.0,1.5852497195055029,33.69472573690142
axis:topt_scale,-0.75,-5.268589184772766,37.0,1.6392424241370562,36.873228640273496
axis:topt_scale,-0.75,-5.268589184772766,40.0,1.6762602964294733,39.72175980146645
axis:topt_scale,-0.75,-5.268589184772766,43.0,1.6163202139741164,37.3847233093219
axis:topt_scale,-0.75,-5.268589184772766,45.0,1.392927923059862,44.72919916270247
axis:topt_scale,-0.75,-5.268589184772766,47.0,0.3539586904328423,20.041315324291403
