tiebreak,T_C,growth,o2
none,37.0,2.2598250088537726,38.11745810568091
none,40.0,2.346678560347959,46.65519086157084
none,45.0,2.3687523058202324,40.70755954413958
none,50.0,0.8671698024165163,28.488409876938864
pfba,37.0,2.259825008853769,38.07347945626572
pfba,40.0,2.346678560347958,46.60178889855382
pfba,45.0,2.368752305820231,40.707249130624525
pfba,50.0,0.8671698024161022,28.485584105149158
min_o2,37.0,2.259825008853769,38.07347945632352
min_o2,40.0,2.346678560347958,46.60178889855206
min_o2,45.0,2.368752305820231,40.70210657934019
min_o2,50.0,0.8671698024161022,28.483906666853272
max_o2,37.0,2.259825008853769,38.243929594173665
max_o2,40.0,2.346678560347958,46.661502664137984
max_o2,45.0,2.368752305820231,40.74427759595591
max_o2,50.0,0.8671698024161022,28.493619487181743
