tag,line,sign_changes,max_jump,max_jump_frac,range,ll_at_map,s_per_eval
variance --floor 0.76 --soft 0.01,axis:topt_scale,3,3.1158160089769993,0.17654862923474712,17.648485986453444,-4.2224779764014295,7.99
variance --floor 0.76 --soft 0.01,axis:dCp_scale,3,7.833750956169112,0.2661960360734584,29.428503413203877,-4.2224779764014295,7.92
variance --floor 0.76 --soft 0.01,axis:kcat_scale,1,1.610142622742778,0.08837223781958765,18.220005088361482,-4.2224779764014295,8.06
variance --floor 0.76 --soft 0.01,axis:f_maint,5,0.18026682706036112,0.23529277444335434,0.7661383885962021,-4.2224779764014295,7.51
variance --floor 0.76 --soft 0.01,axis:ngam_scale,7,0.37472914939206525,0.09879585456550567,3.7929643003756253,-4.2224779764014295,7.62
variance --floor 0.76 --soft 0.01,axis:clearance_mult,3,0.2273925528685936,0.15444978268996035,1.4722749939056712,-4.2224779764014295,7.66
variance --floor 0.76 --soft 0.01,PC1,1,1.407456717802324,0.20142937077899406,6.987346047695145,-4.2224779764014295,7.55
variance --floor 0.76 --soft 0.01,PC2,13,2.1811407160291463,0.32055036644777923,6.804361948481739,-4.2224779764014295,7.54
variance --floor 0.76 --soft 0.01,PC3,1,0.6772094941679629,0.0761957619035526,8.887758022882744,-4.2224779764014295,7.64
variance --floor 0.76 --soft 0.01,random1,1,2.4480656259320135,0.16422230973093074,14.907022255033649,-4.2224779764014295,7.88
variance --floor 0.76 --soft 0.01,random2,3,0.9295543719854837,0.08952335638934196,10.383372669170278,-4.2224779764014295,7.62
variance --floor 0.76 --soft 0.01,random3,7,0.37145600662475786,0.08687959414700329,4.27552649470532,-4.2224779764014295,7.66
