line,baseline (P9) | sign changes,baseline (P9) | max step (units),baseline (P9) | max step (% range),baseline (P9) | range,(a) tie-break only | sign changes,(a) tie-break only | max step (units),(a) tie-break only | max step (% range),(a) tie-break only | range,(b) variance + support only | sign changes,(b) variance + support only | max step (units),(b) variance + support only | max step (% range),(b) variance + support only | range,(c) both | sign changes,(c) both | max step (units),(c) both | max step (% range),(c) both | range
axis:topt_scale,3,19.95,40.6,49.18,3,19.65,40.0,49.17,3,3.12,17.7,17.65,1,3.21,18.1,17.74
axis:dCp_scale,7,71.78,52.6,136.54,7,71.76,52.6,136.44,3,7.83,26.6,29.43,3,7.83,26.6,29.43
axis:kcat_scale,3,12.64,35.7,35.38,3,12.64,35.6,35.5,1,1.61,8.8,18.22,1,1.61,8.8,18.22
axis:f_maint,7,18.19,98.3,18.5,1,18.19,98.2,18.53,5,0.18,23.5,0.77,1,0.1,14.3,0.71
axis:ngam_scale,1,18.4,85.9,21.42,1,18.42,85.5,21.53,7,0.37,9.9,3.79,1,0.37,10.1,3.72
axis:clearance_mult,6,16.71,99.0,16.88,4,16.72,98.9,16.9,3,0.23,15.4,1.47,3,0.14,9.5,1.47
PC1,1,18.46,38.2,48.35,1,18.48,38.3,48.28,1,1.41,20.1,6.99,1,0.88,12.7,6.99
PC2,15,22.79,40.7,55.94,13,23.17,41.4,55.92,13,2.18,32.1,6.8,5,2.18,32.3,6.76
PC3,3,11.81,46.3,25.53,5,11.82,45.7,25.87,1,0.68,7.6,8.89,1,0.68,7.6,8.89
random1,9,35.73,43.1,82.97,5,35.61,43.0,82.89,1,2.45,16.4,14.91,1,2.45,16.4,14.91
random2,1,13.58,55.2,24.61,1,13.31,54.3,24.5,3,0.93,9.0,10.38,1,0.9,8.8,10.29
random3,8,14.75,82.6,17.85,10,14.76,82.9,17.8,7,0.37,8.7,4.28,3,0.36,8.5,4.27
