tag,line,sign_changes,max_jump,max_jump_frac,range,ll_at_map,s_per_eval
tiebreak,axis:topt_scale,3,19.652426930166182,0.3997029710244573,49.16757781358517,2.349906200849194,8.13
tiebreak,axis:dCp_scale,7,71.76169771384113,0.5259685075174159,136.4372518281714,2.349906200849194,7.91
tiebreak,axis:kcat_scale,3,12.638288394233768,0.35600479270903657,35.500332167053344,2.349906200849194,7.67
tiebreak,axis:f_maint,1,18.189404046981664,0.9818787746244806,18.525101587961508,2.349906200849194,7.51
tiebreak,axis:ngam_scale,1,18.41725455856487,0.8554019322992685,21.53052718627886,2.349906200849194,7.56
tiebreak,axis:clearance_mult,4,16.71899448143148,0.9894781267973033,16.896780260870184,2.349906200849194,7.56
tiebreak,PC1,1,18.476695504229916,0.38267405258865167,48.28311556334104,2.349906200849194,7.6
tiebreak,PC2,13,23.171519481746447,0.4143692241026288,55.919981827625904,2.349906200849194,7.53
tiebreak,PC3,5,11.823478770973717,0.4570072273433977,25.87153564223502,2.349906200849194,7.45
tiebreak,random1,5,35.608296047292,0.4295968898416409,82.88769516096362,2.349906200849194,7.79
tiebreak,random2,1,13.309227899267889,0.5431784199648939,24.50249754054676,2.349906200849194,7.56
tiebreak,random3,10,14.756380592264303,0.8290042464113662,17.800126665384937,2.349906200849194,7.45
