line,step_from,step_to,step_logL,T_C,growth_from,growth_to,o2_from,o2_to,w_from,w_to,d_growth_term,d_resp_term
PC1,-0.95,-0.9,0.884385621464796,15.0,0.0016553177314731348,0.0015289241019720925,0.6575367464895954,0.6621401398058641,0.1655317731473135,0.15289241019720926,0.007267809422904947,0.05029973508353314
PC1,-0.95,-0.9,0.884385621464796,20.0,0.09627423022183546,0.09812531201409065,3.3288801463355435,4.655685480143785,1.0,1.0,0.011657948312546518,0.3844130581862375
PC1,-0.95,-0.9,0.884385621464796,25.0,0.43546965270771465,0.441538353350404,10.321554655885175,10.445689204919706,1.0,1.0,0.036971779789051695,0.008119841733089106
PC1,-0.95,-0.9,0.884385621464796,27.0,0.6628246098774324,0.6726050965922048,14.989064130601534,15.261289903796303,1.0,1.0,0.03168609365246522,0.0037293245204157444
PC1,-0.95,-0.9,0.884385621464796,30.0,0.9628660276486757,0.9745902163660406,20.14907701581153,20.314497036163377,1.0,1.0,0.039305263502996235,0.005353379696261817
PC1,-0.95,-0.9,0.884385621464796,35.0,1.353375348309588,1.3641799062795088,24.81474200425408,25.12052203426379,1.0,1.0,0.05755813608846572,0.01249206191011143
PC1,-0.95,-0.9,0.884385621464796,37.0,1.438364464172438,1.4474785838878164,27.56976975337176,27.657365836153126,1.0,1.0,0.06592218706768405,0.008277376421546467
PC1,-0.95,-0.9,0.884385621464796,40.0,1.5073768935838494,1.5150743448271689,30.495072990867925,30.89160131653373,1.0,1.0,0.057429909557419556,0.004592176154856853
PC1,-0.95,-0.9,0.884385621464796,43.0,1.4939764005953216,1.500629851179147,30.91542123549913,31.26435355287449,1.0,1.0,0.021717111207534834,0.016855048650859183
PC1,-0.95,-0.9,0.884385621464796,45.0,1.3468740803305537,1.3508925676291836,26.389066099311506,26.57072860171215,1.0,1.0,-0.027838189539122427,0.024239957644984544
PC1,-0.95,-0.9,0.884385621464796,47.0,0.6058671723010025,0.5931072420980317,23.83956691043625,23.675537318953683,1.0,1.0,0.06033122392358142,0.0006876365896822945
PC1,-0.95,-0.9,0.884385621464796,50.0,0.0009856133303566242,0.0009889644555596507,6.2848457855545155,6.311043879294521,0.09856133303566242,0.09889644555596507,0.0038932137316064486,-0.0005764618439149244
PC2,-1.0,-0.95,2.1811407164539034,15.0,0.0,0.0,,,0.0,0.0,0.002825652092923625,0.0
PC2,-1.0,-0.95,2.1811407164539034,20.0,0.07194823543301812,0.07391140265556642,0.6708772038212554,1.2245231337029563,1.0,1.0,0.014600463637192584,1.942430265664167
PC2,-1.0,-0.95,2.1811407164539034,25.0,0.4526728712045194,0.4584611386592211,14.68386872378991,14.706036525430541,1.0,1.0,0.038337757016868035,-0.0007690736240526519
PC2,-1.0,-0.95,2.1811407164539034,27.0,0.7509478800191606,0.7572537940943973,16.31808693736666,16.506331263793196,1.0,1.0,-0.004022996779091681,-0.0022606447837291155
