strain,quantity,plain_optimum,pfba,delta
cauris_iRV973,growth,0.06537954957756927,154.26216613735025,154.1967865877727
cauris_iRV973,atp_synthase_draw,14.473285408225042,14.473285408231362,6.320277634586091e-12
cauris_iRV973,redox_translocated,28.947084057507155,28.947084057519803,1.2647660696529783e-11
cauris_iRV973,redox_in_compartment,11.414134659426388,11.396668308412627,-0.017466351013760928
cauris_iRV973,chain_supplies_fraction,2.000035461268302,2.0000354612683022,4.440892098500626e-16
cauris_iRV973,chain_supplies_fraction_incl_chemistry,2.7886701311090443,2.7874633317869772,-0.0012067993220670203
cauris_iRV973,carrier_supplies_fraction,0.06910598805222365,0.04229040873679184,-0.02681557931543181
chaemulonii_draft,growth,0.055924073938399474,190.6510594135325,190.5951353395941
chaemulonii_draft,atp_synthase_draw,10.579699425260305,10.579699425260273,-3.197442310920451e-14
chaemulonii_draft,redox_translocated,28.79356461013202,28.793564610131956,-6.394884621840902e-14
chaemulonii_draft,redox_in_compartment,5.551810086435093,8.537858136996478,2.9860480505613847
chaemulonii_draft,chain_supplies_fraction,2.721586261834993,2.7215862618349953,2.220446049250313e-15
chaemulonii_draft,chain_supplies_fraction_incl_chemistry,3.2463469249951844,3.5285901089018923,0.2822431839067079
chaemulonii_draft,carrier_supplies_fraction,0.14168966727699814,0.14169029314035073,6.258633525879631e-07
cduobushaemulonii_draft,growth,0.043204969209159075,135.21728398282445,135.17407901361528
cduobushaemulonii_draft,atp_synthase_draw,9.437701426354423,9.43770142635439,-3.197442310920451e-14
cduobushaemulonii_draft,redox_translocated,20.133303052220064,20.133303052219993,-7.105427357601002e-14
cduobushaemulonii_draft,redox_in_compartment,5.1795424713791425,10.359508902701965,5.179966431322822
cduobushaemulonii_draft,chain_supplies_fraction,2.1332845936404157,2.1332845936404152,-4.440892098500626e-16
cduobushaemulonii_draft,chain_supplies_fraction_incl_chemistry,2.6820985725310242,3.230957473370798,0.548858900839774
cduobushaemulonii_draft,carrier_supplies_fraction,0.00382427585878809,0.002464741014233573,-0.001359534844554517
cparapsilosis_iDC1003,growth,0.08301797244476543,229.75261973892492,229.66960176648016
cparapsilosis_iDC1003,atp_synthase_draw,30.02191386966215,30.021913869753234,9.108447329708724e-11
cparapsilosis_iDC1003,redox_translocated,33.63275631328814,33.6327563133732,8.505907089784159e-11
cparapsilosis_iDC1003,redox_in_compartment,8.240491055828517,8.240491055831331,2.8137492336099967e-12
cparapsilosis_iDC1003,chain_supplies_fraction,1.1202735594839885,1.120273559483423,-5.655476087440547e-13
cparapsilosis_iDC1003,chain_supplies_fraction_incl_chemistry,1.3947560955276257,1.3947560955263214,-1.304290009329634e-12
cparapsilosis_iDC1003,carrier_supplies_fraction,0.3864889390431208,0.3864889390441514,1.0305645226083016e-12
