fit,tiebreak,reuse_consecutive,reuse_after_other,rebuild_twice,rebuild_then_history,fresh_vs_reused_first,logL
D_NLDM,none,5.873257435951018e-11,8.576259702408606e-10,0.0,5.873257435951018e-11,0.0,-4.221425011348222
D_NLDM,pfba,1.2994316733738742e-10,1.957607409508455e-10,0.0,1.2994316733738742e-10,0.0,-4.222477976570538
D_LB,none,2.2879476091475226e-12,2.241762331323116e-12,0.0,1.9539925233402755e-12,0.0,-24.65509713510818
D_LB,pfba,1.9808865658887953e-10,1.9808865658887953e-10,0.0,1.9808865658887953e-10,0.0,-24.65454587651263
E_NLDM,none,0.10170533473821486,0.101705273964944,0.0,0.10170533473821486,0.0,-5.307021905623989
E_NLDM,pfba,3.6424196991902136e-12,6.736852853350683e-09,0.0,3.6424196991902136e-12,0.0,-5.2037346120824886
E_LB,none,0.24471645644606,0.24481424086313908,0.0,0.24471645644606,0.0,-26.2000018745473
E_LB,pfba,1.7057182333246601e-09,2.807546195526811e-09,0.0,1.7057182333246601e-09,0.0,-26.803398803143438
F_NLDM,none,6.016083631266156e-09,3.176230123358437e-08,0.0,6.016083631266156e-09,0.0,-9.920251406749536
F_NLDM,pfba,3.12123660251018e-11,2.73711719955827e-10,0.0,3.12123660251018e-11,0.0,-9.737012190905782
F_LB,none,0.21390987293634467,0.21390987293741048,0.0,0.21390987293634467,0.0,-24.942676393060506
F_LB,pfba,0.7553012300286426,0.24609842251556913,0.0,0.7553012300286426,0.0,-24.883861476553175
