tag,line,sign_changes,max_jump,max_jump_frac,range,ll_at_map,s_per_eval
baseline,axis:topt_scale,3,19.95291041299423,0.4057349306363075,49.17720636402294,2.3643166223999525,3.88
baseline,axis:dCp_scale,7,71.77513243065864,0.525681651917323,136.53726008673237,2.3643166223999525,4.07
baseline,axis:kcat_scale,3,12.637005389774519,0.35715136258904256,35.382772441821345,2.3643166223999525,4.03
baseline,axis:f_maint,7,18.185576215281266,0.9829414258127643,18.50117996628758,2.3643166223999525,3.89
baseline,axis:ngam_scale,1,18.399728688079037,0.8589243645042319,21.42182647094811,2.3643166223999525,4.2
baseline,axis:clearance_mult,6,16.714400160934606,0.9900866052692111,16.881755668626433,2.3643166223999525,4.33
baseline,PC1,1,18.461466787141504,0.38185486256773726,48.34681602061993,2.3643166223999525,4.29
baseline,PC2,15,22.7918288200646,0.40740190955519506,55.944334784657535,2.3643166223999525,4.21
baseline,PC3,3,11.810243727769407,0.46267070528386095,25.52624057000433,2.3643166223999525,4.2
baseline,random1,9,35.733315717939654,0.43066917508914826,82.9716120512755,2.3643166223999525,4.14
baseline,random2,1,13.576582391051414,0.5516532041060134,24.61071972391254,2.3643166223999525,4.09
baseline,random3,8,14.75354714932887,0.8264583580512831,17.851531181941763,2.3643166223999525,4.08
