temp_C,growth,mu_pred
15.0,0.0015216065869392717,0.011671186895247015
15.5,0.0018772857443058084,0.014399354580639996
16.0,0.0023064902565450487,0.017691484176834648
16.5,0.0028215863373363555,0.021642428316750187
17.0,0.003436145912247774,0.026356287811458715
17.5,0.0041647839154171865,0.031945163666074874
18.0,0.005022872212455787,0.03852696278111869
18.5,0.006026116232450112,0.04622215059076506
19.0,0.007190004563591537,0.05514952929334613
19.5,0.008529097639761367,0.06542078186037585
20.0,0.01005618818416562,0.07713403238300773
20.5,0.011781370920449317,0.09036671047237005
21.0,0.013711070029714384,0.10516809155808636
21.5,0.015847124257977786,0.1215522793832668
22.0,0.018186010406773305,0.13949224994044376
22.5,0.020718312674456302,0.15891578115742952
23.0,0.023428524566897816,0.17970393349188601
23.5,0.02629524236734905,0.20169253390422973
24.0,0.029291766058179947,0.2246767851107596
24.5,0.032387073247858424,0.24841873590081698
25.0,0.035547083557466726,0.2726569793672392
25.5,0.03866952034654705,0.2966070224642897
26.0,0.041780122450522254,0.32046628991480064
26.5,0.04484507292400635,0.3439753954271944
27.0,0.04783299780236887,0.3668936911178524
27.5,0.050715827660143015,0.3890058759270414
28.0,0.053469358411524295,0.41012629712988646
28.5,0.05607351963964418,0.43010100850379046
29.0,0.05851238650794177,0.44880786169229014
29.5,0.0607794754985927,0.4661971261349919
30.0,0.06286594423452667,0.48220097810119467
30.5,0.06476280234381461,0.4967504586944645
31.0,0.06646751896057052,0.5098261554010701
31.5,0.06798056920202827,0.5214317125151949
32.0,0.0693029870883401,0.5315750612869748
32.5,0.07043762452949934,0.5402780767364229
33.0,0.07138859361256053,0.5475722998261997
33.5,0.07216083979375433,0.5534956637148797
34.0,0.07275991507137143,0.558090753923746
34.5,0.07319180138956118,0.5614034537900313
35.0,0.07346276607867855,0.5634818356502616
35.5,0.07367570054531752,0.5651151079940558
36.0,0.07379667744646992,0.5660430377463828
36.5,0.07376249728161498,0.5657808654506287
37.0,0.07358029828740893,0.5643833435604387
37.5,0.07325730234359308,0.5619058660974472
38.0,0.0728007660461793,0.5584040933676785
38.5,0.07221794403116,0.5539336706432098
39.0,0.07151606129726697,0.548550015869284
39.5,0.07070229182460201,0.5423081556626822
40.0,0.06978492627820912,0.535271681954489
40.5,0.06877086485920812,0.5274935213931399
41.0,0.06766568434767531,0.5190164495837768
41.5,0.06647622246910379,0.5098929139677115
42.0,0.06520918549581217,0.5001743537002903
42.5,0.06387112775252902,0.4899110424524708
43.0,0.06246842591195687,0.4791518912499544
43.5,0.06100856259872891,0.46795429410727185
44.0,0.05949954136416549,0.45637964070562426
44.5,0.05795614080073704,0.44454128735948306
45.0,0.05637104861717033,0.4323831465631718
45.5,0.054747855421102935,0.41993275937307484
46.0,0.05309168298359588,0.4072294113363243
46.5,0.05140607995048744,0.3943003216494978
47.0,0.04969089940770663,0.3811443634368346
47.5,0.04794608931065763,0.3677611375004016
48.0,0.04616880323949055,0.35412881093126186
48.5,0.04435205291735005,0.3401937815132089
49.0,0.04248263166718129,0.32585475000273556
49.5,0.040537971825796354,0.31093861553585
50.0,0.0384813658807658,0.2951638202895899
50.5,0.03625477320206843,0.2780851749184899
51.0,0.033768400740237174,0.2590139393295326
51.5,0.030885069142577246,0.2368979060222956
52.0,0.027392696903421082,0.21011034512394713
52.5,0.022949279188464344,0.17602797518019683
53.0,0.017026435739573215,0.1305979583567637
53.5,0.009259026830155413,0.07101956151505755
54.0,0.0025086758955448814,0.01924230973224227
54.5,0.0002878400170792968,0.0022078207758163726
55.0,1.48262498345449e-05,0.0001137218609986898
55.5,0.0,0.0
56.0,0.0,0.0
56.5,0.0,0.0
57.0,0.0,0.0
57.5,0.0,0.0
58.0,0.0,0.0
58.5,0.0,0.0
59.0,0.0,0.0
59.5,0.0,0.0
60.0,0.0,0.0
60.5,0.0,0.0
61.0,0.0,0.0
61.5,0.0,0.0
62.0,0.0,0.0
62.5,0.0,0.0
63.0,0.0,0.0
63.5,0.0,0.0
64.0,0.0,0.0
64.5,0.0,0.0
65.0,0.0,0.0
65.5,0.0,0.0
66.0,0.0,0.0
66.5,0.0,0.0
67.0,0.0,0.0
67.5,0.0,0.0
68.0,0.0,0.0
68.5,0.0,0.0
69.0,0.0,0.0
69.5,0.0,0.0
70.0,0.0,0.0
70.5,0.0,0.0
71.0,0.0,0.0
71.5,0.0,0.0
72.0,0.0,0.0
72.5,0.0,0.0
73.0,0.0,0.0
73.5,0.0,0.0
74.0,0.0,0.0
74.5,0.0,0.0
75.0,0.0,0.0
