temp_C,growth,mu_pred,mu_measured
22.0,0.01827681081846176,0.14018871680913222,0.3161
24.0,0.02940688025275361,0.22555974611441007,0.4344
26.0,0.04189944038311302,0.3213814948719653,0.4929
28.0,0.053469358411522186,0.41012629712987025,0.622
30.0,0.06286594423452752,0.48220097810120116,0.6739
32.0,0.06930298708833055,0.5315750612869017,0.7124
34.0,0.0727599150714074,0.5580907539240219,0.6502
36.0,0.07379667744647904,0.5660430377464526,0.561
38.0,0.07280076604618685,0.5584040933677364,0.1953
40.0,0.0697849262782092,0.5352716819544896,0.0
42.0,0.06520918549581266,0.5001743537002941,0.0
44.0,0.059499541364164625,0.4563796407056176,0.0
