rxn_id,mw_kDa,kcat_s,source,group
R02739__cyto,47.865,28.0367,dlkcat,Pentose phosphate pathway
TR2901179_CYTMEM__plas,64.408182,27.9517,dlkcat,Transporters pathway
R01157__cyto,44.97,1.7215,dlkcat,Arginine and proline metabolism
R01330__cyto,56.453333,19.1668,dlkcat,
R00227__cyto,57.48,20.4334,dlkcat,Pyruvate metabolism
R01220__mito,104.285,11.9586,dlkcat,Carbon fixation pathways in prokaryotes
R12205__mito,49.95,2.2544,dlkcat,Biosynthesis of unsaturated fatty acids
TR1000121_CYTMEM__plas,59.62,6.2053,dlkcat,Transporters pathway
R01787__cyto,35.98,0.2935,dlkcat,Fructose and mannose metabolism
TR1900010_CYTMEM__plas,60.815,13.7,default_13.7,Transporters pathway
TR2900277_CYTMEM__plas,31.55,26.0365,dlkcat,Transporters pathway
TR2900030_CYTMEM__plas,37.5,52.3648,dlkcat,Transporters pathway
R01288__cyto,66.08,5.6389,dlkcat,Sulfur metabolism
R07396__cyto,53.86,124.0524,dlkcat,Cysteine and methionine metabolism
R04566__cyto,122.9675,13.7,default_13.7,Fatty acid biosynthesis
R03036__cyto,40.75,56.3619,dlkcat,Pantothenate and CoA biosynthesis
R08162__cyto,229.63,13.7,default_13.7,Fatty acid biosynthesis
TO0010516_PLAS__plas,58.415,11.803,dlkcat,Transporters pathway
R01960__cyto,52.25,2.2743,dlkcat,Tryptophan metabolism
R11216__cyto,53.116667,13.7,default_13.7,
TR0000111_CYTMEM__plas,100.4925,183.2147,dlkcat,Transporters pathway
TR2900287_CYTMEM__plas,31.55,752.689,dlkcat,Transporters pathway
TR2900308_CYTMEM__plas,32.76,81.3504,dlkcat,Transporters pathway
TR0000090_CYTMEM__plas,79.254545,13.7,default_13.7,Transporters pathway
R01274__pero,33.66,12.2988,dlkcat,Biosynthesis of unsaturated fatty acids
TR0001563_CYTMEM__plas,36.06,1.2496,dlkcat,Transporters pathway
R01051__cyto,33.27,19.6183,dlkcat,Pentose phosphate pathway
R00974__cyto,17.11,0.7547,dlkcat,Pyrimidine metabolism
R03661__cyto,65.503333,59.3859,dlkcat,Aminoacyl-tRNA biosynthesis
R11764__cyto,35.98,0.2845,dlkcat,Folate biosynthesis
TR0000559_CYTMEM__plas,108.486667,13.4593,dlkcat,Transporters pathway
R00278__cyto,29.74,3.1549,dlkcat,Vitamin B6 metabolism
R04430__cyto,130.5775,13.7,default_13.7,Fatty acid biosynthesis
TR1000157_CYTMEM__plas,60.932,45.1268,dlkcat,Transporters pathway
R02558__cyto,87.74,2.805,dlkcat,Cyanoamino acid metabolism
R02017__cyto,80.083333,13.7,default_13.7,Purine metabolism
TR2916905_CYTMEM__plas,37.44,2.9017,dlkcat,Transporters pathway
R04964__cyto,122.9675,13.7,default_13.7,Fatty acid biosynthesis
R01926__mito,62.34,10.364,dlkcat,Sphingolipid metabolism
R04882__pero,53.566667,31.0626,dlkcat,Tyrosine metabolism
R01736__cyto,28.73,47.06,dlkcat,Pyruvate metabolism
R01626__cyto,133.15,3.5494,dlkcat,Fatty acid biosynthesis
R05733__cyto,35.88,2.2343,dlkcat,
R04969__cyto,229.63,13.7,default_13.7,Fatty acid biosynthesis
R01209__mito,62.95,0.4376,dlkcat,
R00316__cyto,74.31,2.6003,dlkcat,Pyruvate metabolism
R00328__cyto,80.86,13.7,default_13.7,Purine metabolism
R02016_Cyto__cyto,34.75,13.7,default_13.7,
TZ2900063_CYTMEM__plas,85.15,1.2108,dlkcat,Transporters pathway
R00390__cyto,82.433333,13.7,default_13.7,Fatty acid biosynthesis
R01600__cyto,56.453333,19.1668,dlkcat,Glycolysis / Gluconeogenesis
TR0000283_CYTMEM__plas,108.486667,0.524,dlkcat,Transporters pathway
R01710__cyto,29.74,2.152,dlkcat,Vitamin B6 metabolism
R03217__cyto,66.08,3.5873,dlkcat,Cysteine and methionine metabolism
R07134__cyto,30.282,662.5346,dlkcat,Pentose and glucuronate interconversions
R04533__cyto,122.9675,13.7,default_13.7,Fatty acid biosynthesis
R02024__cyto,80.083333,13.7,default_13.7,Pyrimidine metabolism
TR1000179_CYTMEM__plas,60.932,50.5188,dlkcat,Transporters pathway
R00988__cyto,34.16,1.8585,dlkcat,Tryptophan metabolism
R00705__cyto,59.31,4.771,dlkcat,Inositol phosphate metabolism
R11216__mito,59.885,13.7,default_13.7,
R04371__cyto,74.58,7.3916,dlkcat,2-Oxocarboxylic acid metabolism
TR0000919_CYTMEM__plas,36.06,0.216,dlkcat,Transporters pathway
R03758__mito,28.88,0.1325,dlkcat,"Glycine, serine and threonine metabolism"
R03542__cyto,34.01,23.4721,dlkcat,Cyanoamino acid metabolism
R01431__cyto,34.018333,113.5085,dlkcat,Pentose and glucuronate interconversions
R01321__cyto,44.7,3.1756,dlkcat,Glycerophospholipid metabolism
R10825__mito,39.07,4.766,dlkcat,Fatty acid elongation
R00708__mito,65.33,7.3282,dlkcat,Arginine and proline metabolism
R10928__cyto,88.4,13.7,default_13.7,Inositol phosphate metabolism
R03648__cyto,59.67,3.6786,dlkcat,Aminoacyl-tRNA biosynthesis
TR0011837_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
TR2900119_CYTMEM__plas,42.78,8.6041,dlkcat,Transporters pathway
R05616__cyto,40.65,0.6869,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
TO1000074_CYTMEM__plas,64.190588,65.5389,dlkcat,Transporters pathway
R01799__mito,47.625,23.4202,dlkcat,Glycerophospholipid metabolism
R09376__cyto,24.71,98.0215,dlkcat,Riboflavin metabolism
R11101__cyto,50.603333,24.7915,dlkcat,Spontaneous
TO1002197_CYTMEM__plas,60.686667,45.4764,dlkcat,Transporters pathway
R00772__cyto,48.18,6.1656,dlkcat,
R02059__cyto,46.46,1.667,dlkcat,Amino sugar and nucleotide sugar metabolism
R04751__cyto,79.8425,22.0581,dlkcat,Fatty acid metabolism
R00937__mito,16.5,7.0826,dlkcat,Folate biosynthesis
R09477__cyto,34.018333,113.5085,dlkcat,Pentose and glucuronate interconversions
TR2900940_CYTMEM__plas,37.5,13.7,default_13.7,Transporters pathway
TO0000021_PLAS__plas,58.04,72.4542,dlkcat,Transporters pathway
R10825__cyto,39.07,4.766,dlkcat,Fatty acid elongation
R02235__mito,16.5,18.7054,dlkcat,Folate biosynthesis
TO1000184_CYTMEM__plas,70.25,7.9496,dlkcat,Transporters pathway
R07409__cyto,52.91,48.0979,dlkcat,"Glycine, serine and threonine metabolism"
R04144__cyto,85.12,4.0486,dlkcat,Purine metabolism
TO1000478_CYTMEM__plas,60.686667,0.9871,dlkcat,Transporters pathway
TR2916888_CYTMEM__plas,32.14,45.2013,dlkcat,Transporters pathway
R00772__mito,48.18,6.1656,dlkcat,
R03758__cyto,28.88,0.1325,dlkcat,"Glycine, serine and threonine metabolism"
R03158__cyto,53.92,0.1852,dlkcat,Propanoate metabolism
R00159__cyto,80.86,13.7,default_13.7,Pyrimidine metabolism
R00662__cyto,40.75,13.7,default_13.7,Pyrimidine metabolism
R12404__cyto,38.72,0.3986,dlkcat,Steroid biosynthesis
