config,medium,run,point,his_g,pre_g,cur_g,d_g,his_r,pre_r,cur_r,d_r,F_ETC,C_max,resp_scale
D,NLDM,D_NLDM_full,posterior median,0.71,0.7066214438066898,0.7276261502201681,0.02100470641347829,,0.7246490382487127,0.7268203918910461,0.00217135364233334,,178.4853595938558,3.33574559683006
D,LB,D_LB_full,MAP,0.9,0.8964280333579261,0.8950273055459741,-0.0014007278119519961,,0.7930797789129911,0.7944666375212817,0.0013868586082905754,,256.730221638823,3.3693125982036816
E,NLDM,E_NLDM,MAP,0.85,0.8492239097241446,0.8643722308526663,0.015148321128521713,0.72,0.7214171799681109,0.721294994753541,-0.00012218521456996978,0.2818791149652198,,10.230363328368098
E,LB,E_LB_freecmax,MAP,0.83,0.8283962317063271,0.8260484388057086,-0.002347792900618595,0.81,0.801401013801263,0.801876208807433,0.0004751950061699928,0.2843065237076081,459.2509028293237,5.324875699245547
F,NLDM,F_NLDM,MAP,0.91,0.9050642600527596,0.9178948994557096,0.012830639402949928,0.96,0.9635839583240716,0.9624943729809148,-0.0010895853431568403,0.3180714208661237,,11.0408921857257
F,LB,F_LB,MAP,0.88,0.8808607795221587,0.8799364698567685,-0.0009243096653901439,0.85,0.8523787109484079,0.8527487843221306,0.00037007337372274574,0.2205876505895814,509.92543685989665,4.7045043213540305
