medium,quantity,c60,c120,change,rel
glucose_minimal,Topt_C,37.5,38.0,0.5,0.013333333333333334
glucose_minimal,rmax,0.8269370036311777,1.1250725563640116,0.2981355527328339,0.3605299453570049
glucose_minimal,o2_at_Topt,24.295700422385032,24.356366653678688,0.06066623129365567,0.002496994539731827
glucose_minimal,co2_release_at_Topt,26.059790454099534,26.75712776094051,0.697337306840975,0.0267591294745532
glucose_minimal,ac_at_Topt,0.0,-23.53134416182506,-23.53134416182506,
glucose_minimal,RQ_at_Topt,1.0726091448711288,1.0985681132739566,0.025958968402827853,0.024201703413545626
NLDM,Topt_C,32.5,39.5,7.0,0.2153846153846154
NLDM,rmax,0.9544072914248908,1.6814656377247543,0.7270583462998635,0.761790435626697
NLDM,o2_at_Topt,22.45395004922536,38.9435431952417,16.489593146016343,0.7343738233079938
NLDM,co2_release_at_Topt,20.83011967360388,43.17916340081231,22.34904372720843,1.072919602834992
NLDM,ac_at_Topt,0.0,-3.9028583030528825,-3.9028583030528825,
NLDM,RQ_at_Topt,0.9276817498898148,1.1087630928787222,0.18108134298890743,0.19519769900659933
NLDM_blanket,Topt_C,34.5,39.5,5.0,0.14492753623188406
NLDM_blanket,rmax,0.96575499830329,1.7252155861812748,0.7594605878779848,0.7863905330153729
NLDM_blanket,o2_at_Topt,22.693653915313114,41.97775205769753,19.284098142384416,0.8497573028278177
NLDM_blanket,co2_release_at_Topt,20.36439783304411,40.35056005802852,19.98616222498441,0.9814266244864871
NLDM_blanket,ac_at_Topt,0.0,-4.42046411490031,-4.42046411490031,
NLDM_blanket,RQ_at_Topt,0.8973609057862083,0.9612367999736512,0.06387589418744288,0.07118194449476162
LB,Topt_C,33.0,39.5,6.5,0.19696969696969696
LB,rmax,0.9273374631804044,1.694776400986405,0.7674389378060006,0.8275724515366666
LB,o2_at_Topt,22.12620393603776,38.93952076655706,16.813316830519298,0.7598825753899353
LB,co2_release_at_Topt,21.94109393199374,45.801521776568,23.86042784457426,1.0874766736120578
LB,ac_at_Topt,0.0,-2.319645303273705,-2.319645303273705,
LB,RQ_at_Topt,0.9916339013877332,1.1762220200692437,0.18458811868151048,0.18614542970262543
BHI,Topt_C,32.5,39.5,7.0,0.2153846153846154
BHI,rmax,0.9280063613948364,1.6947764009864046,0.7667700395915682,0.826255154586524
BHI,o2_at_Topt,21.96642583346582,38.939520766557074,16.973094933091254,0.7726835062640353
BHI,co2_release_at_Topt,21.913641644856764,45.801521776567995,23.88788013171123,1.0900917574016198
BHI,ac_at_Topt,0.0,-2.319645303273699,-2.319645303273699,
BHI,RQ_at_Topt,0.9975970515636348,1.1762220200692428,0.17862496850560805,0.1790552289881281
