config,medium,run,model_medium,point,o2_closure,data,growth_R2,growth_RMSE,resp_R2,resp_RMSE,resp_scale,F_ETC,C_max,his_growth_R2,his_resp_R2,chain_steps,walkers
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,MAP,his (after build),pre-fix,0.797987731836073,0.2912301857553649,0.7038892463624189,5.1806082922298505e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,MAP,his (after build),current,0.8152837695284517,0.2845136854772043,0.7062050871553986,5.179464935979136e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,MAP,core (in provider),pre-fix,0.7979877318360737,0.29123018575536436,0.7038892463624196,5.180608292229845e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,MAP,core (in provider),current,0.815283769528452,0.28451368547720407,0.7062050871553993,5.179464935979131e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,posterior median,his (after build),pre-fix,0.7066214438066898,0.3509632945916235,0.7246490382487127,4.995707074600164e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,posterior median,his (after build),current,0.7276261502201681,0.34548829428328776,0.7268203918910461,4.994441152468463e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,posterior median,core (in provider),pre-fix,0.7066214438066897,0.3509632945916236,0.7246490382487139,4.9957070746001525e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM_blanket,posterior median,core (in provider),current,0.727626150220168,0.34548829428328776,0.7268203918910473,4.994441152468452e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,MAP,his (after build),pre-fix,0.7819447425357231,0.302573435182108,0.4851758673225759,6.830981588703489e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,MAP,his (after build),current,0.7999136669925083,0.2961142756430049,0.4880246785611916,6.8373415528684016e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,MAP,core (in provider),pre-fix,0.7819447425357231,0.302573435182108,0.4851758673225759,6.830981588703489e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,MAP,core (in provider),current,0.7999136669925083,0.2961142756430049,0.4880246785611916,6.8373415528684016e-12,3.413181205064996,,146.01633059043527,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,posterior median,his (after build),pre-fix,0.7285238444192313,0.33760849039769175,0.5102428761051019,6.6626047096745184e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,posterior median,his (after build),current,0.748610311117994,0.3319130766183039,0.5128936928619596,6.669213767076039e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,posterior median,core (in provider),pre-fix,0.7285238444192313,0.33760849039769175,0.5102428761051019,6.6626047096745184e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,NLDM,calibration_configD_NLDM_full,NLDM,posterior median,core (in provider),current,0.748610311117994,0.3319130766183039,0.5128936928619596,6.669213767076039e-12,3.3357455968300602,,178.4853595938558,0.71,,2000,36
D,LB,calibration_configD_LB_full,LB,MAP,his (after build),pre-fix,0.8964280333579261,0.3397530919942544,0.7930797789129911,6.331710396232156e-12,3.3693125982036816,,256.730221638823,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,MAP,his (after build),current,0.8950273055459741,0.34325193584347624,0.7944666375212817,6.3079414856054954e-12,3.3693125982036816,,256.730221638823,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,MAP,core (in provider),pre-fix,0.8964280333579261,0.3397530919942544,0.7930797789129911,6.331710396232156e-12,3.3693125982036816,,256.730221638823,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,MAP,core (in provider),current,0.8950273055459741,0.34325193584347624,0.7944666375212817,6.3079414856054954e-12,3.3693125982036816,,256.730221638823,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,posterior median,his (after build),pre-fix,0.7718985620881672,0.5042040361983662,0.7740599192691316,6.616315638473067e-12,3.607212467934267,,266.9916615347463,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,posterior median,his (after build),current,0.7681957760757061,0.5100767115085729,0.7741072797730533,6.612986102840193e-12,3.607212467934267,,266.9916615347463,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,posterior median,core (in provider),pre-fix,0.7718985621010037,0.5042040361841791,0.7740599192747306,6.616315638391088e-12,3.607212467934267,,266.9916615347463,0.9,,2000,36
D,LB,calibration_configD_LB_full,LB,posterior median,core (in provider),current,0.7681957760883523,0.5100767114946592,0.7741072797785571,6.612986102759633e-12,3.607212467934267,,266.9916615347463,0.9,,2000,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,MAP,his (after build),pre-fix,0.8492239097241446,0.2516018056654768,0.7214171799681109,5.024939436003809e-12,10.230363328368098,0.2818791149652198,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,MAP,his (after build),current,0.8643722308526663,0.24379508279685247,0.721294994753541,5.044697689612491e-12,10.230363328368098,0.2818791149652198,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,MAP,core (in provider),pre-fix,0.8492080415541834,0.2516150450165177,0.6077865612793942,5.962314790627567e-12,10.230363328368098,0.2818791149652198,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,MAP,core (in provider),current,0.8643570491727001,0.24380872718316876,0.6089926137008337,5.9752384665560186e-12,10.230363328368098,0.2818791149652198,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,posterior median,his (after build),pre-fix,0.6813623753734662,0.3657598601910247,0.707538845954513,5.148583508122465e-12,9.087830551590736,0.3471021303692291,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,posterior median,his (after build),current,0.701251538595041,0.36182908285515847,0.7074746995203949,5.168261487318848e-12,9.087830551590736,0.3471021303692291,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,posterior median,core (in provider),pre-fix,0.6813623753619744,0.3657598601976203,0.70753884593084,5.1485835083308375e-12,9.087830551590736,0.3471021303692291,,0.85,0.72,1500,36
E,NLDM,calibration_configE_NLDM,NLDM_blanket,posterior median,core (in provider),current,0.7012515385840379,0.3618290828618217,0.7074746994968992,5.1682614875264044e-12,9.087830551590736,0.3471021303692291,,0.85,0.72,1500,36
