temp_C,growth
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0040194727996549495
17.0,0.01074801647190504
18.0,0.019676972940489576
19.0,0.031308437021117144
20.0,0.04611538710357351
21.0,0.0645520470286116
22.0,0.08700354401337032
23.0,0.11373652533402813
24.0,0.14484894360459444
25.0,0.18022318058831938
26.0,0.21948884363531934
27.0,0.2619997312398233
28.0,0.3068316450826741
29.0,0.35174088078850135
30.0,0.3962130985541441
31.0,0.4389439045871117
32.0,0.4783830704210278
33.0,0.5130203961923445
34.0,0.5408726524925681
35.0,0.5590642232954426
36.0,0.5682047846761733
37.0,0.5712802626129285
38.0,0.5682310161829838
39.0,0.5592694157285665
40.0,0.5417618954022958
41.0,0.5151539978470532
42.0,0.48227865051217467
43.0,0.4451430242043181
44.0,0.4051433716307625
45.0,0.3636535680582572
46.0,0.3219536692795479
47.0,0.28025890441228885
48.0,0.24024866190340846
49.0,0.2029015747475334
50.0,0.16874789280499888
51.0,0.13810765876942652
52.0,0.11111231657617332
53.0,0.0877338848358603
54.0,0.06781805498277982
55.0,0.05111799879029529
56.0,0.03732631045517825
57.0,0.026103247407878748
58.0,0.017100170257882356
59.0,0.009977739766237996
60.0,0.004418959710097218
