,Topt_C,rmax,CTmax_C,CTmin_C,niche_width_C,Ea_eV
dTopt,1.0,0.0,1.0,1.0,-1.0,1.0
dTm,-1.0,1.0,1.0,1.0,1.0,1.0
topt_scale,1.0,0.0,1.0,1.0,-1.0,1.0
dCp_scale,1.0,0.0,-1.0,1.0,-1.0,1.0
budget_scale,-1.0,-1.0,1.0,-1.0,1.0,1.0
f_metab,-1.0,-1.0,1.0,-1.0,1.0,1.0
f_maint,1.0,-1.0,1.0,-1.0,1.0,1.0
