temp_C,growth,mu_pred,mu_measured
22.0,0.00696172632260552,0.05274958219064534,0.2984
24.0,0.012506204222813622,0.09476055463458702,0.4086
26.0,0.021026433129851165,0.15931904116335377,0.4879
28.0,0.03276379564197482,0.24825401789811058,0.5949
30.0,0.04693973678353687,0.3556663087186313,0.6167
32.0,0.06164926104100786,0.46712160340398146,0.6033
34.0,0.0746276303990195,0.5654597927303849,0.5387
36.0,0.0844757322172087,0.6400796832873569,0.4686
38.0,0.08974143277558005,0.6799783365126649,0.153
40.0,0.09052224587538578,0.685894622628365,0.0
42.0,0.08755636542511619,0.6634218985755512,0.0
44.0,0.0817942906757892,0.6197621766196169,0.0
