parameter,emergent,posterior_median,ci5,ci95,demanded_correction,constrained_by_curve
dTopt,0.0,0.6431,-4.2845,4.4258,+0.6 K,True
topt_scale,1.0,0.9844,0.8152,1.1772,x0.98,False
dCp_scale,1.0,1.1153,0.6582,1.7547,x1.12,False
dTm,0.0,-3.4881,-6.8716,8.0676,-3.5 K,False
tm_scale,1.0,0.9977,0.7946,1.2719,x1.00,False
kcat_scale,1.0,2.5625,1.317,5.032,x2.56,True
kappa_scale,1.0,1.1212,0.5635,2.8564,x1.12,False
f_metab,0.28,0.2805,0.2312,0.3286,0.281 (meas 0.280),False
f_maint,0.36,0.3399,0.297,0.3872,0.340 (meas 0.360),False
ngam_scale,1.0,0.9718,0.3837,2.2049,x0.97,False
ngam_steepness,1.0,0.9165,0.4208,2.1266,x0.92,False
sigma_disc,,0.545,0.3858,0.7671,x0.54,
