pred_bin,n,pred_mean,measured_mean,bias_mean
"(47.266000000000005, 51.912]",244,51.16126992622951,48.72528978452872,2.4359801417007985
"(51.912, 52.651]",243,52.30462081069959,49.05098748364269,3.2536333270568893
"(52.651, 53.314]",243,52.99719944032922,49.20434063802549,3.7928588023037313
"(53.314, 53.933]",244,53.605184786885246,49.585663128475495,4.019521658409751
"(53.933, 54.703]",243,54.295855522633744,49.87479193798853,4.421063584645212
"(54.703, 55.846]",243,55.26357495473251,49.60494716480049,5.658627789932016
"(55.846, 57.953]",243,56.78516134567901,49.74182571168578,7.043335633993231
"(57.953, 77.55]",244,61.16007468032787,48.38325645492837,12.77681822539949
