species,strain,offset_C,CTmax_C,gap_C,abs_gap,Topt_C,Ea_eV,fit_r2,E_growth
C. auris (clade I),cauris_iRV973,0.0,53.027893780338474,9.027893780338474,9.027893780338474,37.0,1.3260537028039798,0.5177484741936473,1.2001399145649811
C. auris (clade I),cauris_iRV973,2.0,51.347144826457075,7.347144826457075,7.347144826457075,37.0,1.3260364100887185,0.5255313218589852,1.2001154511255487
C. auris (clade I),cauris_iRV973,4.0,49.49018498978832,5.490184989788318,5.490184989788318,37.0,1.3259975076222228,0.5481439289509991,1.2000587156052127
C. auris (clade I),cauris_iRV973,5.43,48.22620197360741,4.2262019736074095,4.2262019736074095,37.0,1.3259404016310898,0.5884888729794935,1.199973697980789
C. auris (clade I),cauris_iRV973,6.0,47.682153390307256,3.6821533903072563,3.6821533903072563,37.0,1.32590549045498,0.60837972173606,1.1999211436642996
C. auris (clade I),cauris_iRV973,8.0,45.794151869404644,1.7941518694046437,1.7941518694046437,36.5,1.325678510629522,0.7531287399175964,1.199573628114357
C. auris (clade I),cauris_iRV973,10.0,43.86293560066813,-0.13706439933186942,0.13706439933186942,36.5,1.3250946654163025,0.698029627404261,1.1986567716566872
C. auris (clade I),cauris_iRV973,12.0,41.90934072275394,-2.0906592772460613,2.0906592772460613,36.0,1.3654902772931765,-0.09281577536037244,1.196109343851644
C. auris (clade I),cauris_iRV973,15.0,38.958532509673184,-5.041467490326816,5.041467490326816,34.5,1.4465637553368382,-1.3993982507098113,1.1797912364909926
C. auris (clade I),cauris_iRV973,20.0,34.09056911298379,-9.909430887016207,9.909430887016207,31.5,1.7486411609899708,-5.102428970223193,-0.15607354103493648
C. haemulonii,chaemulonii_draft,0.0,51.83127649838228,13.83127649838228,13.83127649838228,37.5,1.3145245147896858,-1.2700598331304422,1.7590054163450848
C. haemulonii,chaemulonii_draft,2.0,50.32659849654503,12.326598496545031,12.326598496545031,37.5,1.314505692384187,-1.266928213630833,1.7590029569516532
C. haemulonii,chaemulonii_draft,4.0,48.72598810828736,10.72598810828736,10.72598810828736,37.5,1.3144668925809528,-1.2563980081621646,1.75899813712214
C. haemulonii,chaemulonii_draft,5.43,47.46826691740782,9.468266917407817,9.468266917407817,37.5,1.3144136315879589,-1.2317204866192788,1.758991818227716
C. haemulonii,chaemulonii_draft,6.0,46.964039751315404,8.964039751315404,8.964039751315404,37.5,1.3143820447006767,-1.2108501892155634,1.7589881793446618
C. haemulonii,chaemulonii_draft,8.0,45.19478155271067,7.194781552710673,7.194781552710673,37.5,1.3141852225745478,-0.9942064992490096,1.758966285116045
C. haemulonii,chaemulonii_draft,10.0,43.31846100744128,5.318461007441279,5.318461007441279,37.5,1.3523758546849094,-0.6196069041971,1.7589143648457757
C. haemulonii,chaemulonii_draft,12.0,41.39545229530942,3.3954522953094184,3.3954522953094184,36.5,1.3939736049828837,-0.17785153503679108,1.7587792327030192
C. haemulonii,chaemulonii_draft,15.0,38.47033214303122,0.4703321430312215,0.4703321430312215,35.0,1.4685300691136467,0.4508302189053869,1.757929278492142
C. haemulonii,chaemulonii_draft,20.0,33.730487278926276,-4.269512721073724,4.269512721073724,31.0,1.8191231199702556,-0.028767219728767612,1.7271641990254862
C. duobushaemulonii,cduobushaemulonii_draft,0.0,51.66987485550374,13.669874855503743,13.669874855503743,34.5,1.3418116053969538,-0.43511590773620523,0.9342087291928274
C. duobushaemulonii,cduobushaemulonii_draft,2.0,50.25653318104608,12.25653318104608,12.25653318104608,34.5,1.3418075077711384,-0.43264365674606897,0.9342012460532794
C. duobushaemulonii,cduobushaemulonii_draft,4.0,48.74794733846584,10.747947338465842,10.747947338465842,34.5,1.3417998104056872,-0.42470125181867235,0.9341865927851297
C. duobushaemulonii,cduobushaemulonii_draft,5.43,47.594860379136406,9.594860379136406,9.594860379136406,34.5,1.3417901160060437,-0.4060301570581024,0.9341675144097615
C. duobushaemulonii,cduobushaemulonii_draft,6.0,47.12271789615193,9.122717896151933,9.122717896151933,34.5,1.3417846821615151,-0.39008078063229745,0.9341566081136881
C. duobushaemulonii,cduobushaemulonii_draft,8.0,45.32839811913574,7.328398119135741,7.328398119135741,34.5,1.3417535557763909,-0.22610246192746253,0.9340920974212157
C. duobushaemulonii,cduobushaemulonii_draft,10.0,43.43976943002549,5.439769430025493,5.439769430025493,34.5,1.34168605259641,0.0809806436887579,0.9339441769140393
C. duobushaemulonii,cduobushaemulonii_draft,12.0,41.66977690250863,3.66977690250863,3.66977690250863,34.0,1.3415293373046266,0.45964035336026465,0.9335727351276802
C. duobushaemulonii,cduobushaemulonii_draft,15.0,38.823543794028296,0.8235437940282964,0.8235437940282964,33.5,1.3894987388937086,0.9467803556744065,0.9312110693734229
C. duobushaemulonii,cduobushaemulonii_draft,20.0,33.95087435220218,-4.049125647797823,4.049125647797823,30.5,1.6533646521228633,0.08933319156131614,0.7866673474148281
C. parapsilosis,cparapsilosis_iDC1003,0.0,53.29068883230932,15.290688832309321,15.290688832309321,37.0,1.1474923956851046,-1.0410534164612502,1.0228712036262797
C. parapsilosis,cparapsilosis_iDC1003,2.0,51.40575698471546,13.40575698471546,13.40575698471546,37.0,1.147488430446607,-1.0384030474686474,1.0228676766040607
C. parapsilosis,cparapsilosis_iDC1003,4.0,49.48051882729223,11.48051882729223,11.48051882729223,37.0,1.1474803713830322,-1.0239051638649879,1.0228605428955946
C. parapsilosis,cparapsilosis_iDC1003,5.43,48.168140916086884,10.168140916086884,10.168140916086884,37.0,1.1474693527362059,-0.9743837595509182,1.0228508647991916
C. parapsilosis,cparapsilosis_iDC1003,6.0,47.60170690051129,9.601706900511289,9.601706900511289,37.0,1.1474628157354485,-0.9264418035848716,1.022845160958763
C. parapsilosis,cparapsilosis_iDC1003,8.0,45.711302252064726,7.711302252064726,7.711302252064726,37.0,1.1474211444285631,-0.6641653479400893,1.0228093636321411
C. parapsilosis,cparapsilosis_iDC1003,10.0,43.78822764917186,5.7882276491718585,5.7882276491718585,36.5,1.1473099130645141,-0.11082943064919393,1.0227174179925693
C. parapsilosis,cparapsilosis_iDC1003,12.0,41.84548997899436,3.845489978994358,3.845489978994358,36.0,1.1824070128427702,0.46248826305806656,1.0224458217034442
C. parapsilosis,cparapsilosis_iDC1003,15.0,38.912350414718226,0.912350414718226,0.912350414718226,34.0,1.2564453191182379,0.9204372281556776,1.0199995543643277
C. parapsilosis,cparapsilosis_iDC1003,20.0,33.99910706631133,-4.000892933688668,4.000892933688668,30.0,1.6846013946183804,-0.3349438675569676,0.8271231544933956
