strain,CTmax_C,Topt_C,observed_limit_C,gap_C,n_enzymes,Tm_q05,Tm_q10,Tm_q25,Tm_q50,Tm_q75,Tm_q90,Tm_q95
cauris_iRV973,53.027893781279374,37.0,44.0,9.027893781279374,1314,51.52428115000003,51.906407,53.12953600000003,53.68015200000002,55.508375,58.654832999999996,59.83908200000002
chaemulonii_draft,51.83127649838225,37.5,38.0,13.831276498382252,1312,51.422799,51.752418000000034,52.90623300000004,53.53632600000003,54.80260800000002,57.232832900000034,59.12382715000003
cduobushaemulonii_draft,51.66987485550375,34.5,38.0,13.66987485550375,1310,51.794526750000024,51.890558,53.05697300000003,53.52176400000002,54.91310400000003,57.707739000000004,58.63899600000002
cparapsilosis_iDC1003,53.290688832309314,37.0,38.0,15.290688832309314,1606,51.639557000000025,52.230725000000035,53.370100000000036,54.206860000000006,56.179839000000015,57.88833500000004,58.88117600000004
