temp_C,growth,mu_pred,mu_measured
22.0,0.14085976354963944,0.2921606849456912,0.289
24.0,0.20167253599488666,0.41829394545474136,0.3675
26.0,0.2628608220363142,0.5452060679091888,0.4785
28.0,0.31636211390758695,0.6561744075165599,0.5453
30.0,0.3556565273603758,0.737675912698771,0.578
32.0,0.3764491192888245,0.7808023367855973,0.8002
34.0,0.3790066372719506,0.7861069474627813,0.6742
36.0,0.3772543635368024,0.7824725135991122,0.6231
38.0,0.3578693432708508,0.742265568366021,0.4819
40.0,0.32119778811569744,0.6662041978073685,0.0
42.0,0.2725173561720998,0.5652349218289836,0.0
44.0,0.2167732379711908,0.4496146812090863,0.0
