T_C,mu,n,n_alive
22,0.3161,10,10
24,0.4344,10,10
26,0.4929,10,10
28,0.622,10,10
30,0.6739,10,10
32,0.7124,10,10
34,0.6502,10,9
36,0.561,10,10
38,0.1953,10,9
40,0.0,10,0
42,0.0,10,0
44,0.0,10,0
