temp_C,growth,mu_pred
15.0,0.002471484335974313,0.004739510242742417
15.5,0.002992656828519197,0.00573895107702078
16.0,0.0036144349934754292,0.006931321159496705
16.5,0.00435409416865123,0.008349749019166762
17.0,0.005231391612671205,0.010032122709075362
17.5,0.006268796129129116,0.01202153015141758
18.0,0.007491707480278026,0.01436667990226612
18.5,0.008928655294838054,0.017122282592626187
19.0,0.010611458812814476,0.02034935726750089
19.5,0.012575328018683312,0.024115425326739645
20.0,0.014858882739921114,0.028494547149861674
20.5,0.017504062320308725,0.033567148878570534
21.0,0.020555894883018642,0.0394195799377366
21.5,0.02406209249372301,0.04614333668874239
22.0,0.028072437399925248,0.05383388543437398
22.5,0.03263792579817015,0.06258902044034728
23.0,0.037809646512790014,0.0725067136026149
23.5,0.04363734748012744,0.08368236542621711
24.0,0.05016785647687707,0.0962057764913391
24.5,0.05744310875608563,0.11015736509497509
25.0,0.06549731494445951,0.12560273619092774
25.5,0.0743552154535855,0.1425893339132417
26.0,0.08402938301831868,0.16114126871439186
26.5,0.09451781413568161,0.18125469852152157
27.0,0.10580174967796155,0.20289364937491544
27.5,0.11784392057611512,0.22598665121429537
28.0,0.13058739227799937,0.2504245219222108
28.5,0.14395518112399358,0.2760596316561476
29.0,0.1578507700550474,0.3027068918103193
29.5,0.17215959157770544,0.3301465988645321
30.0,0.18675146958623387,0.35812911701187233
30.5,0.20148392775605953,0.38638122259082053
31.0,0.21620619163538063,0.4146137788068371
31.5,0.23076408360868336,0.44253112269443473
32.0,0.24500606535458327,0.4698426526034573
32.5,0.2587381623597749,0.4961763879474772
33.0,0.2717974126443032,0.5212198201817577
33.5,0.28412544738073087,0.5448610167111905
34.0,0.29614530544720197,0.5679112297322216
34.5,0.30738053410078464,0.5894567764743645
35.0,0.31761665577314313,0.6090863581010574
35.5,0.32678834656652667,0.6266747044343838
36.0,0.3348493168814763,0.6421330469446086
36.5,0.34177149658954215,0.6554075561741192
37.0,0.3475377685168356,0.6664654069013306
37.5,0.35215800036464245,0.6753255221963332
38.0,0.3556504340611377,0.6820228841968545
38.5,0.3580439295690943,0.6866128370081258
39.0,0.35937667165928394,0.6891686067111523
39.5,0.3596942781518877,0.6897776735795708
40.0,0.35904805199333445,0.6885384201264899
40.5,0.3574934090537349,0.6855571161267886
41.0,0.35508849548890237,0.6809452671631817
41.5,0.35189299419341075,0.6748173257879398
42.0,0.34796710899849265,0.6672887435419148
42.5,0.34337070722086416,0.6584743266395954
43.0,0.33815417210553134,0.6484706939032387
43.5,0.33241673862254895,0.6374681460157853
44.0,0.32623512906640595,0.625613811605681
44.5,0.31958025297564974,0.612851904545531
45.0,0.3124974749289509,0.5992694194733905
45.5,0.30503158540475034,0.5849522500881422
46.0,0.2972291698579995,0.5699897322749836
46.5,0.2891234648449781,0.5544456030346424
47.0,0.2807405556059399,0.5383698854490245
47.5,0.27209782721876746,0.5217959184932128
48.0,0.2631982435601494,0.5047293859272538
48.5,0.2540250756200352,0.4871382069026744
49.0,0.24449667301064001,0.4688658022967197
49.5,0.23455294159831833,0.4497969309331474
50.0,0.22401939819956296,0.4295969903128109
50.5,0.2125817729438353,0.40766331213281126
51.0,0.19959585447409967,0.3827605066798822
51.5,0.18332290715833688,0.3515542395148262
52.0,0.1577729906963689,0.30255773607351577
52.5,0.1071600545180466,0.20549844019177158
53.0,0.039552528500819056,0.07584899941600991
53.5,0.007690698044511816,0.014748279657387911
54.0,0.0011416358892411382,0.0021892896150635197
54.5,0.0001635501111517452,0.0003136363907804324
55.0,2.5033022426434495e-05,4.8005267308366236e-05
55.5,1.8275284762848244e-05,3.5046104910233146e-05
56.0,5.282649256553296e-06,1.0130418346503404e-05
56.5,0.0,0.0
57.0,0.0,0.0
57.5,0.0,0.0
58.0,0.0,0.0
58.5,0.0,0.0
59.0,0.0,0.0
59.5,0.0,0.0
60.0,0.0,0.0
60.5,0.0,0.0
61.0,0.0,0.0
61.5,0.0,0.0
62.0,0.0,0.0
62.5,0.0,0.0
63.0,0.0,0.0
63.5,0.0,0.0
64.0,0.0,0.0
64.5,0.0,0.0
65.0,0.0,0.0
65.5,0.0,0.0
66.0,0.0,0.0
66.5,0.0,0.0
67.0,0.0,0.0
67.5,0.0,0.0
68.0,0.0,0.0
68.5,0.0,0.0
69.0,0.0,0.0
69.5,0.0,0.0
70.0,0.0,0.0
70.5,0.0,0.0
71.0,0.0,0.0
71.5,0.0,0.0
72.0,0.0,0.0
72.5,0.0,0.0
73.0,0.0,0.0
73.5,0.0,0.0
74.0,0.0,0.0
74.5,0.0,0.0
75.0,0.0,0.0
