temp_C,growth,cap_lhs,cap_ub,pool_lhs,pool_ub
5.0,0.000900932395535478,3.984957263061006e-06,0.021356298225,0.16307939423036824,0.26622498999999994
6.0,0.0025888943351262766,1.145106262709885e-05,0.021356298225,0.1632047254043828,0.26622498999999994
7.0,0.005169517483542382,2.2865540571797373e-05,0.021356298225,0.16339633667315306,0.26622498999999994
8.0,0.009233122204149655,4.083946539217005e-05,0.021356298225,0.16369805932365789,0.26622498999999994
9.0,0.015240690880381675,6.7411830364638e-05,0.021356298225,0.1641441212978683,0.26622498999999994
10.0,0.023857622133726504,0.00010552579202643913,0.021356298225,0.1647839284434293,0.26622498999999994
11.0,0.03588139825339142,0.00015870873251666305,0.021356298225,0.16567669382031408,0.26622498999999994
12.0,0.052233116699014294,0.00023103480215997348,0.021356298225,0.16689080891490182,0.26622498999999994
13.0,0.07393664027273747,0.00032703269759331416,0.021356298225,0.1685022955402508,0.26622498999999994
14.0,0.10207916840879463,0.000451511262746945,0.021356298225,0.17059187825435312,0.26622498999999994
15.0,0.13776934504637717,0.0006093741937689032,0.021356298225,0.17324187386969364,0.26622498999999994
16.0,0.18208254198399323,0.0008053780192069375,0.021356298225,0.1765321287423114,0.26622498999999994
17.0,0.23605740102064676,0.0010441168053874112,0.021356298225,0.18053976202578303,0.26622498999999994
18.0,0.3005186735223609,0.0013292385496101661,0.021356298225,0.1853260115090353,0.26622498999999994
19.0,0.3761187305195074,0.0016636287854497225,0.021356298225,0.19093931574107342,0.26622498999999994
20.0,0.4632839299034004,0.0020491733569317533,0.021356298225,0.19741133179532755,0.26622498999999994
21.0,0.5642844072216793,0.0024959134094113674,0.021356298225,0.2049106172362097,0.26622498999999994
22.0,0.6787202734030106,0.0030020801743692776,0.021356298225,0.21340748030017345,0.26622498999999994
23.0,0.8057346270082654,0.00356388344997624,0.021356298225,0.22283829605536373,0.26622498999999994
24.0,0.9447866924325324,0.004178931305733189,0.021356298225,0.23316291191311714,0.26622498999999994
25.0,1.094973764526564,0.004843230943225146,0.021356298225,0.24431430201609727,0.26622498999999994
26.0,1.2558262595604788,0.005554705324147927,0.021356298225,0.25625759977236556,0.26622498999999994
27.0,1.4119858529910012,0.00624542230704402,0.021356298225,0.26622498999999994,0.26622498999999994
28.0,1.513297242449962,0.006693537569916027,0.021356298225,0.26622498999999994,0.26622498999999994
29.0,1.6081851714043816,0.007113240916734841,0.021356298225,0.26622498999999994,0.26622498999999994
30.0,1.6960690528290117,0.007501964325199822,0.021356298225,0.26622498999999994,0.26622498999999994
31.0,1.7766042773588862,0.007858183537110638,0.021356298225,0.26622498999999994,0.26622498999999994
32.0,1.8495977960031773,0.008181044668222549,0.021356298225,0.26622498999999994,0.26622498999999994
33.0,1.9246802782405845,0.008513145594333405,0.021356298225,0.26622498999999994,0.26622498999999994
34.0,1.9895466734129432,0.008800059256059423,0.021356298225,0.26622498999999994,0.26622498999999994
35.0,2.0454230919274976,0.009047208921113999,0.021356298225,0.26622498999999994,0.26622498999999994
36.0,2.090553003253108,0.009246825195109118,0.021356298225,0.26622498999999994,0.26622498999999994
37.0,2.1250866388851226,0.0093995725741729,0.021356298225,0.26622498999999994,0.26622498999999994
38.0,2.1472076107252533,0.009497416905042926,0.021356298225,0.26622498999999994,0.26622498999999994
39.0,2.1557848580877668,0.009535355338985023,0.021356298225,0.26622498999999994,0.26622498999999994
40.0,2.1396441646965503,0.009463962664374916,0.021356298225,0.26622498999999994,0.26622498999999994
41.0,2.0785737560049435,0.00919383921240483,0.021356298225,0.26622498999999994,0.26622498999999994
42.0,1.940756320093621,0.00858425230562605,0.021356298225,0.26622498999999994,0.26622498999999994
43.0,1.8500983053412725,0.008183258495066778,0.021356298225,0.26622498999999994,0.26622498999999994
44.0,1.558873886683183,0.006895129809648037,0.021356298225,0.26622498999999994,0.26622498999999994
45.0,0.6300217884598428,0.002786679571353997,0.021356298225,0.2097916177931432,0.26622498999999994
46.0,0.09103623380253621,0.000402666729369319,0.021356298225,0.16977194035983834,0.26622498999999994
47.0,0.006699064168225911,2.9630951828540762e-05,0.021356298225,0.16350990551449063,0.26622498999999994
48.0,0.0008330855344799367,3.684860559824494e-06,0.021356298225,0.16307435660093475,0.26622498999999994
49.0,0.0006812868318345365,3.0134324419905356e-06,0.021356298225,0.16306308554726373,0.26622498999999994
50.0,0.0005604320413987809,2.4788738254847594e-06,0.021356298225,0.16305411207908108,0.26622498999999994
51.0,0.0005288922796936423,2.3393687936922197e-06,0.021356298225,0.1630517702517672,0.26622498999999994
52.0,0.0005029938020101343,2.2248159956592686e-06,0.021356298225,0.1630498472897993,0.26622498999999994
