temp_C,growth,cap_lhs,cap_ub,cap_slack,pool_lhs,pool_ub,pool_slack
5.0,0.0,-0.0026704593333625112,0.07378760400697075,0.07645806334033325,0.06424013160722583,0.06424013160722583,0.0
6.0,0.0,-0.0014578327851654752,0.07378760400697075,0.07524543679213623,0.06424013160722583,0.06424013160722583,0.0
7.0,0.0,-0.0005324128078865126,0.07378760400697075,0.07432001681485727,0.06424013160722583,0.06424013160722583,0.0
8.0,0.0030308516723717427,0.0007198325295701867,0.07378760400697075,0.07306777147740057,0.06424013160722583,0.06424013160722583,0.0
9.0,0.007439142517972952,0.0017668092521186235,0.07378760400697075,0.07202079475485212,0.06424013160722583,0.06424013160722583,0.0
10.0,0.012616958158026109,0.0029965494481840127,0.07378760400697075,0.07079105455878673,0.06424013160722583,0.06424013160722583,0.0
11.0,0.0186481683121242,0.004428972321651947,0.07378760400697075,0.0693586316853188,0.06424013160722583,0.06424013160722583,0.0
12.0,0.025613664090908796,0.006083289651615296,0.07378760400697075,0.06770431435535545,0.06424013160722583,0.06424013160722583,0.0
13.0,0.033587798156242236,0.007977160324240127,0.07378760400697075,0.06581044368273062,0.06424013160722583,0.06424013160722583,0.0
14.0,0.04263608865314725,0.010126145012618552,0.07378760400697075,0.0636614589943522,0.06424013160722583,0.06424013160722583,0.0
15.0,0.05281376689424698,0.012543361249304016,0.07378760400697075,0.06124424275766673,0.06424013160722583,0.06424013160722583,0.0
16.0,0.06416218017464154,0.01523862908860472,0.07378760400697075,0.058548974918366026,0.06424013160722583,0.06424013160722583,0.0
17.0,0.07669074967554881,0.018214186077402106,0.07366575372098655,0.05545156764358444,0.06424234960316234,0.06424234960316234,0.0
18.0,0.0904904956927543,0.021491649693831025,0.07354390343500233,0.05205225374117131,0.06424456759909883,0.06424456759909883,0.0
19.0,0.10557951771086516,0.02507531859688145,0.07342205314901813,0.048346734552136686,0.06424678559503533,0.06424678559503533,0.0
20.0,0.12185240703246648,0.02894015803807309,0.07330020286303392,0.04436004482496082,0.06424900359097185,0.06424900359097185,0.0
21.0,0.13924457454721242,0.033070827991661125,0.07317835257704972,0.04010752458538859,0.06425122158690834,0.06425122158690834,0.0
22.0,0.15766389817518794,0.03744544930386874,0.07305650229106549,0.035611052987196745,0.06425343958284484,0.06425343958284484,0.0
23.0,0.17701493595336865,0.04204135434292192,0.07293465200508127,0.03089329766215935,0.06425565757878136,0.06425565757878136,0.0
24.0,0.19717740964016905,0.046829976817806845,0.0728128017190971,0.025982824901290252,0.06425787557471785,0.06425787557471785,0.0
25.0,0.2179417121620029,0.05176153468495772,0.07269095143311287,0.020929416748155148,0.06426009357065435,0.06426009357065435,0.0
26.0,0.2391138720157913,0.0567899593759261,0.07349776114649031,0.016707801770564218,0.06423307485652346,0.06423307485652346,0.0
27.0,0.2604498187032794,0.06185728372400638,0.07430457085986773,0.012447287135861351,0.06420605614239261,0.06420605614239261,0.0
28.0,0.2817147298025435,0.06690773699666358,0.07511138057324517,0.008203643576581585,0.06417903742826175,0.06417903742826175,0.0
29.0,0.3026615324726973,0.07188263896560922,0.07591819028662258,0.004035551321013367,0.06415201871413087,0.06415201871413087,0.0
30.0,0.3230502721258995,0.07672500000000049,0.07672500000000003,-4.579669976578771e-16,0.064125,0.064125,0.0
31.0,0.325574309138737,0.07732446316879944,0.07732446316879944,0.0,0.06100664038616628,0.0639755581129527,0.002968917726786424
32.0,0.32809834615157646,0.07792392633759887,0.07792392633759887,0.0,0.058384765283864756,0.06382611622590544,0.005441350942040679
33.0,0.3306223831644159,0.0785233895063983,0.0785233895063983,0.0,0.05620492684306511,0.06367667433885814,0.0074717474957930255
34.0,0.3331464201772553,0.07912285267519771,0.07912285267519771,0.0,0.05441494814938267,0.06352723245181086,0.009112284302428185
35.0,0.33567045719009475,0.07972231584399712,0.07972231584399712,0.0,0.05298020745767365,0.06337779056476357,0.010397583107089922
36.0,0.3381944942029343,0.08032177901279658,0.08032177901279658,0.0,0.05187205498809866,0.06322834867771629,0.01135629368961763
37.0,0.3407185312157737,0.08092124218159599,0.08092124218159599,0.0,0.05106890013283467,0.063078906790669,0.01201000665783434
38.0,0.3287835174866904,0.07808665571820168,0.07808665571820168,0.0,0.04849887225787897,0.06274408234269002,0.014245210084811055
39.0,0.316848503757607,0.07525206925480735,0.07525206925480735,0.0,0.046291698952524364,0.062409257894711065,0.0161175589421867
40.0,0.3049134900285237,0.07241748279141304,0.07241748279141304,0.0,0.04436576887451451,0.062074433446732115,0.017708664572217606
41.0,0.2929784762994403,0.06958289632801871,0.06958289632801871,0.0,0.04271997274302165,0.06173960899875315,0.019019636255731498
42.0,0.28104346257035695,0.06674830986462439,0.06674830986462439,0.0,0.04138641198293353,0.06140478455077419,0.020018372567840656
43.0,0.2691084488412736,0.06391372340123008,0.06391372340123008,0.0,0.04063730364085425,0.06106996010279522,0.020432656461940972
44.0,0.2691084488412736,0.06391372340123008,0.06391372340123008,0.0,0.04453219487268781,0.06106996010279522,0.016537765230107415
