strain,experiment,solver,rescaled,temp_C,growth,row_condition,row_scale
chaemulonii_draft,transfer_candida,gurobi,True,44.0,0.1848186884354061,2672393.2980544805,277.85129896232377
chaemulonii_draft,transfer_candida,glpk,False,22.0,0.1066949970246142,2545759513.8785114,1.0
chaemulonii_draft,transfer_candida,glpk,False,26.0,0.20700814064567216,742238273.9973347,1.0
chaemulonii_draft,transfer_candida,glpk,False,30.0,0.3044054874251985,215542457.43201286,1.0
chaemulonii_draft,transfer_candida,glpk,False,34.0,0.3521956981448359,62226774.132579245,1.0
chaemulonii_draft,transfer_candida,glpk,False,38.0,0.32249165867745977,17817152.34725785,1.0
chaemulonii_draft,transfer_candida,glpk,False,44.0,0.1848186884354061,2672393.2980544805,1.0
chaemulonii_draft,transfer_candida,glpk,True,22.0,0.10620673568102185,2545759513.8785114,216.1489791639124
chaemulonii_draft,transfer_candida,glpk,True,26.0,0.20700814064567571,742238273.9973347,320.5347648103807
chaemulonii_draft,transfer_candida,glpk,True,30.0,0.3044054874251892,215542457.43201286,402.2784951403725
chaemulonii_draft,transfer_candida,glpk,True,34.0,0.35219569814483775,62226774.132579245,436.75091370233724
chaemulonii_draft,transfer_candida,glpk,True,38.0,0.3224916586774575,17817152.34725785,421.325959814317
chaemulonii_draft,transfer_candida,glpk,True,44.0,0.184818688435406,2672393.2980544805,277.85129896232377
cduobushaemulonii_draft,transfer_candida,gurobi,False,22.0,0.1024149654453144,773583824419.845,1.0
cduobushaemulonii_draft,transfer_candida,gurobi,False,26.0,0.18099220015596376,189830029162.41226,1.0
cduobushaemulonii_draft,transfer_candida,gurobi,False,30.0,0.24461671188537296,29200292174.651516,1.0
cduobushaemulonii_draft,transfer_candida,gurobi,False,34.0,0.26694489193619364,4500451684.630486,1.0
cduobushaemulonii_draft,transfer_candida,gurobi,False,38.0,0.23924970433303427,695431683.4435464,1.0
cduobushaemulonii_draft,transfer_candida,gurobi,False,44.0,0.13707159510330785,42498096.05157644,1.0
cduobushaemulonii_draft,transfer_candida,gurobi,True,22.0,0.10241496544531536,773583824419.845,256.87877719936273
cduobushaemulonii_draft,transfer_candida,gurobi,True,26.0,0.1809922001559627,189830029162.41226,367.38100180597297
cduobushaemulonii_draft,transfer_candida,gurobi,True,30.0,0.24461671188537265,29200292174.651516,460.8382272528726
cduobushaemulonii_draft,transfer_candida,gurobi,True,34.0,0.26694489193619275,4500451684.630486,510.81860125388545
cduobushaemulonii_draft,transfer_candida,gurobi,True,38.0,0.2392497043330343,695431683.4435464,457.567312427679
cduobushaemulonii_draft,transfer_candida,gurobi,True,44.0,0.13707159510330766,42498096.05157644,294.42043899814274
cduobushaemulonii_draft,transfer_candida,glpk,False,22.0,0.10279251390453316,773583824419.845,1.0
cduobushaemulonii_draft,transfer_candida,glpk,False,26.0,0.18099220015596237,189830029162.41226,1.0
cduobushaemulonii_draft,transfer_candida,glpk,False,30.0,0.2446167118853733,29200292174.651516,1.0
cduobushaemulonii_draft,transfer_candida,glpk,False,34.0,0.26694489193619353,4500451684.630486,1.0
cduobushaemulonii_draft,transfer_candida,glpk,False,38.0,0.23924970433303325,695431683.4435464,1.0
cduobushaemulonii_draft,transfer_candida,glpk,False,44.0,0.13707159510330796,42498096.05157644,1.0
cduobushaemulonii_draft,transfer_candida,glpk,True,22.0,0.10241496544530825,773583824419.845,256.87877719936273
cduobushaemulonii_draft,transfer_candida,glpk,True,26.0,0.1809922001559631,189830029162.41226,367.38100180597297
cduobushaemulonii_draft,transfer_candida,glpk,True,30.0,0.24461671188537273,29200292174.651516,460.8382272528726
cduobushaemulonii_draft,transfer_candida,glpk,True,34.0,0.26694489193619425,4500451684.630486,510.81860125388545
cduobushaemulonii_draft,transfer_candida,glpk,True,38.0,0.23924970433303336,695431683.4435464,457.567312427679
cduobushaemulonii_draft,transfer_candida,glpk,True,44.0,0.13707159510330716,42498096.05157644,294.42043899814274
cparapsilosis_iDC1003,transfer_candida,gurobi,False,22.0,0.11042286180146389,29220077656.34206,1.0
cparapsilosis_iDC1003,transfer_candida,gurobi,False,26.0,0.2185028101177762,6115502466.896299,1.0
cparapsilosis_iDC1003,transfer_candida,gurobi,False,30.0,0.3036054630609108,1273934068.3169763,1.0
cparapsilosis_iDC1003,transfer_candida,gurobi,False,34.0,0.3238415035725298,263558877.04377532,1.0
cparapsilosis_iDC1003,transfer_candida,gurobi,False,38.0,0.31630768094863804,54001478.1468063,1.0
cparapsilosis_iDC1003,transfer_candida,gurobi,False,44.0,0.18829981070911941,4884970.70962089,1.0
cparapsilosis_iDC1003,transfer_candida,gurobi,True,22.0,0.11042286180146518,29220077656.34206,314.07479196726496
cparapsilosis_iDC1003,transfer_candida,gurobi,True,26.0,0.21850281011777345,6115502466.896299,431.315786029261
cparapsilosis_iDC1003,transfer_candida,gurobi,True,30.0,0.30360546306091424,1273934068.3169763,494.89514928883113
cparapsilosis_iDC1003,transfer_candida,gurobi,True,34.0,0.32384150357254476,263558877.04377532,506.350950521791
cparapsilosis_iDC1003,transfer_candida,gurobi,True,38.0,0.3163076809486381,54001478.1468063,442.0816500695947
cparapsilosis_iDC1003,transfer_candida,gurobi,True,44.0,0.18829981070911994,4884970.70962089,259.37832276320546
cparapsilosis_iDC1003,transfer_candida,glpk,False,22.0,0.11042286180147082,29220077656.34206,1.0
cparapsilosis_iDC1003,transfer_candida,glpk,False,26.0,0.21850281011778075,6115502466.896299,1.0
cparapsilosis_iDC1003,transfer_candida,glpk,False,30.0,0.3036054630609116,1273934068.3169763,1.0
cparapsilosis_iDC1003,transfer_candida,glpk,False,34.0,0.32384150357254254,263558877.04377532,1.0
cparapsilosis_iDC1003,transfer_candida,glpk,False,38.0,0.31630768094863115,54001478.1468063,1.0
cparapsilosis_iDC1003,transfer_candida,glpk,False,44.0,0.18829981070911864,4884970.70962089,1.0
cparapsilosis_iDC1003,transfer_candida,glpk,True,22.0,0.11042286180147039,29220077656.34206,314.07479196726496
cparapsilosis_iDC1003,transfer_candida,glpk,True,26.0,0.2185028101177761,6115502466.896299,431.315786029261
cparapsilosis_iDC1003,transfer_candida,glpk,True,30.0,0.30360546306090913,1273934068.3169763,494.89514928883113
cparapsilosis_iDC1003,transfer_candida,glpk,True,34.0,0.3238415035725383,263558877.04377532,506.350950521791
cparapsilosis_iDC1003,transfer_candida,glpk,True,38.0,0.3163076809486382,54001478.1468063,442.0816500695947
cparapsilosis_iDC1003,transfer_candida,glpk,True,44.0,0.18829981070911936,4884970.70962089,259.37832276320546
cauris_iRV973,candida_B3_ngamT,gurobi,False,22.0,0.012833520255356171,1278774457.9133816,1.0
cauris_iRV973,candida_B3_ngamT,gurobi,False,26.0,0.036355196706477196,285485925.57506764,1.0
cauris_iRV973,candida_B3_ngamT,gurobi,False,30.0,0.06996629002188919,66307279.82375956,1.0
cauris_iRV973,candida_B3_ngamT,gurobi,False,34.0,0.0960040025908404,15997254.683958828,1.0
cauris_iRV973,candida_B3_ngamT,gurobi,False,38.0,0.10414187970394363,4002755.4414654425,1.0
cauris_iRV973,candida_B3_ngamT,gurobi,False,44.0,0.08987122906367986,533291.0551062579,1.0
cauris_iRV973,candida_B3_ngamT,gurobi,True,22.0,0.012833520255356593,1278774457.9133816,381.6460242438629
cauris_iRV973,candida_B3_ngamT,gurobi,True,26.0,0.036355196706482566,285485925.57506764,506.88159688304137
cauris_iRV973,candida_B3_ngamT,gurobi,True,30.0,0.06996629002188898,66307279.82375956,587.5833787554936
cauris_iRV973,candida_B3_ngamT,gurobi,True,34.0,0.09600400259084041,15997254.683958828,644.4861198125373
cauris_iRV973,candida_B3_ngamT,gurobi,True,38.0,0.10414187970394363,4002755.4414654425,627.2947355904226
cauris_iRV973,candida_B3_ngamT,gurobi,True,44.0,0.0898712290636799,533291.0551062579,538.7538611386509
cauris_iRV973,candida_B3_ngamT,glpk,False,22.0,0.013950666703203968,1278774457.9133816,1.0
cauris_iRV973,candida_B3_ngamT,glpk,False,26.0,0.03635640970674992,285485925.57506764,1.0
cauris_iRV973,candida_B3_ngamT,glpk,False,30.0,0.06996629002188895,66307279.82375956,1.0
cauris_iRV973,candida_B3_ngamT,glpk,False,34.0,0.09600400259084191,15997254.683958828,1.0
cauris_iRV973,candida_B3_ngamT,glpk,False,38.0,0.10414187970394319,4002755.4414654425,1.0
cauris_iRV973,candida_B3_ngamT,glpk,False,44.0,0.0898712290636792,533291.0551062579,1.0
cauris_iRV973,candida_B3_ngamT,glpk,True,22.0,0.01393926583634659,1278774457.9133816,381.6460242438629
cauris_iRV973,candida_B3_ngamT,glpk,True,26.0,0.03635519670648102,285485925.57506764,506.88159688304137
cauris_iRV973,candida_B3_ngamT,glpk,True,30.0,0.0699662900218758,66307279.82375956,587.5833787554936
cauris_iRV973,candida_B3_ngamT,glpk,True,34.0,0.09600400259084023,15997254.683958828,644.4861198125373
cauris_iRV973,candida_B3_ngamT,glpk,True,38.0,0.10414187970394964,4002755.4414654425,627.2947355904226
cauris_iRV973,candida_B3_ngamT,glpk,True,44.0,0.08987122906368017,533291.0551062579,538.7538611386509
chaemulonii_draft,candida_B3_ngamT,gurobi,False,22.0,0.007086970526994919,137773037.92759436,1.0
chaemulonii_draft,candida_B3_ngamT,gurobi,False,26.0,0.02125491128052721,49369229.30748952,1.0
chaemulonii_draft,candida_B3_ngamT,gurobi,False,30.0,0.04693973692686446,18176557.41528064,1.0
chaemulonii_draft,candida_B3_ngamT,gurobi,False,34.0,0.07412718030269486,6868681.667197169,1.0
chaemulonii_draft,candida_B3_ngamT,gurobi,False,38.0,0.08865096310333553,2661436.279627423,1.0
chaemulonii_draft,candida_B3_ngamT,gurobi,False,44.0,0.08002427346939985,1598579.4729977378,1.0
chaemulonii_draft,candida_B3_ngamT,gurobi,True,22.0,0.007086970526994921,137773037.92759436,312.57512537775983
chaemulonii_draft,candida_B3_ngamT,gurobi,True,26.0,0.021254911280527252,49369229.30748952,404.0175451910525
chaemulonii_draft,candida_B3_ngamT,gurobi,True,30.0,0.04693973692686446,18176557.41528064,471.68599182068317
chaemulonii_draft,candida_B3_ngamT,gurobi,True,34.0,0.07412718030269504,6868681.667197169,499.2758030169217
chaemulonii_draft,candida_B3_ngamT,gurobi,True,38.0,0.0886509631033352,2661436.279627423,505.7171061364923
chaemulonii_draft,candida_B3_ngamT,gurobi,True,44.0,0.08002427346940023,1598579.4729977378,465.3594086071313
chaemulonii_draft,candida_B3_ngamT,glpk,False,22.0,0.007089299192799267,137773037.92759436,1.0
chaemulonii_draft,candida_B3_ngamT,glpk,False,26.0,0.021262500378194965,49369229.30748952,1.0
chaemulonii_draft,candida_B3_ngamT,glpk,False,30.0,0.04695715488292876,18176557.41528064,1.0
chaemulonii_draft,candida_B3_ngamT,glpk,False,34.0,0.07412718030269476,6868681.667197169,1.0
chaemulonii_draft,candida_B3_ngamT,glpk,False,38.0,0.08865096310334664,2661436.279627423,1.0
chaemulonii_draft,candida_B3_ngamT,glpk,False,44.0,0.08002427346939982,1598579.4729977378,1.0
chaemulonii_draft,candida_B3_ngamT,glpk,True,22.0,0.007086970526994397,137773037.92759436,312.57512537775983
chaemulonii_draft,candida_B3_ngamT,glpk,True,26.0,0.021254911280527214,49369229.30748952,404.0175451910525
chaemulonii_draft,candida_B3_ngamT,glpk,True,30.0,0.04693973692686453,18176557.41528064,471.68599182068317
chaemulonii_draft,candida_B3_ngamT,glpk,True,34.0,0.07412718030269455,6868681.667197169,499.2758030169217
chaemulonii_draft,candida_B3_ngamT,glpk,True,38.0,0.08865096310333503,2661436.279627423,505.7171061364923
chaemulonii_draft,candida_B3_ngamT,glpk,True,44.0,0.08002427346940019,1598579.4729977378,465.3594086071313
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,False,22.0,0.01818601040677353,817819408.1436456,1.0
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,False,26.0,0.04178012245052325,241071990.80107787,1.0
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,False,30.0,0.06286594423452974,73389921.2641336,1.0
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,False,34.0,0.0727599150714077,23045139.41615017,1.0
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,False,38.0,0.07280076604618664,7455033.271149533,1.0
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,False,44.0,0.0594995413641651,2649637.0504170707,1.0
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,True,22.0,0.018186010406773902,817819408.1436456,357.8480075734734
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,True,26.0,0.041780122450523226,241071990.80107787,448.55440323989535
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,True,30.0,0.06286594423452783,73389921.2641336,537.4346748761731
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,True,34.0,0.07275991507140722,23045139.41615017,573.0621971897265
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,True,38.0,0.07280076604618661,7455033.271149533,560.5321162206827
cduobushaemulonii_draft,candida_B3_ngamT,gurobi,True,44.0,0.05949954136416506,2649637.0504170707,494.50658324390935
cduobushaemulonii_draft,candida_B3_ngamT,glpk,False,22.0,0.01827681081846176,817819408.1436456,1.0
cduobushaemulonii_draft,candida_B3_ngamT,glpk,False,26.0,0.04189944038311304,241071990.80107787,1.0
cduobushaemulonii_draft,candida_B3_ngamT,glpk,False,30.0,0.0628659442345287,73389921.2641336,1.0
cduobushaemulonii_draft,candida_B3_ngamT,glpk,False,34.0,0.07275991507140823,23045139.41615017,1.0
cduobushaemulonii_draft,candida_B3_ngamT,glpk,False,38.0,0.07280076604618652,7455033.271149533,1.0
cduobushaemulonii_draft,candida_B3_ngamT,glpk,False,44.0,0.059499541364165555,2649637.0504170707,1.0
cduobushaemulonii_draft,candida_B3_ngamT,glpk,True,22.0,0.018186010406774037,817819408.1436456,357.8480075734734
cduobushaemulonii_draft,candida_B3_ngamT,glpk,True,26.0,0.041780122450523406,241071990.80107787,448.55440323989535
cduobushaemulonii_draft,candida_B3_ngamT,glpk,True,30.0,0.06286594423452944,73389921.2641336,537.4346748761731
cduobushaemulonii_draft,candida_B3_ngamT,glpk,True,34.0,0.07275991507140787,23045139.41615017,573.0621971897265
cduobushaemulonii_draft,candida_B3_ngamT,glpk,True,38.0,0.07280076604618646,7455033.271149533,560.5321162206827
cduobushaemulonii_draft,candida_B3_ngamT,glpk,True,44.0,0.059499541364165166,2649637.0504170707,494.50658324390935
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,False,22.0,0.019558096318991754,6649023510.491645,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,False,26.0,0.04498868475840915,1749765967.5849957,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,False,30.0,0.0666464614064157,476983469.6627937,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,False,34.0,0.08206446174028849,134503068.0001745,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,False,38.0,0.08570176864579199,39183821.38701501,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,False,44.0,0.0707163416837451,6532463.273343491,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,True,22.0,0.019558096318991868,6649023510.491645,425.50210855062966
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,True,26.0,0.0449886847584092,1749765967.5849957,521.8439773766611
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,True,30.0,0.06664646140641446,476983469.6627937,559.5736757313036
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,True,34.0,0.08206446174028936,134503068.0001745,574.0087966775227
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,True,38.0,0.0857017686457931,39183821.38701501,552.4019133246636
cparapsilosis_iDC1003,candida_B3_ngamT,gurobi,True,44.0,0.07071634168374562,6532463.273343491,448.7923203075276
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,False,22.0,0.019568602931689306,6649023510.491645,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,False,26.0,0.04498868475840739,1749765967.5849957,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,False,30.0,0.06664646140641921,476983469.6627937,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,False,34.0,0.08206446174029125,134503068.0001745,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,False,38.0,0.08570176864579167,39183821.38701501,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,False,44.0,0.07071634168374555,6532463.273343491,1.0
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,True,22.0,0.01955809631900383,6649023510.491645,425.50210855062966
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,True,26.0,0.04498868475840458,1749765967.5849957,521.8439773766611
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,True,30.0,0.06664646140642133,476983469.6627937,559.5736757313036
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,True,34.0,0.08206446174028978,134503068.0001745,574.0087966775227
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,True,38.0,0.08570176864579249,39183821.38701501,552.4019133246636
cparapsilosis_iDC1003,candida_B3_ngamT,glpk,True,44.0,0.07071634168374717,6532463.273343491,448.7923203075276
