strain,experiment,solver,rescaled,temp_C,growth,row_condition,row_scale
cauris_iRV973,transfer_candida,gurobi,False,22.0,0.09021898833991535,21534353612.773743,1.0
cauris_iRV973,transfer_candida,gurobi,False,26.0,0.2097509460839397,25528573057.244587,1.0
cauris_iRV973,transfer_candida,gurobi,False,30.0,0.3271464842980653,22212496272.28914,1.0
cauris_iRV973,transfer_candida,gurobi,False,34.0,0.3851263531380433,2786216629.293858,1.0
cauris_iRV973,transfer_candida,gurobi,False,38.0,0.3592929924832357,350359739.99842405,1.0
cauris_iRV973,transfer_candida,gurobi,False,44.0,0.21570091988785034,22047045.63756004,1.0
cauris_iRV973,transfer_candida,gurobi,True,22.0,0.09021898833991042,21534353612.773743,253.76642088070176
cauris_iRV973,transfer_candida,gurobi,True,26.0,0.20975094608393968,25528573057.244587,375.11506186594767
cauris_iRV973,transfer_candida,gurobi,True,30.0,0.32714648429806503,22212496272.28914,474.0712185296254
cauris_iRV973,transfer_candida,gurobi,True,34.0,0.38512635313802973,2786216629.293858,550.3169602856829
cauris_iRV973,transfer_candida,gurobi,True,38.0,0.3592929924832365,350359739.99842405,523.5026928370991
cauris_iRV973,transfer_candida,gurobi,True,44.0,0.21570091988785037,22047045.63756004,348.08289649893135
cauris_iRV973,transfer_candida,glpk,False,22.0,0.09021898833988695,21534353612.773743,1.0
cauris_iRV973,transfer_candida,glpk,False,26.0,0.20975094608393624,25528573057.244587,1.0
cauris_iRV973,transfer_candida,glpk,False,30.0,0.32714648429808096,22212496272.28914,1.0
cauris_iRV973,transfer_candida,glpk,False,34.0,0.3851263531380799,2786216629.293858,1.0
cauris_iRV973,transfer_candida,glpk,False,38.0,0.35929299248325103,350359739.99842405,1.0
cauris_iRV973,transfer_candida,glpk,False,44.0,0.21570091988785006,22047045.63756004,1.0
cauris_iRV973,transfer_candida,glpk,True,22.0,0.09021898833976412,21534353612.773743,253.76642088070176
cauris_iRV973,transfer_candida,glpk,True,26.0,0.20975094608387534,25528573057.244587,375.11506186594767
cauris_iRV973,transfer_candida,glpk,True,30.0,0.3271464842981644,22212496272.28914,474.0712185296254
cauris_iRV973,transfer_candida,glpk,True,34.0,0.3851263531380492,2786216629.293858,550.3169602856829
cauris_iRV973,transfer_candida,glpk,True,38.0,0.3592929924832371,350359739.99842405,523.5026928370991
cauris_iRV973,transfer_candida,glpk,True,44.0,0.21570091988785003,22047045.63756004,348.08289649893135
chaemulonii_draft,transfer_candida,gurobi,False,22.0,0.10620673568102287,2545759513.8785114,1.0
chaemulonii_draft,transfer_candida,gurobi,False,26.0,0.20700814064567882,742238273.9973347,1.0
chaemulonii_draft,transfer_candida,gurobi,False,30.0,0.3044054874251908,215542457.43201286,1.0
chaemulonii_draft,transfer_candida,gurobi,False,34.0,0.3521956981448342,62226774.132579245,1.0
chaemulonii_draft,transfer_candida,gurobi,False,38.0,0.3224916586774596,17817152.34725785,1.0
chaemulonii_draft,transfer_candida,gurobi,False,44.0,0.1848186884354061,2672393.2980544805,1.0
chaemulonii_draft,transfer_candida,gurobi,True,22.0,0.10620673568101323,2545759513.8785114,216.1489791639124
chaemulonii_draft,transfer_candida,gurobi,True,26.0,0.20700814064567877,742238273.9973347,320.5347648103807
chaemulonii_draft,transfer_candida,gurobi,True,30.0,0.30440548742519635,215542457.43201286,402.2784951403725
chaemulonii_draft,transfer_candida,gurobi,True,34.0,0.3521956981448345,62226774.132579245,436.75091370233724
chaemulonii_draft,transfer_candida,gurobi,True,38.0,0.3224916586774602,17817152.34725785,421.325959814317
